iso3c,venn,poor
AGO,C,16595921
BDI,C,10726020
BWA,,534664
CAF,AC,3732051
CMR,A,8108953
COD,AC,91540985
COG,C,3344543
COM,BC,243666
ETH,A,57990166
FSM,B,28080
GHA,B,12994118
GMB,,576920
GNB,C,925068
HTI,ABC,5796482
KEN,,25211314
LBR,C,1856911
LSO,,1058770
MDG,C,21635367
MLI,AC,9159267
MOZ,ABC,28898696
MWI,B,17017770
NAM,,695884
NER,AC,13951099
NGA,A,124699710
PAK,,42894750
PNG,BC,4638774
SDN,ABC,29442774
SLB,,374874
SLE,B,4405575
SSD,ABC,11067420
SWZ,C,495134
SYR,A,5754092
TCD,C,9534842
TGO,,3000963
TLS,B,626985
TZA,,34130795
UGA,C,28554586
VUT,,79435
YEM,ABC,30829122
ZAF,,21779056
ZMB,C,15295665
ZWE,BC,7770244
AFG,ABC,21014482
SOM,ABC,12582964
