period,conflict_security,displacement,dry_conditions,economic_shock,flood,social_instability,tropical_cyclone,iso3c,concern,driver_number
Oct 2022 to Jan 2023,0,1,1,1,0,0,0,AFG,highest,3
Oct 2022 to Jan 2023,1,1,1,1,1,1,0,BFA,very_high,6
Oct 2022 to Jan 2023,1,1,0,1,0,0,0,CAF,very_high,3
Oct 2022 to Jan 2023,1,1,1,1,1,1,0,TCD,very_high,6
Oct 2022 to Jan 2023,1,1,1,0,0,0,0,COD,very_high,3
Oct 2022 to Jan 2023,1,1,1,1,0,0,0,ETH,highest,4
Oct 2022 to Jan 2023,1,0,1,1,0,1,1,HTI,very_high,5
Oct 2022 to Jan 2023,0,0,1,1,0,0,0,KEN,very_high,2
Oct 2022 to Jan 2023,0,0,1,1,0,0,0,MWI,high,2
Oct 2022 to Jan 2023,1,1,1,1,1,1,0,MLI,very_high,6
Oct 2022 to Jan 2023,1,1,1,1,1,1,0,NER,very_high,6
Oct 2022 to Jan 2023,1,1,0,1,1,0,0,NGA,highest,4
Oct 2022 to Jan 2023,0,1,0,1,1,0,0,PAK,very_high,3
Oct 2022 to Jan 2023,1,1,1,1,0,0,0,SOM,highest,4
Oct 2022 to Jan 2023,1,1,0,1,1,0,0,SSD,highest,4
Oct 2022 to Jan 2023,1,1,0,1,1,0,0,SDN,very_high,4
Oct 2022 to Jan 2023,1,1,1,1,0,0,0,SYR,very_high,4
Oct 2022 to Jan 2023,1,1,0,1,0,0,0,YEM,very_high,3
Oct 2022 to Jan 2023,0,0,1,1,0,0,0,ZWE,high,2
Jun 2023 to Nov 2023,0,1,1,1,0,0,0,AFG,highest,3
Jun 2023 to Nov 2023,1,1,0,1,1,0,0,BFA,highest,4
Jun 2023 to Nov 2023,1,1,1,1,1,0,0,CAF,very_high,5
Jun 2023 to Nov 2023,1,1,0,0,0,0,0,COD,very_high,2
Jun 2023 to Nov 2023,1,1,1,1,0,0,0,ETH,very_high,4
Jun 2023 to Nov 2023,1,0,1,1,0,1,1,HTI,highest,5
Jun 2023 to Nov 2023,0,0,1,1,1,0,0,KEN,very_high,3
Jun 2023 to Nov 2023,0,1,0,1,0,1,0,LBN,high,3
Jun 2023 to Nov 2023,0,0,1,1,1,0,0,MWI,high,3
Jun 2023 to Nov 2023,1,1,0,1,1,0,0,MLI,highest,4
Jun 2023 to Nov 2023,1,1,0,1,0,0,0,MMR,very_high,3
Jun 2023 to Nov 2023,1,1,0,1,1,0,0,NGA,highest,4
Jun 2023 to Nov 2023,0,1,0,1,1,1,0,PAK,very_high,4
Jun 2023 to Nov 2023,1,1,1,1,0,0,0,SOM,highest,4
Jun 2023 to Nov 2023,1,1,1,1,1,0,0,SSD,highest,5
Jun 2023 to Nov 2023,1,1,0,1,0,0,0,SDN,highest,3
Jun 2023 to Nov 2023,1,1,0,1,0,0,0,SYR,very_high,3
Jun 2023 to Nov 2023,1,1,0,1,0,0,0,YEM,highest,3
Nov 2023 to Apr 2024,0,0,0,1,0,0,0,AFG,very_high,1
Nov 2023 to Apr 2024,1,1,0,0,0,0,0,BFA,highest,2
Nov 2023 to Apr 2024,1,1,1,0,1,0,0,TCD,high,4
Nov 2023 to Apr 2024,1,1,0,0,0,0,0,COD,very_high,2
Nov 2023 to Apr 2024,1,1,1,1,1,0,0,ETH,very_high,5
