iso3c,year,value
EAS,2000,63
EAS,2001,63
EAS,2002,64
EAS,2003,65
EAS,2004,66
EAS,2005,67
EAS,2006,67
EAS,2007,68
EAS,2008,69
EAS,2009,70
EAS,2010,71
EAS,2011,72
EAS,2012,73
EAS,2013,74
EAS,2014,75
EAS,2015,76
EAS,2016,77
EAS,2017,78
EAS,2018,78
EAS,2019,78
EAS,2020,79
EAS,2021,80
EAS,2022,80
EAS,2023,80
ECS,2000,72
ECS,2001,73
ECS,2002,74
ECS,2003,74
ECS,2004,75
ECS,2005,75
ECS,2006,76
ECS,2007,76
ECS,2008,77
ECS,2009,77
ECS,2010,78
ECS,2011,78
ECS,2012,79
ECS,2013,79
ECS,2014,80
ECS,2015,80
ECS,2016,81
ECS,2017,81
ECS,2018,81
ECS,2019,81
ECS,2020,81
ECS,2021,82
ECS,2022,82
ECS,2023,82
LCN,2000,68
LCN,2001,68
LCN,2002,69
LCN,2003,70
LCN,2004,70
LCN,2005,71
LCN,2006,71
LCN,2007,72
LCN,2008,72
LCN,2009,73
LCN,2010,73
LCN,2011,75
LCN,2012,76
LCN,2013,77
LCN,2014,78
LCN,2015,79
LCN,2016,79
LCN,2017,79
LCN,2018,79
LCN,2019,79
LCN,2020,79
LCN,2021,80
LCN,2022,79
LCN,2023,79
MEA,2000,57
MEA,2001,57
MEA,2002,57
MEA,2003,58
MEA,2004,58
MEA,2005,59
MEA,2006,59
MEA,2007,60
MEA,2008,60
MEA,2009,61
MEA,2010,61
MEA,2011,61
MEA,2012,62
MEA,2013,63
MEA,2014,64
MEA,2015,64
MEA,2016,65
MEA,2017,65
MEA,2018,65
MEA,2019,65
MEA,2020,65
MEA,2021,66
MEA,2022,66
MEA,2023,66
NAC,2000,79
NAC,2001,80
NAC,2002,80
NAC,2003,81
NAC,2004,82
NAC,2005,82
NAC,2006,83
NAC,2007,83
NAC,2008,84
NAC,2009,84
NAC,2010,85
NAC,2011,85
NAC,2012,86
NAC,2013,86
NAC,2014,87
NAC,2015,87
NAC,2016,87
NAC,2017,88
NAC,2018,87
NAC,2019,88
NAC,2020,88
NAC,2021,88
NAC,2022,88
NAC,2023,88
SAS,2000,32
SAS,2001,34
SAS,2002,36
SAS,2003,37
SAS,2004,40
SAS,2005,42
SAS,2006,44
SAS,2007,46
SAS,2008,48
SAS,2009,50
SAS,2010,51
SAS,2011,53
SAS,2012,55
SAS,2013,56
SAS,2014,58
SAS,2015,60
SAS,2016,62
SAS,2017,62
SAS,2018,61
SAS,2019,63
SAS,2020,65
SAS,2021,66
SAS,2022,67
SAS,2023,68
SSF,2000,28
SSF,2001,27
SSF,2002,27
SSF,2003,27
SSF,2004,28
SSF,2005,30
SSF,2006,33
SSF,2007,35
SSF,2008,36
SSF,2009,37
SSF,2010,39
SSF,2011,42
SSF,2012,42
SSF,2013,43
SSF,2014,44
SSF,2015,45
SSF,2016,46
SSF,2017,47
SSF,2018,47
SSF,2019,47
SSF,2020,47
SSF,2021,48
SSF,2022,49
SSF,2023,50
WLD,2000,54
WLD,2001,54
WLD,2002,55
WLD,2003,55
WLD,2004,56
WLD,2005,57
WLD,2006,59
WLD,2007,60
WLD,2008,61
WLD,2009,62
WLD,2010,63
WLD,2011,64
WLD,2012,65
WLD,2013,66
WLD,2014,67
WLD,2015,68
WLD,2016,69
WLD,2017,69
WLD,2018,69
WLD,2019,70
WLD,2020,70
WLD,2021,70
WLD,2022,71
WLD,2023,71
