iso3c,country,region,income,gender,type,value
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Total,years,4.968999863
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Male,years,7.65500021
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Female,years,1.970000029
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Total,lays,2.820474148
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Male,lays,4.382269859
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",lic,Female,lays,1.103660703
ALB,Albania,Europe & Central Asia,umc,Total,years,11.65200043
ALB,Albania,Europe & Central Asia,umc,Male,years,11.65499973
ALB,Albania,Europe & Central Asia,umc,Female,years,11.73799992
ALB,Albania,Europe & Central Asia,umc,Total,lays,8.093527794
ALB,Albania,Europe & Central Asia,umc,Male,lays,7.913178444
ALB,Albania,Europe & Central Asia,umc,Female,lays,8.344727516
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,years,11.13799953
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,years,11.3760004
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,years,10.36999989
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,lays,7.984443188
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,lays,7.867516994
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,lays,7.688956261
ARG,Argentina,Latin America & Caribbean,umc,Total,years,9.460000038
ARG,Argentina,Latin America & Caribbean,umc,Male,years,9.13599968
ARG,Argentina,Latin America & Caribbean,umc,Female,years,9.793999672
ARG,Argentina,Latin America & Caribbean,umc,Total,lays,6.178101063
ARG,Argentina,Latin America & Caribbean,umc,Male,lays,5.992373466
ARG,Argentina,Latin America & Caribbean,umc,Female,lays,6.36927557
ARM,Armenia,Europe & Central Asia,umc,Total,years,11.67700005
ARM,Armenia,Europe & Central Asia,umc,Male,years,11.44299984
ARM,Armenia,Europe & Central Asia,umc,Female,years,11.87199974
ARM,Armenia,Europe & Central Asia,umc,Total,lays,8.276086807
ARM,Armenia,Europe & Central Asia,umc,Male,lays,8.029296875
ARM,Armenia,Europe & Central Asia,umc,Female,lays,8.50453949
AUS,Australia,East Asia & Pacific,hic,Total,years,12.78999996
AUS,Australia,East Asia & Pacific,hic,Male,years,12.57699966
AUS,Australia,East Asia & Pacific,hic,Female,years,13.01399994
AUS,Australia,East Asia & Pacific,hic,Total,lays,10.55298519
AUS,Australia,East Asia & Pacific,hic,Male,lays,10.30009079
AUS,Australia,East Asia & Pacific,hic,Female,lays,10.82032013
AUT,Austria,Europe & Central Asia,hic,Total,years,12.2510004
AUT,Austria,Europe & Central Asia,hic,Male,years,12.18400002
AUT,Austria,Europe & Central Asia,hic,Female,years,12.32499981
AUT,Austria,Europe & Central Asia,hic,Total,lays,9.950544357
AUT,Austria,Europe & Central Asia,hic,Male,lays,9.85846138
AUT,Austria,Europe & Central Asia,hic,Female,lays,10.04991436
BDI,Burundi,Sub-Saharan Africa,lic,Total,years,2.243999958
BDI,Burundi,Sub-Saharan Africa,lic,Male,years,2.694999933
BDI,Burundi,Sub-Saharan Africa,lic,Female,years,1.812000036
BDI,Burundi,Sub-Saharan Africa,lic,Total,lays,1.51783371
BDI,Burundi,Sub-Saharan Africa,lic,Male,lays,1.789286137
BDI,Burundi,Sub-Saharan Africa,lic,Female,lays,1.253046989
BEL,Belgium,Europe & Central Asia,hic,Total,years,12.61900043
BEL,Belgium,Europe & Central Asia,hic,Male,years,12.34500027
BEL,Belgium,Europe & Central Asia,hic,Female,years,12.76099968
BEL,Belgium,Europe & Central Asia,hic,Total,lays,10.43455791
BEL,Belgium,Europe & Central Asia,hic,Male,lays,10.19490528
BEL,Belgium,Europe & Central Asia,hic,Female,lays,10.56541443
BEN,Benin,Sub-Saharan Africa,lmc,Total,years,4.987999916
BEN,Benin,Sub-Saharan Africa,lmc,Male,years,6.481999874
BEN,Benin,Sub-Saharan Africa,lmc,Female,years,3.499000072
BEN,Benin,Sub-Saharan Africa,lmc,Total,lays,3.064011335
BEN,Benin,Sub-Saharan Africa,lmc,Male,lays,3.983525753
BEN,Benin,Sub-Saharan Africa,lmc,Female,lays,2.148488998
BGD,Bangladesh,South Asia,lmc,Total,years,9.210000038
BGD,Bangladesh,South Asia,lmc,Male,years,10.05200005
BGD,Bangladesh,South Asia,lmc,Female,years,8.37899971
BGD,Bangladesh,South Asia,lmc,Total,lays,5.427494049
BGD,Bangladesh,South Asia,lmc,Male,lays,5.897939682
BGD,Bangladesh,South Asia,lmc,Female,lays,4.957724094
BGR,Bulgaria,Europe & Central Asia,hic,Total,years,12.26299953
BGR,Bulgaria,Europe & Central Asia,hic,Male,years,12.07800007
BGR,Bulgaria,Europe & Central Asia,hic,Female,years,12.45800018
BGR,Bulgaria,Europe & Central Asia,hic,Total,lays,8.654603958
BGR,Bulgaria,Europe & Central Asia,hic,Male,lays,8.348537445
BGR,Bulgaria,Europe & Central Asia,hic,Female,lays,8.997051239
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,years,11.57800007
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,years,11.53299999
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,years,11.64000034
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Total,lays,8.367763519
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Male,lays,8.000085831
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",hic,Female,lays,8.757818222
BRA,Brazil,Latin America & Caribbean,umc,Total,years,9.625
BRA,Brazil,Latin America & Caribbean,umc,Male,years,9.163999557
BRA,Brazil,Latin America & Caribbean,umc,Female,years,10.04599953
BRA,Brazil,Latin America & Caribbean,umc,Total,lays,6.363969326
BRA,Brazil,Latin America & Caribbean,umc,Male,lays,6.014499664
BRA,Brazil,Latin America & Caribbean,umc,Female,lays,6.691256046
BRN,Brunei Darussalam,East Asia & Pacific,hic,Total,years,9.392000198
BRN,Brunei Darussalam,East Asia & Pacific,hic,Male,years,8.946000099
