Year,Sex,Agriculture,Industry,Service
1991,female,64.8083874375702,12.87475729041,22.3168380600996
1992,female,60.0333970626238,16.8179223734231,23.1486981914537
1993,female,56.9497458292546,18.2928328317757,24.7574213389696
1994,female,60.9468500164396,13.8457034649731,25.2074641010358
1995,female,61.4275491771564,12.9774682086072,25.5949826142365
1996,female,61.6468058187215,13.0474052773945,25.305788903884
1997,female,58.3527212444005,15.3962999541462,26.2509788014532
1998,female,58.0480855080099,14.6893593524637,27.2625551395263
1999,female,56.8330262316348,14.8259647739892,28.3410251208437
2000,female,52.1726275958566,18.1507373317628,29.6766350723805
2001,female,55.2022336809924,16.7935914758671,28.0041577806788
2002,female,51.9245496418362,18.5659717714434,29.5094785867204
2003,female,50.3359455047999,18.2315110931457,31.4325434020544
2004,female,42.5857584983648,21.2090500211832,36.2052111217895
2005,female,38.4276023953043,21.6311115908765,39.9412860138192
2006,female,35.9724598496596,21.231022005758,42.7965181445824
2007,female,35.1774083602985,20.8003714325658,44.0222202071357
2008,female,34.5882007352919,20.417900836976,44.9939160597861
2009,female,32.2315274050884,19.3503555507421,48.4181170441695
2010,female,32.2287531428628,20.5635453701703,47.2076861409574
2011,female,32.1161426436862,19.9204787215563,47.9633786347576
2012,female,30.3707019595556,19.2158672744888,50.4134442655153
2013,female,29.5706871073049,19.6447368117394,50.7845889020833
2014,female,28.9032065773111,19.5964922663066,51.500288484117
2015,female,27.2937197268189,18.4885389761719,54.2177532024018
2016,female,26.0072086695755,17.9654360909583,56.0273552394662
2017,female,25.9311158368242,17.6136126549882,56.4552606699484
2018,female,24.2618690427404,17.9080115614762,57.8301193957834
2019,female,23.4241517502549,17.311996921264,59.2638513284811
2020,female,23.0526036931974,17.7417842239576,59.2056006739465
2021,female,22.7160423758274,17.6682600292314,59.6156975949413
2022,female,20.4468808249381,18.0307744560745,61.5223544009955
2023,female,18.5168321013885,18.0660238836468,63.4171533436397
2024,female,18.4943388553572,17.6255386470328,63.8801314156072
2025,female,18.047859367629,17.4709279456947,64.4812214178751
1991,male,37.9859707040789,27.0872067870921,34.9268150907879
1992,male,36.324323700346,27.2593471919355,36.4163291077185
1993,male,35.5402624397015,26.4274064011244,38.0323238715712
1994,male,35.1271391070336,26.9557744095519,37.9170794261882
1995,male,35.0445663229067,26.8394393865639,38.1159942905294
1996,male,34.3667918301171,27.6969051723769,37.9363096816834
1997,male,33.4172278125663,28.2687327495144,38.3140394379192
1998,male,32.40831710305,28.1486551326291,39.4430148954848
1999,male,30.7403834239025,27.9160478194102,41.3435751871042
2000,male,28.1496433489691,29.2243241517663,42.6260324992646
2001,male,28.8619433669186,28.0977731657516,43.0402899602962
2002,male,26.1524744409467,28.0435513592911,45.8039808293509
2003,male,25.6540728271913,27.6674626356636,46.6784645371451
2004,male,22.792730339421,29.3105084519413,47.8967612086377
2005,male,19.7588224377796,31.1428710400834,49.098306522137
2006,male,18.3455582753083,31.9040876412847,49.7503477446421
2007,male,17.8549045482008,32.04427314254,50.1008097847488
2008,male,18.1923337214112,32.3616563584569,49.4459975851881
2009,male,17.9193424934105,30.8110966587306,51.2695608478589
2010,male,18.7293314317049,31.8435445024641,49.427124065831
2011,male,19.2834535794158,32.5440126698311,48.1725393620374
2012,male,19.0750207464304,32.2932731939578,48.6317005456104
2013,male,18.4426910107064,32.726398376185,48.8309106131086
2014,male,18.0328586632896,32.7935021117653,49.1736339623722
2015,male,17.6651165159812,32.4761033999745,49.8587800840443
2016,male,16.887971428305,32.1242062288057,50.9878273038042
2017,male,16.6898613359301,32.0255975489933,51.2845411150766
2018,male,16.0168567603485,32.2047657021262,51.7783728121963
2019,male,15.9117418384555,30.5686740570831,53.5195792430063
2020,male,15.3466009906963,31.6071429386257,53.0462611407199
2021,male,14.6615681791304,32.0314749179022,53.3069521246286
2022,male,13.4091459017419,32.2828662866183,54.3079832349864
2023,male,12.7746662065432,32.1871882831156,55.0381455103413
2024,male,12.6075406988147,32.1712208532367,55.2212340525672
2025,male,12.3135550472679,32.1811137298557,55.5053268744075
