country_name,iso3,series_name,series_code,year,value
Central African Republic,CAF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,6.21748769
Chad,TCD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,6.340826474
Tuvalu,TUV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,8.722550433
Sierra Leone,SLE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,10.8953836
"Congo, Dem. Rep.",COD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,11.87264818
Ethiopia,ETH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,13.54720092
Kiribati,KIR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,15.0879416
Nepal,NPL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,16.48688567
Benin,BEN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,17.69683224
Uganda,UGA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,18.09712278
Malawi,MWI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,18.18165397
Nauru,NRU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,18.66316211
Vanuatu,VUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,19.19708399
Togo,TGO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,20.52323528
Madagascar,MDG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,22.05599449
Guinea-Bissau,GNB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,23.98501679
Zimbabwe,ZWE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,25.46056336
Senegal,SEN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,27.19314071
Mozambique,MOZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,27.5429457
Tonga,TON,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,29.59845432
Nigeria,NGA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,29.90459919
Cambodia,KHM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,29.98557614
Indonesia,IDN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,30.46097736
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,30.55472231
Lesotho,LSO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,31.32024171
Tanzania,TZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,31.32539895
Lao PDR,LAO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,35.18772308
Cote d'Ivoire,CIV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,36.44893816
Sao Tome and Principe,STP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,36.68003809
Eswatini,SWZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,38.2165357
Fiji,FJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,42.11075011
Ghana,GHA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,42.9413892
Mexico,MEX,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,42.96663115
Mongolia,MNG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,43.3607223
Pakistan,PAK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,44.97373641
Dominican Republic,DOM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,45.33240707
Sri Lanka,LKA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,46.93297051
Turks and Caicos Islands,TCA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,47.04991877
Lebanon,LBN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,47.7
"Gambia, The",GMB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,48.17900349
Philippines,PHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,48.48405774
Guatemala,GTM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,48.78719507
Peru,PER,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,49.42839623
Suriname,SUR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,55.84724104
Azerbaijan,AZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,57.81182832
Viet Nam,VNM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,58.58083914
Bangladesh,BGD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,59.12542599
Myanmar,MMR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,59.72397508
Iraq,IRQ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,59.82724613
Samoa,WSM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,62.5019406
Botswana,BWA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,63.29104124
Paraguay,PRY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,64.36471974
Seychelles,SYC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,64.70223163
Tunisia,TUN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,64.97810721
Tajikistan,TJK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,65.10807152
Honduras,HND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,65.51622118
Bhutan,BTN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,65.59421597
Guyana,GUY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,67.17443743
South Africa,ZAF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,68.00756388
