hex_id,pop,light
865800497ffffff,3366,33
86580049fffffff,2710,31
865800687ffffff,8519,31
865800697ffffff,7290,32
86580069fffffff,2827,30
8658006b7ffffff,6600,33
865802007ffffff,4169,33
86580200fffffff,3333,32
865802017ffffff,1385,32
86580201fffffff,1595,30
865802027ffffff,1772,29
86580202fffffff,1191,28
865802037ffffff,2354,154
865802047ffffff,2237,29
86580204fffffff,5678,30
865802057ffffff,3894,30
86580205fffffff,2457,30
865802067ffffff,1982,30
86580206fffffff,2915,32
865802077ffffff,1214,30
865802087ffffff,1053,40
86580208fffffff,723,31
865802097ffffff,2713,65
86580209fffffff,1681,31
8658020a7ffffff,1143,34
8658020afffffff,757,83
8658020b7ffffff,1556,43
8658020c7ffffff,1066,32
8658020cfffffff,833,31
8658020d7ffffff,679,29
8658020dfffffff,712,30
8658020e7ffffff,2499,35
8658020efffffff,1369,192
8658020f7ffffff,865,30
865802107ffffff,3127,33
86580210fffffff,2893,34
865802117ffffff,3905,30
86580211fffffff,2791,32
865802127ffffff,5179,34
86580212fffffff,3418,32
865802137ffffff,2593,77
865802147ffffff,2046,31
86580214fffffff,1994,29
865802157ffffff,2466,31
86580215fffffff,1768,30
865802167ffffff,2703,32
86580216fffffff,2050,30
865802177ffffff,1769,30
865802187ffffff,4418,42
86580218fffffff,2639,34
865802197ffffff,1764,140
86580219fffffff,1210,36
8658021a7ffffff,2705,46
8658021afffffff,2089,113
8658021b7ffffff,2600,35
865802207ffffff,2192,30
86580220fffffff,3903,30
865802217ffffff,2039,28
86580221fffffff,3141,29
865802227ffffff,2195,29
86580222fffffff,4736,31
865802237ffffff,1560,29
865802247ffffff,11865,38
86580224fffffff,22000,60
865802257ffffff,14979,34
86580225fffffff,13301,30
865802267ffffff,11561,64
86580226fffffff,8833,40
865802277ffffff,8877,33
865802287ffffff,1745,26
86580228fffffff,1683,27
865802297ffffff,1385,28
86580229fffffff,1377,28
8658022a7ffffff,2116,28
8658022afffffff,3136,28
8658022b7ffffff,2296,27
8658022c7ffffff,7124,31
8658022cfffffff,17671,33
8658022d7ffffff,2676,26
8658022dfffffff,6550,30
8658022e7ffffff,3896,30
8658022efffffff,11896,31
8658022f7ffffff,1764,27
865802307ffffff,2952,47
86580230fffffff,4488,36
865802317ffffff,2439,30
86580231fffffff,1567,29
865802327ffffff,1700,28
86580232fffffff,2967,32
865802337ffffff,3749,39
865802347ffffff,25110,32
86580234fffffff,24809,32
865802357ffffff,7099,42
86580235fffffff,9156,31
865802367ffffff,7596,30
86580236fffffff,9096,29
865802377ffffff,7135,31
865802387ffffff,1089,31
86580238fffffff,1526,30
865802397ffffff,1243,28
86580239fffffff,2097,28
8658023a7ffffff,1353,29
8658023afffffff,1184,29
8658023b7ffffff,894,40
865802407ffffff,2205,39
86580240fffffff,3081,31
865802417ffffff,1579,44
86580241fffffff,1441,30
865802427ffffff,5414,35
86580242fffffff,7255,31
865802437ffffff,1686,35
865802447ffffff,3901,30
86580244fffffff,1174,82
865802457ffffff,4568,30
86580245fffffff,3373,29
865802467ffffff,5388,42
86580246fffffff,2653,28
865802477ffffff,16136,32
865802487ffffff,3387,30
86580248fffffff,2001,32
865802497ffffff,4597,31
86580249fffffff,2525,51
8658024a7ffffff,3907,31
8658024afffffff,1801,28
8658024b7ffffff,3325,31
8658024c7ffffff,1271,53
8658024cfffffff,2183,29
8658024d7ffffff,1812,28
8658024dfffffff,1190,36
8658024e7ffffff,1606,28
8658024efffffff,2841,31
8658024f7ffffff,2173,32
865802507ffffff,4503,33
86580250fffffff,4517,72
865802517ffffff,1443,67
86580251fffffff,1665,43
865802527ffffff,16379,30
86580252fffffff,4309,31
865802537ffffff,4513,31
865802547ffffff,2653,37
86580254fffffff,3650,56
865802557ffffff,4741,35
86580255fffffff,12090,33
865802567ffffff,2454,37
86580256fffffff,1924,293
865802577ffffff,1697,44
865802587ffffff,3421,30
86580258fffffff,3651,37
865802597ffffff,6745,29
86580259fffffff,3875,32
8658025a7ffffff,4315,38
8658025afffffff,1857,67
8658025b7ffffff,6945,31
865802607ffffff,890,27
86580260fffffff,1767,30
865802617ffffff,1640,28
86580261fffffff,2183,27
865802627ffffff,863,100
86580262fffffff,2252,29
865802637ffffff,781,28
865802647ffffff,1534,28
86580264fffffff,2983,38
865802657ffffff,2282,31
86580265fffffff,3217,43
865802667ffffff,1356,28
86580266fffffff,1402,29
865802677ffffff,2012,28
865802687ffffff,12152,29
86580268fffffff,14413,33
865802697ffffff,10588,31
86580269fffffff,5774,31
8658026a7ffffff,4433,31
8658026afffffff,6889,29
8658026b7ffffff,8100,32
8658026c7ffffff,14893,29
