iso3c,neet_date,neet_T,neet_F,neet_M,gdp_percap
AFG,2021,43.8,65.1,19.6,380
AGO,2022,24.8,26.1,23.5,2333
ALB,2023,23.2,24,22.3,5420
ARE,2023,8.9,14.9,6,42508
ARG,2023,15,16.7,13.4,12933
ARM,2021,21.9,25.1,18.2,5151
AUS,2023,7.9,7.7,8.1,61584
AUT,2023,13.1,10.9,15.2,46339
BEL,2023,6.7,5.7,7.6,44731
BEN,2022,14.2,16.7,11.8,1264
BFA,2023,34.2,39.5,27,744
BGD,2022,15,19.1,10.5,1885
BGR,2023,11.4,11.6,11.3,9820
BIH,2023,16,15,16.9,6507
BLR,2022,5.1,5.1,5.2,6483
BOL,2023,9.6,13.6,5.7,3226
BRA,2023,20.6,25.5,15.9,9258
BRN,2023,16.5,18.9,14.4,28725
BWA,2023,37.6,40.4,34.8,7236
CAN,2023,11.7,10.8,12.6,44469
CHE,2023,6.6,6.4,6.8,89556
CHL,2023,15.3,16.7,14,14227
CIV,2022,18.8,24.6,12.9,2303
CMR,2021,23.2,30.4,14.7,1467
COL,2023,23.3,30,16.6,6819
COM,2021,21.2,22.8,19.6,1383
CRI,2023,20.9,23.7,18.6,14319
CYP,2023,13.6,14.6,12.7,32341
CZE,2023,7,9.6,4.4,20246
DEU,2023,7.5,7.7,7.2,44337
DNK,2023,7.1,7,7.3,61296
DOM,2023,25.7,30.8,20.7,8857
ECU,2023,18.6,26.3,11.3,6238
EGY,2023,24.6,36.2,14.6,4111
ESP,2023,9.9,9.1,10.7,28570
EST,2023,9.6,7.2,12,20123
ETH,2021,17.5,24.9,9.9,875
FIN,2023,7.5,6.8,8.1,45589
FRA,2023,11.8,10.4,13.2,39117
GBR,2023,12.8,12.1,13.5,47323
GHA,2022,27.6,29.8,25.2,2087
GMB,2023,39.8,38.8,41,728
GNB,2022,13.2,15.2,11.2,767
GRC,2023,12.5,12.4,12.6,21139
GRD,2023,20.1,20.6,19.6,9728
GTM,2023,23.8,38.4,7.5,4471
HKG,2023,5.9,5.6,6.3,43573
HND,2023,30.4,43.7,17.1,2527
HRV,2023,9.8,9.6,10.1,17147
HUN,2023,9.8,11,8.6,16283
IDN,2023,21.4,26.3,16.7,4193
IND,2023,23.5,38.1,10.2,2236
IRL,2023,6.4,6,6.8,91648
IRN,2022,26.9,37.8,17.2,5668
IRQ,2021,36.9,52.7,22.1,4176
ISL,2023,3.7,2.6,4.7,59096
ISR,2023,14.9,15.7,14.2,42853
ITA,2023,12.7,12.3,13,34088
JAM,2023,19.7,20.3,19.1,5329
JOR,2023,30.2,34.5,26.3,3950
KEN,2021,18.7,25,12.2,1808
KGZ,2022,19.8,28,11.9,1264
KHM,2021,6.2,8.1,4.3,2084
LAO,2022,22.5,24.6,20.4,2649
LCA,2023,31.1,32.8,29.7,11440
LKA,2022,18.1,22.3,13.5,3969
LTU,2023,13.5,12.6,14.5,18686
LUX,2023,8.8,10.6,7.2,106343
LVA,2023,7.2,6.3,8,16704
MDA,2023,13.3,12.1,14.6,3729
MDG,2022,24.5,30.1,18.7,448
MEX,2023,16.4,24.1,8.5,10242
MHL,2021,40,42,38.1,5470
MKD,2023,19.1,19.6,18.7,6394
MLI,2022,26.7,39.6,13.7,743
MLT,2023,8.2,8.3,8.1,33001
MNE,2022,20.1,18.4,21.7,8403
MNG,2023,14.6,16,13.4,4457
MOZ,2022,19.2,22.2,15.8,610
MUS,2023,17.4,20.2,14.6,11319
MYS,2022,10.2,10.6,9.9,11430
NER,2022,15.7,22,8.7,562
NGA,2023,11.9,15.1,8.6,2416
NLD,2023,3.3,3.5,3.1,51306
NOR,2023,5.4,5.2,5.7,78912
NRU,2021,41,48.9,33.4,8463
NZL,2023,11.7,12.4,11,41767
OMN,2022,25.5,32.1,20.8,18099
PAK,2021,34.6,56.4,13.6,1616
PAN,2023,15.1,21.4,9.2,16873
PER,2022,22.8,25.8,19.9,6553
PHL,2022,12.8,15.4,10.2,3746
PNG,2022,27.7,31.2,24.4,2497
POL,2023,10.2,10.4,10.1,17391
PRT,2023,7.9,7.2,8.5,22292
PSE,2022,28.2,33.2,23.4,2863
ROU,2023,16.6,19.7,13.7,12399
RUS,2023,8.7,9.9,7.6,10421
RWA,2023,27.9,31.3,24.5,1004
SAU,2023,17,21.5,13.3,23332
SDN,2022,46.5,62.1,29.6,767
SEN,2022,31.3,41.1,20,1463
SGP,2023,6.8,5.9,7.5,65422
SLV,2023,21.5,30.8,11.5,4481
SRB,2023,12.4,12.2,12.6,8211
SVK,2023,9.2,8,10.2,19239
SVN,2023,7.3,7.5,7.1,25709
SWE,2023,5.1,5.1,5.1,54450
SWZ,2021,34.4,38.9,29.9,3726
SYC,2023,20.4,17.1,23.5,16715
TGO,2022,13,15.5,10.3,897
THA,2023,12.5,15.5,9.4,6394
TLS,2022,29.1,29.2,29.1,1278
TTO,2023,14.4,16.9,11.8,16062
TUN,2023,22.6,20.8,24.4,3959
TUR,2023,22.4,29.7,15.6,14714
TUV,2022,34.3,35.5,33.3,4773
UGA,2021,13.8,17.8,9.4,956
URY,2023,14.9,15.9,13.9,18296
USA,2023,11.2,11.4,11,65875
VNM,2023,10.8,11.8,9.9,3760
WSM,2022,30.1,32.7,27.6,4003
XKX,2022,32.9,33.8,32.1,4889
ZAF,2023,34,35.5,32.5,5747
ZMB,2023,28.9,32.3,25.4,1331
ZWE,2023,30,36,23.8,1411
