iso3c,access,coverage_3G
AFG,16.1,71
AGO,40.7,85.7
ALB,85.9,99.6
AND,94.4,99.5
ARE,100,100
ARG,89.7,98.5
ARM,81.3,100
ATG,72.7,99
AUS,96.1,99.7
AUT,94.9,98
AZE,90.4,100
BDI,8.6,53.2
BEL,95.8,100
BEN,34,85
BFA,28.3,79.6
BGD,53.4,99.7
BGR,82.4,100
BHR,100,100
BHS,92.5,98
BIH,86.1,98
BLR,94.3,99.9
BLZ,80,98
BOL,79.7,95
BRA,84.5,92.7
BRB,70.4,100
BRN,96.3,99.1
BTN,91.3,97
BWA,57.5,98
CAF,13.8,59.6
CAN,94.4,99.7
CHE,97.3,100
CHL,95.6,98
CHN,92,100
CIV,41.4,98.3
CMR,46.3,80.5
COD,19.7,55
COG,47.3,87
COL,79.3,100
COM,32.5,94
CPV,74.7,95.3
CRI,87.2,95
CUB,70.5,74.7
CYP,89.6,100
CZE,87.7,99.8
DEU,93.5,100
DJI,65.3,90
DMA,82,100
DNK,99.8,100
DOM,91,98.7
DZA,77.4,99.1
ECU,77.2,96.7
EGY,74.6,99.8
ESP,95.8,99.7
EST,92.2,100
ETH,21.9,98.8
FIN,93.7,100
FJI,74.7,93
FRA,88.7,99
FSM,39.5,85
GAB,68.7,98
GBR,95.5,99.9
GEO,83.8,99.9
GHA,72.2,99.5
GIN,33.3,81.3
GMB,49.5,92.8
GNB,29.8,57.5
GNQ,63.3,74.4
GRC,86.3,99.9
GRD,70.2,98.5
GTM,60.2,95
GUY,83,93.2
HKG,95.8,99
HND,58.6,93
HRV,83.6,99.8
HTI,47.9,67.5
HUN,93.8,99.2
IDN,72.8,99.2
IND,64.9,99.1
IRL,97.2,99.9
IRN,85.3,96.8
IRQ,81.5,99.2
ISL,98.2,99.5
ISR,88.2,99
ITA,89.2,100
JAM,90.1,99
JOR,95.6,99.9
JPN,85.5,99.9
KAZ,93.4,92.2
KEN,35,98
KGZ,92,99.6
KHM,68.5,93.2
KIR,89.4,76
KNA,76.9,100
KOR,97.9,99.9
KWT,99.7,100
LAO,65.6,95.6
LBN,80.6,99.6
LBR,32.2,85.4
LBY,82,98
LCA,68.2,100
LIE,98.3,99
LKA,54.6,97.4
LSO,51.8,95.8
LTU,89.2,100
LUX,98.8,100
LVA,92.7,99
MAC,89.8,99.7
MAR,91.2,99.3
MCO,99,100
MDA,77.4,99.9
MDG,18.7,69.2
MDV,85.2,100
MEX,83.1,97.4
MHL,65.9,
MKD,93.6,99.9
MLI,36.8,92.4
MLT,93.9,100
MNE,88.9,98.1
MNG,85.1,100
MOZ,20.5,86
MRT,45.8,78
MUS,73.3,99
MWI,19,89.4
MYS,98,98.6
NAM,64.9,89
NER,15.6,44
NGA,41.2,89.4
NIC,61.4,87.7
NLD,97,99
NOR,99,100
NPL,46.3,90
NZL,93.5,98.6
OMN,95.3,100
PAK,57.3,81
PAN,72.8,95
PER,82,94.3
PHL,67.3,98.7
PNG,18.8,76
POL,88.6,100
PRT,88.5,100
PRY,81.6,99.6
QAT,98.1,100
ROU,91.3,99.6
RUS,94.4,97
RWA,31.7,99.8
SAU,100,100
SEN,60.1,99.5
SGP,94.4,100
SLB,29,45
SLE,25.1,97.2
SLV,66.5,97
SOM,27.9,83
SRB,87.7,99.5
STP,59.1,96
SVK,89.8,99
SVN,90.8,99.9
SWE,95.5,100
SWZ,63.4,99.1
SYC,87.8,99
TCD,12.6,84.5
TGO,39.5,99.7
THA,90.9,99
TJK,55.8,97.3
TON,67.4,99
TTO,82.2,100
TUN,76.5,99
TUR,87.3,99.8
TZA,31.2,91
UGA,8.9,97.8
UKR,82.5,95.8
URY,92,95.4
USA,94.7,99
UZB,89.5,97
VCT,76.2,100
VEN,76.7,85
VNM,84.2,99.8
ZAF,78.4,99.8
ZMB,17.1,95.5
ZWE,41.6,87.9
