region_code,region_name,value
ARG,Argentina,85.65226796
BGD,Bangladesh,30.25326779
BLZ,Belize,77.00778295
BEN,Benin,28.21632624
BOL,Bolivia,68.37743226
BWA,Botswana,63.21810619
BRA,Brazil,78.15924152
BFA,Burkina Faso,31.14989939
KHM,Cambodia,40.93580535
CMR,Cameroon,54.80894953
TCD,Chad,13.92455262
COL,Colombia,73.20469766
COM,Comoros,37.26981166
COD,"Congo, Dem. Rep.",38.70837949
COG,"Congo, Rep.",34.96181251
CRI,Costa Rica,83.48238358
CIV,Cote d'Ivoire,50.41905084
DOM,Dominican Republic,74.68483203
ECU,Ecuador,75.2290469
EGY,"Egypt, Arab Rep.",49.61793323
SLV,El Salvador,65.43254881
SWZ,Eswatini,57.47239551
ETH,Ethiopia,30.17759942
GAB,Gabon,70.77585733
GMB,"Gambia, The",47.41119748
GHA,Ghana,62.60011173
GTM,Guatemala,53.29273129
GIN,Guinea,23.17700938
HND,Honduras,65.86170173
IND,India,28.0386163
IDN,Indonesia,69.2393364
IRQ,Iraq,66.82258157
JOR,Jordan,72.00968968
KEN,Kenya,71.92926639
KGZ,Kyrgyz Republic,84.37153305
LAO,Lao PDR,48.44527814
LBN,Lebanon,89.28042423
LSO,Lesotho,53.49244489
LBR,Liberia,38.12284443
MDG,Madagascar,32.75860587
MWI,Malawi,42.66597085
MYS,Malaysia,83.95509048
MLI,Mali,31.69515684
MRT,Mauritania,53.16227703
MEX,Mexico,71.2765987
MNG,Mongolia,83.40433369
MAR,Morocco,54.8429076
MOZ,Mozambique,38.48485305
NAM,Namibia,52.92228022
NPL,Nepal,35.74402401
NIC,Nicaragua,64.44987692
NER,Niger,14.79423564
NGA,Nigeria,57.08257856
PAK,Pakistan,32.12981658
PAN,Panama,69.7906518
PRY,Paraguay,80.98414132
PER,Peru,69.38779064
PHL,Philippines,39.07375979
SEN,Senegal,66.66359027
SLE,Sierra Leone,33.74579567
ZAF,South Africa,73.19317801
LKA,Sri Lanka,48.72158503
TJK,Tajikistan,49.63176473
TZA,Tanzania,53.70063183
THA,Thailand,50.64310651
TGO,Togo,47.89562087
TUN,Tunisia,65.27212707
TUR,Turkiye,86.97586243
UGA,Uganda,52.8276107
UZB,Uzbekistan,55.69070163
VEN,"Venezuela, RB",84.54353658
VNM,Viet Nam,68.40811243
PSE,West Bank and Gaza,79.09704016
ZMB,Zambia,52.70959888
ZWE,Zimbabwe,68.24666834
