lng,lat,year,value
68.7521,36.1792,2000,60615
69.2633,34.9412,2000,59869
69.1695,35.0162,2000,114177
70.553,37.1044,2000,55024
65.2553,34.5234,2000,67653
68.4168,33.5409,2000,184827
64.5632,31.8233,2000,69804
62.2052,34.3499,2000,417505
68.9098,37.1845,2000,77922
70.4482,34.4275,2000,191762
65.7183,31.6238,2000,247227
68.8689,36.7226,2000,231849
69.1552,34.5297,2000,2714906
64.3628,31.587,2000,87699
64.7864,35.9168,2000,65025
67.116,36.7115,2000,331846
65.8484,31.4919,2000,87787
68.7062,35.9544,2000,100275
68.0216,36.2668,2000,64343
67.4417,33.1316,2000,70085
65.9341,36.2191,2000,79916
65.7548,36.6652,2000,103340
62.1563,33.3045,2000,64019
69.5388,36.7331,2000,115476
62.283,35.2442,2000,60949
69.1112,36.6824,2000,82765
19.4647,41.3223,2000,98413
20.0824,41.1142,2000,90662
19.5579,40.7273,2000,64891
20.7802,40.6163,2000,53313
19.5133,42.0685,2000,88343
19.8095,41.3382,2000,411536
19.4846,40.4661,2000,71735
7.3847,35.7941,2000,93782
6.5697,36.036,2000,55016
2.9013,35.4485,2000,68403
-1.1369,35.3026,2000,57516
7.7394,36.8753,2000,407920
-0.3186,35.8424,2000,53390
5.3663,35.3901,2000,78999
6.1718,35.5454,2000,256047
-2.2201,31.6059,2000,118439
5.0538,36.7432,2000,145551
2.9201,36.136,2000,52102
5.7291,34.8483,2000,176792
2.8483,36.5012,2000,312621
4.7614,36.0743,2000,135160
4.1752,35.2141,2000,92264
3.8932,36.3766,2000,64676
3.3555,36.73,2000,183270
7.7549,35.2696,2000,51635
1.2607,36.1984,2000,57791
1.3327,36.1535,2000,138519
6.6188,36.3607,2000,476648
3.2564,34.6698,2000,154793
0.5477,32.8982,2000,63517
3.0871,36.7382,2000,2182835
5.688,36.154,2000,113639
6.7043,36.2615,2000,62001
6.8676,33.3552,2000,136975
3.667,32.4933,2000,93283
7.4302,36.4596,2000,106411
3.0341,35.0751,2000,52236
5.7577,36.8105,2000,113383
2.2185,36.2607,2000,70214
7.144,35.4282,2000,87161
2.7359,36.6452,2000,141996
2.7521,35.8817,2000,55194
2.8629,33.8023,2000,95545
4.5354,35.7138,2000,109838
-1.737,34.8507,2000,76274
0.1386,35.3997,2000,85174
2.761,36.2655,2000,128835
3.4972,34.1561,2000,64590
6.2605,36.4449,2000,52273
0.0728,35.585,2000,58152
0.0935,35.9297,2000,141048
-0.6183,35.6914,2000,834906
5.3343,31.9482,2000,134621
0.5556,35.7382,2000,101599
0.1505,34.8461,2000,120544
5.4175,36.1921,2000,222456
3.7737,35.8867,2000,52334
-0.6285,35.1979,2000,184423
-0.1888,35.5273,2000,54396
6.9268,36.8686,2000,171356
1.4968,35.1828,2000,54674
7.9525,36.2832,2000,119008
5.5268,22.7901,2000,65402
8.1098,35.4083,2000,162761
1.3235,35.3636,2000,157038
1.8107,35.6015,2000,53763
4.044,36.7091,2000,95460
-1.3211,34.8943,2000,183068
6.0689,33.1081,2000,110207
16.6933,-11.486,2000,183794
15.8617,-12.1938,2000,126980
13.4059,-12.6011,2000,409693
14.1353,-12.4677,2000,60961
12.2036,-5.5783,2000,114431
17.999,-8.7673,2000,70207
15.372,-8.1888,2000,58628
17.4798,-12.0197,2000,114645
16.2262,-12.5661,2000,53507
13.6595,-8.5818,2000,103029
15.5624,-12.8505,2000,126657
14.2477,-13.0373,2000,132118
16.9375,-12.3876,2000,330597
14.4256,-9.6847,2000,83489
20.8254,-7.3867,2000,96897
14.3788,-10.8517,2000,82445
14.6354,-13.0182,2000,104130
15.7422,-12.7701,2000,690374
13.5815,-12.3771,2000,382641
13.2977,-8.8782,2000,714643
13.5144,-14.9071,2000,244951
19.9086,-11.7785,2000,61132
16.3511,-9.5436,2000,317681
15.1054,-6.0601,2000,146607
15.0164,-14.7446,2000,59404
17.6896,-14.6612,2000,320414
12.1552,-15.206,2000,122577
16.2236,-11.8394,2000,53040
14.9134,-9.2998,2000,248572
15.2688,-7.7605,2000,213335
15.7241,-17.0694,2000,58296
13.7677,-10.7312,2000,143661
16.2167,-6.5259,2000,73950
15.9981,-7.3132,2000,67001
20.3925,-9.667,2000,297699
14.3012,-11.4072,2000,60286
14.8498,-7.3503,2000,83990
13.8456,-11.2165,2000,101999
15.0526,-7.6086,2000,964837
15.1127,-11.3594,2000,72416
-62.2674,-38.7203,2000,214155
-58.5128,-34.6508,2000,11711634
-58.9588,-34.1718,2000,56635
-67.9897,-38.9331,2000,59069
-67.5207,-45.8718,2000,85269
-58.0215,-31.3814,2000,115992
-64.2016,-31.4016,2000,1275677
-58.8143,-27.4816,2000,305509
-58.1889,-26.1796,2000,150290
-67.5764,-39.0244,2000,59694
-59.2612,-29.1486,2000,67119
-58.5245,-33.0104,2000,57009
-60.9481,-34.5858,2000,73104
-57.9599,-34.9127,2000,584744
-66.8554,-29.4158,2000,117174
-59.1089,-34.5675,2000,58214
-57.572,-38.0063,2000,514892
-68.8292,-32.9029,2000,775549
-58.7328,-38.5616,2000,66164
-68.0776,-38.9526,2000,160749
-55.1194,-27.4849,2000,58535
-60.3193,-36.8962,2000,66884
-60.5178,-31.7441,2000,196732
-60.5721,-33.896,2000,76175
-55.9107,-27.3935,2000,236805
-60.4382,-26.7881,2000,72501
-61.4897,-31.2511,2000,67181
-59.6538,-29.1421,2000,87193
-58.9851,-27.4607,2000,340947
-60.6743,-32.9497,2000,980625
-64.35,-33.1258,2000,113852
-69.2271,-51.6288,2000,74757
-65.4173,-24.7998,2000,390105
-71.3036,-41.1496,2000,73477
-65.7752,-28.4658,2000,141058
-62.0834,-31.4296,2000,50897
-68.542,-31.5395,2000,378810
-66.3311,-33.2942,2000,133567
-68.4721,-33.0813,2000,58577
-65.2152,-26.825,2000,742980
-60.2161,-33.3424,2000,111923
-64.8666,-24.2329,2000,52675
-68.3324,-34.618,2000,86537
-64.3207,-23.1367,2000,65077
-65.2911,-24.2,2000,195360
-60.7078,-31.6178,2000,323916
-64.2881,-36.6231,2000,81100
-64.2612,-27.7852,2000,294969
-60.7709,-31.6771,2000,54767
-59.1344,-37.3174,2000,83123
-65.3114,-43.2564,2000,76503
-61.9652,-33.7472,2000,57605
-63.24,-32.4136,2000,67799
-65.4626,-33.6762,2000,73850
-59.0316,-34.102,2000,67510
43.8453,40.7959,2000,142012
44.5021,40.804,2000,77646
44.5061,40.1803,2000,1153392
138.5863,-34.8888,2000,707798
153.027,-27.4759,2000,570066
150.7042,-33.7608,2000,72402
150.7965,-34.0554,2000,90640
153.4238,-28.0368,2000,106604
138.5297,-35.108,2000,54549
147.3049,-42.8703,2000,58690
145.1475,-38.1415,2000,63334
145.0586,-37.8309,2000,2342596
151.7163,-32.9293,2000,141400
115.7831,-31.9013,2000,642547
144.6974,-37.8757,2000,56283
151.079,-33.859,2000,2858429
15.4349,47.062,2000,205362
11.4046,47.268,2000,110003
14.3081,46.6232,2000,63841
14.2948,48.2822,2000,201962
13.0421,47.8046,2000,122447
16.3626,48.2003,2000,1543803
49.8694,40.4119,2000,1618702
46.3474,40.687,2000,343303
48.0615,39.8691,2000,50822
48.8429,38.7521,2000,79626
47.0204,40.7667,2000,119726
45.4019,39.2016,2000,99931
47.175,41.1925,2000,68833
49.6552,40.5812,2000,297051
48.9275,39.9426,2000,67218
-77.3317,25.0446,2000,188854
50.5779,26.2079,2000,557983
90.2149,22.9925,2000,75249
91.2144,23.8845,2000,85954
88.9457,23.7592,2000,85922
91.1156,24.2775,2000,80853
89.7925,22.6566,2000,212486
89.4545,25.5319,2000,55563
