iso3c,year,urb_pop,gdp
AFG,2010,22.2614799,560.6215055
AFG,2014,24.19101664,625.0549418
AFG,2011,22.82056916,606.6946763
AFG,2003,19.16003464,198.8711157
AFG,2020,25.26221034,510.7870634
AFG,2015,24.46491184,565.5697304
AFG,2006,20.11045302,274.2185536
AFG,2019,25.14372588,496.6025043
AFG,2013,23.80771367,637.0870991
AFG,2004,19.3993594,221.7636539
AFG,2002,18.94124801,178.9540884
AFG,2012,23.34343913,651.4171345
AFG,2017,24.83528212,525.4697709
AFG,2024,25.70073526,
AFG,2007,20.59065792,376.223152
AFG,2016,24.65883457,522.0822156
AFG,2000,18.55819952,174.9309914
AFG,2009,21.68854751,452.0537055
AFG,2023,25.47305296,413.7578947
AFG,2001,18.74123813,138.7068217
AFG,2008,21.12414813,381.733238
AFG,2021,25.34786203,356.4962141
AFG,2022,25.39392506,357.2611528
AFG,2018,24.99916452,491.3372214
AFG,2005,19.70590958,254.1842491
ALB,2015,55.15792914,4199.539129
ALB,2003,44.02950892,1908.699007
ALB,2019,56.76390713,6069.439031
ALB,2005,45.99376669,2741.721365
ALB,2002,43.15204196,1479.838846
ALB,2014,54.73258132,4793.597511
ALB,2012,53.86375537,4280.933163
ALB,2021,57.5077187,7242.455131
ALB,2018,56.37700026,5897.654526
ALB,2017,55.98027643,5006.36013
ALB,2020,57.14085922,6027.913507
ALB,2024,58.5463634,11377.77574
ALB,2013,54.29796781,4542.929036
ALB,2022,57.86434777,7756.961887
ALB,2004,44.97849257,2446.909499
ALB,2023,58.21060861,9730.869219
ALB,2016,55.57387345,4457.634122
ALB,2011,53.29173829,4465.709143
ALB,2010,51.88157743,4149.144699
ALB,2009,50.61324394,4213.650076
ALB,2006,47.07010509,3057.77257
ALB,2001,42.35451399,1326.416524
ALB,2008,49.38506992,4498.504868
ALB,2000,41.61358296,1160.420471
ALB,2007,48.20228157,3743.055299
DZA,2015,70.14330709,4685.059027
DZA,2001,60.61771728,1896.300209
DZA,2008,65.90148587,5180.918815
DZA,2006,64.41543486,3660.661047
DZA,2002,61.38126586,1937.464114
DZA,2007,65.16907633,4167.451699
DZA,2014,69.54687652,6094.693923
DZA,2024,75.27929072,5752.990767
DZA,2003,62.1427908,2283.772993
DZA,2000,59.85212394,1772.928691
DZA,2005,63.65985419,3233.133396
DZA,2016,70.73537783,4424.98529
DZA,2009,66.50973846,4235.429905
DZA,2010,67.12350579,4912.785855
DZA,2013,68.94638361,5979.60139
DZA,2018,71.90524985,4577.210292
DZA,2017,71.32279124,4554.66754
DZA,2021,73.61992183,4160.559267
DZA,2004,62.9023132,2816.99385
DZA,2023,74.73280836,5370.477235
DZA,2022,74.17958624,4960.303343
DZA,2011,67.73440075,5916.313644
DZA,2012,68.34212586,6033.648847
DZA,2020,73.05411263,3743.541952
DZA,2019,72.48245614,4468.453419
ASM,2004,88.03614553,8958.428667
ASM,2011,86.02849917,10383.45933
ASM,2012,85.71611743,11745.48992
ASM,2003,88.2572251,9197.661968
ASM,2017,83.88903854,11863.68395
ASM,2018,83.47799733,12552.05469
ASM,2019,83.05421718,12886.13595
ASM,2002,88.43300933,8972.696365
ASM,2010,86.31906735,10375.17201
ASM,2023,81.37215427,
ASM,2006,87.49836099,8745.166211
ASM,2009,86.60359804,12156.02939
ASM,2014,85.0351448,12026.33449
ASM,2008,86.90017697,10030.80891
ASM,2024,80.9446987,
ASM,2013,85.38464652,11813.5022
ASM,2016,84.28628244,12843.33429
ASM,2000,88.60758093,
ASM,2022,81.7947977,18017.45894
ASM,2007,87.20178634,9231.372409
ASM,2020,82.62407806,14489.25866
ASM,2021,82.21270915,15236.16049
ASM,2015,84.66867065,12727.41027
ASM,2001,88.55343306,
ASM,2005,87.77983577,8831.26976
AND,2021,88.66273182,42425.70665
AND,2007,89.05000305,48336.25483
AND,2020,88.59077804,37361.10701
AND,2000,92.25593567,21810.25038
AND,2005,89.95636319,40829.81164
AND,2006,89.37892189,43467.19631
AND,2024,88.88500448,49303.64917
AND,2017,88.49770355,40672.97174
AND,2001,91.89497111,23511.29695
AND,2019,88.53917937,41257.81646
AND,2018,88.50809985,42819.75775
AND,2016,88.50274546,40129.83858
AND,2002,91.46053083,26528.13006
AND,2008,88.94073639,49132.49258
AND,2023,88.82016092,46812.4261
AND,2022,88.75487663,42414.04799
AND,2014,88.54404292,44369.6713
AND,2004,90.51576996,39021.11071
AND,2015,88.51808501,38654.95288
AND,2013,88.58093991,42470.32304
AND,2011,88.68883403,46657.14954
AND,2003,90.98875154,34063.5756
AND,2010,88.76047261,42746.83039
AND,2009,88.84433315,43975.00009
AND,2012,88.62909671,41500.55
AGO,2012,61.51142239,5702.453063
AGO,2002,52.89262348,999.0658559
AGO,2007,57.75646329,3515.05679
AGO,2001,51.72247904,533.5862024
AGO,2011,60.84316104,5184.152691
AGO,2003,54.00435454,1133.66332
AGO,2000,50.50706535,563.7337956
AGO,2016,64.29923025,2051.814621
AGO,2017,65.08505251,2790.718869
AGO,2005,56,2145.886211
AGO,2004,55.04452809,1451.471179
AGO,2010,60.13102895,4101.637156
AGO,2024,70.6551379,2665.874448
AGO,2009,59.37753163,3645.148466
AGO,2018,65.87321367,2860.093648
AGO,2014,62.72311579,5649.687625
AGO,2015,63.51567833,3641.728939
AGO,2021,68.25241636,2303.908127
AGO,2008,58.58517458,4578.155265
AGO,2019,66.66378232,2493.678844
AGO,2023,69.85150322,2916.136633
AGO,2022,69.0506189,3682.113151
AGO,2013,62.13330752,5688.579162
AGO,2006,56.89390327,2930.444286
AGO,2020,67.45682702,1759.356199
ATG,2021,24.57498382,17348.6007
ATG,2013,25.24756677,15051.51136
ATG,2009,26.48083508,16472.24785
ATG,2010,26.01704479,15217.39508
ATG,2008,27.05859066,18786.67431
ATG,2024,24.39069193,23542.45269
ATG,2014,25.08997261,15532.10621
ATG,2015,25,16077.63408
ATG,2012,25.45556186,15639.80781
ATG,2019,24.70833752,18896.37218
ATG,2020,24.64061563,15369.60823
ATG,2017,24.85002638,16965.72883
ATG,2007,27.72012658,18204.5124
ATG,2011,25.69468986,14911.72751
ATG,2001,31.75543482,11539.18251
ATG,2003,30.60037434,12173.23199
ATG,2022,24.5114484,20105.19891
ATG,2016,24.92398075,16556.85518
ATG,2006,28.43525787,16173.81363
ATG,2002,31.22803749,11658.69499
ATG,2005,29.17379957,14368.57088
ATG,2023,24.45001567,21494.5474
ATG,2000,32.2326072,12027.49498
ATG,2004,29.90556672,13037.88958
ATG,2018,24.77814321,18273.42707
ARG,2004,89.93972088,4242.020991
ARG,2013,91.30145077,12963.67577
ARG,2008,90.65219121,8944.110266
ARG,2002,89.56167019,2569.699635
ARG,2010,90.99300519,10260.13131
ARG,2011,91.10722867,12704.28318
ARG,2001,89.36829513,7141.475077
ARG,2019,91.85678445,9955.974787
ARG,2005,90.12337377,5067.653423
ARG,2006,90.30337265,5869.38029
ARG,2007,90.47966323,7185.251551
ARG,2012,91.20412172,12949.71749
ARG,2009,90.82090232,8150.23527
ARG,2024,92.2742316,13969.78366
ARG,2016,91.58568172,12699.96231
ARG,2017,91.67760284,14532.50093
ARG,2014,91.39753455,12233.14441
ARG,2003,89.75246826,3320.477751
ARG,2015,91.49230191,13679.6265
ARG,2021,92.02927762,10738.01792
ARG,2018,91.76799413,11752.79989
ARG,2020,91.94390266,8535.59938
ARG,2022,92.11283819,13962.18941
ARG,2023,92.19451323,14261.84657
ARG,2000,89.17602711,7637.014892
ARM,2017,64.71249486,3869.053739
ARM,2018,64.85028338,4196.005623
ARM,2000,64.95923792,593.4505817
ARM,2022,65.56244629,6571.974455
ARM,2023,65.6956882,8159.08721
ARM,2016,64.59287533,3524.424769
ARM,2004,64.59726336,1130.087914
ARM,2005,64.53342106,1557.484589
ARM,2024,65.81136714,8556.21407
ARM,2012,64.32683795,3511.563997
ARM,2015,64.49296234,3512.393503
ARM,2014,64.41429342,3852.118006
ARM,2002,64.7396212,742.6511183
ARM,2001,64.82281238,659.5889885
ARM,2020,65.17421725,4268.680933
ARM,2021,65.35728753,4685.179971
ARM,2009,64.35195304,2820.592655
ARM,2003,64.66635375,882.0301677
ARM,2010,64.3304164,3041.344507
ARM,2013,64.35840611,3680.166922
ARM,2011,64.32074491,3349.553098
ARM,2008,64.38409284,3777.668593
ARM,2019,65.00470336,4597.228874
ARM,2007,64.42576479,2962.702346
ARM,2006,64.47589787,2041.652671
ABW,2014,63.43925313,26129.83906
ABW,2007,64.65326648,26736.30894
ABW,2008,64.48888141,28171.9094
ABW,2004,65.08865337,23700.63199
ABW,2000,65.35454978,20681.02303
ABW,2012,63.82520852,25119.66554
ABW,2001,65.33511379,20740.13258
ABW,2010,64.16129655,24093.14015
ABW,2020,62.00288376,22759.80718
ABW,2003,65.19829226,21949.486
ABW,2013,63.63829144,25813.57144
ABW,2015,63.2288374,27458.22015
ABW,2011,63.99926058,25712.3843
ABW,2022,61.88116579,30975.99891
ABW,2016,63.00778806,27441.55021
ABW,2009,64.32298528,25134.77123
ABW,2002,65.28206913,21307.24825
ABW,2006,64.81127028,24845.65848
ABW,2019,62.28827629,30645.8906
ABW,2021,61.92753399,26749.32961
ABW,2017,62.77684889,28440.04169
ABW,2018,62.5367637,30082.15842
ABW,2005,64.95802264,24171.83713
ABW,2023,61.83514927,35718.75312
ABW,2024,61.79093968,39498.59413
AUS,2005,85.61908712,34535.20727
AUS,2015,86.87786425,56970.3613
AUS,2004,85.51876761,30886.05009
AUS,2008,86.0253817,49811.20672
AUS,2010,86.21986005,52313.8939
AUS,2007,85.89685196,41128.24766
AUS,2024,87.602147,64603.98563
AUS,2014,86.72212893,62817.20618
AUS,2021,87.23534076,60758.90444
AUS,2006,85.74925443,36658.82435
AUS,2017,87.12809266,54117.54772
AUS,2009,86.12781391,42954.84949
AUS,2018,87.22676808,57410.17373
AUS,2011,86.32689461,62799.3895
AUS,2002,85.28421028,20335.09602
AUS,2012,86.44512591,68301.44025
AUS,2013,86.57405158,68476.67885
AUS,2019,87.30196479,55194.75851
AUS,2016,87.01662952,50084.44406
AUS,2001,85.14810942,19733.65101
AUS,2000,85.10716086,21908.9968
AUS,2022,87.33432683,65169.51911
AUS,2020,87.27134705,51983.45237
AUS,2023,87.48669557,65058.37731
AUS,2003,85.40970778,23757.58985
AUT,2002,66.88874571,26334.86222
AUT,2006,67.00069681,40382.20783
AUT,2000,66.7690239,24487.29747
AUT,2021,68.7736017,53648.6438
AUT,2016,67.72180619,45061.49939
AUT,2017,67.90511961,47163.74258
AUT,2015,67.55761755,43915.22802
AUT,2001,66.84081613,24430.49598
AUT,2023,69.22653583,56579.50418
AUT,2020,68.54101779,48716.40989
AUT,2024,69.46581811,58268.87877
AUT,2011,67.14842554,51116.89535
AUT,2005,66.97979507,38157.37023
AUT,2012,67.20859098,48250.40591
AUT,2018,68.10467872,51194.07498
AUT,2022,68.99808513,52336.77252
AUT,2010,67.10474293,46611.13934
AUT,2019,68.31760448,49885.99474
AUT,2013,67.29813088,50305.35458
AUT,2003,66.9263575,32110.11597
AUT,2009,67.07058957,47857.44466
AUT,2004,66.95586129,36614.25065
AUT,2014,67.41543276,51314.97226
AUT,2007,67.02110449,46622.96229
AUT,2008,67.04355608,51581.39824
AZE,2004,52.28319931,1045.013633
AZE,2010,53.28483677,5843.533768
AZE,2003,51.72579956,883.6925807
AZE,2015,55.15704863,5500.503646
AZE,2007,52.82815552,3851.330152
AZE,2006,52.65401459,2472.957257
AZE,2009,53.13581254,4950.39949
AZE,2022,58.43828159,7770.594223
AZE,2005,52.50285339,1578.36733
AZE,2020,58.29346918,4229.910649
AZE,2002,51.2144165,763.1088955
AZE,2013,54.18210874,7875.345367
AZE,2014,54.63191759,7890.840281
AZE,2001,51.1584816,703.6709986
AZE,2017,56.43318871,4147.198142
AZE,2021,58.36599697,5408.045352
AZE,2023,58.50753505,7133.02838
AZE,2016,55.75747972,3880.685228
AZE,2011,53.50854619,7189.818692
AZE,2000,51.13208389,655.0972496
AZE,2012,53.80764423,7495.865277
AZE,2024,58.57379584,7283.849908
AZE,2008,53.0633049,5574.468104
AZE,2019,58.1308192,4805.753718
AZE,2018,57.18415347,4739.794312
BHS,2015,82.25685714,30719.40542
BHS,2011,82.41303475,27090.83768
BHS,2024,81.3249263,39455.44665
BHS,2014,82.3180931,29137.21756
BHS,2013,82.36357911,27642.74198
BHS,2021,81.47842353,30367.86058
BHS,2022,81.3200717,34957.16133
BHS,2023,81.32137992,38231.77448
BHS,2019,81.82574633,33640.33699
BHS,2020,81.66426002,26178.75376
BHS,2008,82.31971281,29392.38244
BHS,2012,82.39474853,28552.02427
BHS,2001,81.15272052,25371.92377
BHS,2010,82.41981044,27473.10043
BHS,2005,81.8605578,28602.41819
BHS,2000,81.03611616,24940.07751
BHS,2009,82.39776021,27512.9131
BHS,2018,81.96431582,32642.33532
BHS,2017,82.08140187,31875.48817
BHS,2007,82.19649543,30051.84896
BHS,2016,82.17843786,30616.53632
BHS,2006,82.03960984,29184.78651
BHS,2004,81.67084109,26650.29342
BHS,2002,81.30542068,26781.61959
BHS,2003,81.48196146,26429.12478
BHR,2004,89.8569006,15963.94932
BHR,2018,100,26324.40665
BHR,2009,98.32778499,19465.31407
BHR,2005,91.1681655,17966.16578
BHR,2001,87.83971462,13573.23399
BHR,2010,100,21819.32911
BHR,2024,100,29653.56827
BHR,2011,100,25032.78677
BHR,2012,100,26438.67332
BHR,2017,100,24784.76935
BHR,2021,100,27147.80839
BHR,2019,100,27259.74386
BHR,2006,92.71860754,19267.28262
BHR,2008,96.34613842,23299.49928
BHR,2003,88.83253397,14486.0269
BHR,2013,100,26989.76011
BHR,2002,88.14278676,13501.47088
BHR,2000,87.83562096,14214.48368
BHR,2007,94.46050556,20908.40425
BHR,2016,100,23800.00144
BHR,2023,100,29290.12842
BHR,2020,100,24342.84446
BHR,2015,100,23734.05511
BHR,2022,100,30470.52193
BHR,2014,100,26451.79656
BGD,2009,27.31112491,679.2114774
BGD,2016,29.87539155,1649.283809
BGD,2004,25.00948099,455.6140169
BGD,2015,29.53950995,1224.386477
BGD,2022,31.67373473,2716.485928
BGD,2007,26.41530378,537.9554928
BGD,2003,24.55255575,426.7488075
BGD,2008,26.87206041,613.062041
BGD,2019,30.82283963,2129.79897
BGD,2010,27.72543726,757.3852804
BGD,2006,25.947915,490.3880265
BGD,2013,28.84070361,958.2629898
BGD,2012,28.47879729,859.6805364
BGD,2020,31.11689273,2248.850788
BGD,2011,28.11001627,837.3369447
BGD,2002,24.11323835,393.8864223
BGD,2001,23.69992148,394.65641
BGD,2017,30.20157984,1811.082217
BGD,2018,30.5175656,1965.243727
BGD,2005,25.47695407,480.0858508
BGD,2023,32.1578465,2551.017738
BGD,2024,32.67831963,2593.416117
BGD,2000,23.3145115,396.6707302
BGD,2021,31.39921569,2482.849178
BGD,2014,29.19444423,1094.461997
BRB,2017,59.25926987,20284.57621
BRB,2008,59.49319022,17565.693
BRB,2016,59.25102553,20295.56721
BRB,2015,59.24507009,20424.20875
BRB,2004,61.10197123,12886.36653
BRB,2023,59.42357402,25583.87878
BRB,2024,59.53970324,26544.87073
BRB,2003,61.55438613,12075.9587
BRB,2007,59.80394272,17235.43964
BRB,2014,59.24103134,20192.70841
BRB,2018,59.27017531,21381.24263
BRB,2000,62.53793978,11674.67365
BRB,2002,61.96557791,11760.45247
BRB,2021,59.32203654,21079.61453
BRB,2022,59.35385141,24387.03873
BRB,2020,59.30145833,19194.49197
BRB,2005,60.63898871,14214.42022
BRB,2012,59.23721511,20804.115
BRB,2013,59.23853708,20410.20654
BRB,2011,59.23669321,20508.14988
BRB,2001,62.30489111,11639.51605
BRB,2009,59.29449202,16294.90995
BRB,2019,59.28411406,21912.15012
BRB,2006,60.19609405,15619.6006
BRB,2010,59.2366009,20610.51507
BLR,2001,70.31472015,1244.373185
BLR,2004,71.76585388,2378.337005
BLR,2007,73.09134674,4735.481076
BLR,2013,75.94970703,7998.080205
BLR,2002,70.88047028,1479.380663
BLR,2008,73.55316925,6376.175692
BLR,2000,69.91722954,1276.288034
BLR,2020,77.78903858,6542.8558
BLR,2012,75.52810669,6953.215917
BLR,2003,71.30924225,1819.526531
BLR,2006,72.61138153,3848.223503
BLR,2011,75.05975342,6527.659343
BLR,2010,74.55014038,6034.678852
BLR,2014,76.34052277,8341.318093
BLR,2015,76.62638855,5967.055951
BLR,2023,78.81464207,7896.753883
BLR,2024,79.15510152,8317.633999
BLR,2021,78.1310868,7489.718947
BLR,2009,74.19096466,5352.488092
BLR,2019,77.45507719,6837.773396
BLR,2016,76.84587097,5039.775609
BLR,2005,72.03101349,3126.071767
BLR,2022,78.47327879,7994.648061
BLR,2018,77.21327209,6360.037502
BLR,2017,77.02082062,5785.544919
BEL,2010,84.97193096,44197.39367
BEL,2009,84.70258011,44923.34001
BEL,2024,87.6126557,56614.56795
BEL,2016,86.4507791,41854.54983
BEL,2014,85.98483367,47995.7787
BEL,2013,85.74154102,46964.59468
BEL,2015,86.22128935,40893.80454
BEL,2021,87.43055641,51658.23829
BEL,2018,86.88834495,47487.21004
BEL,2022,87.48920027,50605.74967
BEL,2019,87.09616312,46716.62275
BEL,2007,84.14543096,44319.16545
BEL,2005,83.56454497,36809.70134
BEL,2008,84.42703712,48303.39796
BEL,2006,83.85789059,38705.1068
BEL,2017,86.67317395,44035.32394
BEL,2011,85.2349607,47760.82988
BEL,2012,85.49154038,44874.17092
BEL,2001,82.33568939,23015.07126
BEL,2023,87.55149264,55291.47545
BEL,2004,83.26552308,35429.40779
