year,type,Efficient price,Supply price,Retail price
2015,Gasoline ($/liter),1.5,0.6,1.2
2016,Gasoline ($/liter),1.3,0.5,1.1
2017,Gasoline ($/liter),1.4,0.6,1.1
2018,Gasoline ($/liter),1.6,0.7,1.2
2019,Gasoline ($/liter),1.6,0.6,1.1
2020,Gasoline ($/liter),1.3,0.4,1
2021,Gasoline ($/liter),1.6,0.6,1.1
2022,Gasoline ($/liter),1.8,0.8,1.2
2015,Diesel ($/liter),1.6,0.6,1
2016,Diesel ($/liter),1.5,0.5,0.9
2017,Diesel ($/liter),1.6,0.6,1
2018,Diesel ($/liter),1.8,0.7,1.1
2019,Diesel ($/liter),1.8,0.6,0.9
2020,Diesel ($/liter),1.5,0.4,0.8
2021,Diesel ($/liter),1.8,0.6,0.9
2022,Diesel ($/liter),2.1,0.9,1
2015,Coal ($/GJ),9.1,3,3.3
2016,Coal ($/GJ),9.1,3,3.2
2017,Coal ($/GJ),10.2,3.6,3.9
2018,Coal ($/GJ),10.7,3.8,4.2
2019,Coal ($/GJ),15.2,5.5,6.1
2020,Coal ($/GJ),14.7,5,5.7
2021,Coal ($/GJ),16.7,6.7,7.8
2022,Coal ($/GJ),21.3,10.8,12.4
2015,Natural gas ($/GJ),8.3,5.9,7.1
2016,Natural gas ($/GJ),7.4,4.9,6.2
2017,Natural gas ($/GJ),7.9,5.3,6.3
2018,Natural gas ($/GJ),9.1,6.3,7.3
2019,Natural gas ($/GJ),11.8,7.6,9.6
2020,Natural gas ($/GJ),10.8,6.6,8.7
2021,Natural gas ($/GJ),19.9,15.4,15.6
2022,Natural gas ($/GJ),30.4,25.6,24.4
