year,Berkeley Earth (1850-2024.12),ERA5 (1940-2024.12),GISTEMP (1880-2024.12),HadCRUT5 (1850-2024.12),JRA-3Q (1947-2024.12),NOAAGlobalTemp v6 (1850-2024.12)
1850,-0.1797,,,-0.0776,,0.0482
1851,-0.0592,,,0.1068,,0.1544
1852,-0.0347,,,0.1107,,0.1931
1853,-0.0404,,,0.0698,,0.139
1854,-0.0471,,,0.0486,,0.1793
1855,-0.0443,,,0.0432,,0.1658
1856,-0.1748,,,0.0198,,0.097
1857,-0.3128,,,-0.1271,,0.0515
1858,-0.1084,,,-0.0487,,0.0636
1859,0.0054,,,0.0589,,0.1947
1860,-0.1492,,,-0.05,,0.0158
1861,-0.2287,,,-0.089,,-0.0379
1862,-0.3379,,,-0.1963,,-0.1038
1863,-0.0996,,,-0.0041,,0.037
1864,-0.1336,,,-0.1253,,0.0413
1865,-0.0395,,,0.0076,,0.158
1866,0.0049,,,-0.0012,,0.1386
1867,0.0492,,,-0.0169,,0.0489
1868,0.0138,,,-0.0117,,0.0993
1869,0.0098,,,0.0235,,0.1721
1870,-0.0557,,,0.0122,,0.0702
1871,-0.0879,,,-0.0284,,0.0771
1872,-0.0551,,,0.012,,0.0421
1873,-0.0236,,,-0.0012,,0.0415
1874,-0.0722,,,-0.0331,,0.0099
1875,-0.1138,,,-0.0355,,0.0226
1876,-0.1193,,,-0.084,,-0.0006
1877,0.2618,,,0.239,,0.3583
1878,0.3489,,,0.3288,,0.3644
1879,0.0026,,,0.0365,,0.104
1880,-0.0657,,0.0962,0.0243,,0.0672
1881,0.0548,,0.1796,0.1079,,0.1482
1882,-0.0147,,0.1613,0.0446,,0.0864
1883,-0.0655,,0.0946,-0.0064,,0.0548
1884,-0.2371,,-0.0146,-0.1522,,-0.0521
1885,-0.1992,,-0.0629,-0.131,,-0.0425
1886,-0.2285,,-0.0471,-0.0808,,-0.0384
1887,-0.2572,,-0.0971,-0.1587,,-0.0946
1888,-0.0518,,0.0962,-0.0393,,0.1401
1889,0.0716,,0.1613,0.0902,,0.1982
1890,-0.2184,,-0.0854,-0.1667,,-0.09
1891,-0.0973,,0.0454,-0.0612,,0.0212
1892,-0.1578,,-0.0054,-0.1674,,-0.015
1893,-0.1334,,-0.0446,-0.1545,,-0.0862
1894,-0.1258,,-0.0379,-0.1436,,-0.0822
1895,-0.0594,,0.0396,-0.1086,,0.0308
1896,0.0348,,0.1554,0.0561,,0.1363
1897,0.0497,,0.1587,0.0803,,0.1533
1898,-0.1537,,-0.0054,-0.1457,,-0.0107
1899,0.0128,,0.0921,-0.0153,,0.0883
1900,0.1218,,0.1846,0.1056,,0.187
1901,0.0467,,0.1162,0.0467,,0.1361
1902,-0.1126,,-0.0112,-0.0988,,0.0235
1903,-0.2128,,-0.1004,-0.1932,,-0.1145
1904,-0.2705,,-0.1979,-0.2574,,-0.1835
1905,-0.0899,,0.0087,-0.0677,,-0.0091
1906,-0.0051,,0.0537,0.021,,0.0804
1907,-0.1799,,-0.1129,-0.164,,-0.0989
1908,-0.2049,,-0.1546,-0.1737,,-0.1723
1909,-0.2689,,-0.2138,-0.1956,,-0.1789
1910,-0.2297,,-0.1663,-0.1908,,-0.1266
1911,-0.2422,,-0.1688,-0.199,,-0.156
1912,-0.1697,,-0.0896,-0.1354,,-0.0849
