eventname,longitude,latitude,eventyear
PF-16-085,-150.244,-17.178,2016
PF-17-006,-139.746,-9.276,2017
PF-17-091,-142.251,-16.994,2017
PF-17-092,-142.251,-16.994,2017
PF-18-027,-149.06,-24.15,2018
PF-19-048,-134.942,-23.158,2019
PF-21-024,-150.244,-17.178,2021
PF-22-043,-142.251,-16.994,2022
FR-22-002,-142.251,-16.994,2022
PF-16-017,-139.746,-9.276,2016
PF-16-018,-149.06,-24.15,2016
PF-16-019,-149.06,-24.15,2016
PF-16-009,-150.244,-17.178,2016
PF-16-010,-139.746,-9.276,2016
PF-16-011,-139.746,-9.276,2016
PF-16-012,-139.746,-9.276,2016
CO-97-001,-74.042,11.469,2021
PF-16-013,-139.746,-9.276,2016
PF-16-014,-139.746,-9.276,2016
PF-16-015,-139.746,-9.276,2016
PF-16-016,-139.746,-9.276,2016
PF-16-001,-142.251,-16.994,2016
PF-16-002,-142.251,-16.994,2016
PF-16-003,-150.244,-17.178,2016
PF-16-004,-150.244,-17.178,2016
PF-16-005,-150.244,-17.178,2016
PF-16-006,-150.244,-17.178,2016
PF-16-007,-150.244,-17.178,2016
PF-16-008,-139.746,-9.276,2016
PF-16-020,-149.06,-24.15,2016
PF-16-021,-149.06,-24.15,2016
PF-16-022,-149.06,-24.15,2016
PF-16-023,-149.06,-24.15,2016
PF-16-024,-149.06,-24.15,2016
PF-16-025,-150.244,-17.178,2016
PF-16-026,-150.244,-17.178,2016
PF-16-027,-150.244,-17.178,2016
PF-16-028,-150.244,-17.178,2016
PF-16-029,-150.244,-17.178,2016
PF-16-030,-150.244,-17.178,2016
PF-16-031,-150.244,-17.178,2016
PF-16-032,-150.244,-17.178,2016
PF-16-033,-150.244,-17.178,2016
PF-16-034,-150.244,-17.178,2016
PF-16-035,-139.746,-9.276,2016
PF-16-036,-142.251,-16.994,2016
PF-16-037,-142.251,-16.994,2016
PF-16-038,-142.251,-16.994,2016
PF-16-039,-142.251,-16.994,2016
PF-16-040,-142.251,-16.994,2016
PF-16-041,-142.251,-16.994,2016
PF-16-042,-142.251,-16.994,2016
PF-16-043,-142.251,-16.994,2016
PF-16-044,-142.251,-16.994,2016
PF-16-045,-142.251,-16.994,2016
PF-16-046,-142.251,-16.994,2016
PF-16-047,-139.746,-9.276,2016
PF-16-048,-150.244,-17.178,2016
PF-16-049,-150.244,-17.178,2016
PF-16-050,-142.251,-16.994,2016
PF-16-051,-150.244,-17.178,2016
PF-16-052,-139.746,-9.276,2016
PF-16-053,-142.251,-16.994,2016
PF-16-054,-142.251,-16.994,2016
PF-16-055,-142.251,-16.994,2016
PF-16-056,-142.251,-16.994,2016
PF-16-057,-142.251,-16.994,2016
PF-16-058,-142.251,-16.994,2016
PF-16-059,-142.251,-16.994,2016
PF-16-060,-142.251,-16.994,2016
PF-16-061,-142.251,-16.994,2016
PF-16-062,-142.251,-16.994,2016
PF-16-063,-142.251,-16.994,2016
PF-16-064,-142.251,-16.994,2016
PF-16-065,-142.251,-16.994,2016
PF-16-066,-142.251,-16.994,2016
PF-16-067,-142.251,-16.994,2016
PF-16-068,-150.244,-17.178,2016
PF-16-069,-142.251,-16.994,2016
PF-16-070,-142.251,-16.994,2016
PF-16-071,-142.251,-16.994,2016
PF-16-072,-142.251,-16.994,2016
PF-16-073,-142.251,-16.994,2016
PF-16-074,-149.06,-24.15,2016
PF-16-075,-139.746,-9.276,2016
PF-16-076,-139.746,-9.276,2016
PF-16-077,-139.746,-9.276,2016
PF-16-078,-134.942,-23.158,2016
PF-16-079,-150.244,-17.178,2016
PF-16-080,-150.244,-17.178,2016
PF-16-081,-139.746,-9.276,2016
PF-16-082,-139.746,-9.276,2016
PF-16-083,-139.746,-9.276,2016
PF-16-084,-142.251,-16.994,2016
PF-16-086,-142.251,-16.994,2016
PF-16-087,-142.251,-16.994,2016
PF-16-088,-142.251,-16.994,2016
PF-16-089,-142.251,-16.994,2016
PF-16-090,-150.244,-17.178,2016
PF-16-091,-149.06,-24.15,2016
PF-16-092,-149.06,-24.15,2016
PF-16-093,-142.251,-16.994,2016
PF-16-094,-139.746,-9.276,2016
PF-16-095,-150.244,-17.178,2016
PF-16-096,-139.746,-9.276,2016
PF-16-097,-150.244,-17.178,2016
PF-16-098,-139.746,-9.276,2016
PF-16-099,-139.746,-9.276,2016
PF-16-100,-142.251,-16.994,2016
US-16-001,-64.82348,18.078737,2016
PF-16-101,-142.251,-16.994,2016
PF-16-102,-142.251,-16.994,2016
PF-16-103,-150.244,-17.178,2016
PF-16-104,-150.244,-17.178,2016
PF-16-105,-150.244,-17.178,2016
PF-16-106,-142.251,-16.994,2016
PF-16-107,-150.244,-17.178,2016
PF-16-108,-149.06,-24.15,2016
PF-16-109,-142.251,-16.994,2016
PF-16-110,-142.251,-16.994,2016
PF-16-111,-142.251,-16.994,2016
PF-16-112,-150.244,-17.178,2016
PF-16-113,-139.746,-9.276,2016
PF-16-114,-142.251,-16.994,2016
PF-16-115,-142.251,-16.994,2016
PF-16-116,-142.251,-16.994,2016
PF-16-117,-142.251,-16.994,2016
PF-16-118,-142.251,-16.994,2016
PF-16-119,-149.06,-24.15,2016
PF-16-120,-142.251,-16.994,2016
PF-16-121,-142.251,-16.994,2016
PF-16-122,-142.251,-16.994,2016
PF-16-123,-142.251,-16.994,2016
PF-16-124,-149.06,-24.15,2016
PF-16-125,-142.251,-16.994,2016
