arable,salinization,carbon,erosion,aridity,lon,lat
1,9,17,63,,11.697,65.411
2,,6,6,,26.326,65.411
2,,,14,,-20.209,64.112
2,1,6,42,,10.095,64.112
3,4,18,38,,11.538,64.112
2,,11,11,,23.082,64.112
6,,14,14,,24.525,64.112
3,,18,18,,25.968,64.112
7,,6,6,,21.357,62.854
19,,16,16,,22.781,62.854
3,,32,32,,24.205,62.854
1,,21,21,,27.054,62.854
2,,12,12,,29.902,62.854
2,2,2,87,,5.62,61.632
1,,28,28,,16.871,61.632
11,,8,8,,22.497,61.632
6,,12,12,,23.904,61.632
3,,10,10,,25.31,61.632
2,,5,5,,26.716,61.632
2,,13,13,,28.123,61.632
2,,12,12,,29.529,61.632
1,17,21,62,,5.552,60.442
9,0,34,34,,11.111,60.442
2,,19,19,,12.501,60.442
2,,38,38,,15.28,60.442
4,,49,49,,16.67,60.442
5,,32,32,,18.059,60.442
13,,11,11,,22.228,60.442
15,,14,14,,23.618,60.442
12,,17,17,,25.007,60.442
9,,6,6,,26.397,60.442
3,,4,4,,27.787,60.442
1,,,,,-156.61,59.281
5,7,11,39,,5.489,59.281
1,1,2,89,,6.862,59.281
4,1,45,45,,9.61,59.281
6,0,36,36,,10.984,59.281
1,,32,32,,12.357,59.281
3,,35,35,,13.731,59.281
8,,24,24,,15.105,59.281
14,,22,22,,16.478,59.281
9,,21,21,,17.852,59.281
5,,16,16,,24.721,59.281
10,,8,8,,26.094,59.281
2,,18,18,,27.468,59.281
2,,13,13,,30.216,59.281
2,,1,1,,54.943,59.281
1,,,,,-156.696,59.281
1,,1,14,,-156.245,58.145
4,17,7,7,100,-116.846,58.145
4,30,4,4,100,-115.487,58.145
3,7,11,36,,5.428,58.145
1,4,10,69,,6.787,58.145
10,,26,26,,12.221,58.145
20,,18,18,,13.58,58.145
10,,18,18,,14.939,58.145
6,,22,22,,16.297,58.145
2,,4,4,,19.014,58.145
1,,19,19,,23.09,58.145
2,,12,12,,24.449,58.145
10,,8,8,,25.807,58.145
10,,10,10,,27.166,58.145
2,,,,,28.525,58.145
2,,2,2,,29.883,58.145
4,,0,0,,31.242,58.145
6,,1,1,,36.676,58.145
1,,4,4,,39.393,58.145
5,,2,2,,40.752,58.145
3,,0,0,,46.186,58.145
3,,2,2,,47.545,58.145
1,,7,7,,48.904,58.145
6,,2,2,,50.262,58.145
4,,,,,51.621,58.145
1,,2,2,,52.979,58.145
3,,1,1,,54.338,58.145
2,,1,1,,55.697,58.145
1,,3,3,,57.055,58.145
2,21,0,0,,-120.988,57.032
1,97,,,,-119.644,57.032
3,98,3,3,99,-118.299,57.032
3,91,3,3,100,-116.955,57.032
13,,1,1,,-2.695,57.032
5,,0,0,,8.059,57.032
26,,3,3,,9.404,57.032
7,,3,3,,10.748,57.032
5,,12,12,,12.092,57.032
3,,15,15,,13.436,57.032
1,,43,43,,14.781,57.032
4,,4,4,,16.125,57.032
1,,1,1,,17.469,57.032
4,,3,3,,18.813,57.032
8,,3,3,,21.502,57.032
15,,4,4,,22.846,57.032
9,,6,6,,24.19,57.032
4,,5,5,,25.535,57.032
10,,1,1,,26.879,57.032
12,,1,1,,28.223,57.032
2,,1,1,,29.567,57.032
2,,5,5,,34.944,57.032
4,,2,2,,37.633,57.032
6,,1,1,,38.977,57.032
13,,1,1,,40.321,57.032
4,,3,3,,41.665,57.032
3,,4,4,,43.01,57.032
2,,5,5,,44.354,57.032
3,,1,1,,45.698,57.032
11,,,,,47.042,57.032
34,,0,0,,48.387,57.032
23,,0,0,,49.731,57.032
8,,2,2,,51.075,57.032
6,,3,3,,52.419,57.032
10,,3,3,,53.764,57.032
4,,1,1,,55.108,57.032
6,,1,1,,56.452,57.032
3,,1,1,,57.796,57.032
2,,5,5,,61.829,57.032
3,,2,2,,63.173,57.032
1,,,,,64.518,57.032
2,2,0,0,,68.55,57.032
1,,1,1,,86.025,57.032
1,,6,6,,87.37,57.032
1,,7,7,7,94.091,57.032
2,,8,8,100,95.435,57.032
1,,2,2,100,96.779,57.032
1,,,,,-158.37,57.032
1,,1,13,,-157.026,57.032
2,,,,,-121.089,55.94
21,68,1,1,0,-119.759,55.94
36,69,1,2,24,-118.428,55.94
28,70,3,3,85,-117.098,55.94
4,,8,10,,-3.998,55.94
12,,2,3,,-2.667,55.94
1,,,,,-1.337,55.94
14,,2,2,,7.978,55.94
32,,7,7,,9.308,55.94
14,,8,8,,10.639,55.94
19,,12,12,,11.969,55.94
38,,7,7,,13.3,55.94
13,,10,10,,14.63,55.94
2,,4,4,,15.961,55.94
10,,0,0,,21.283,55.94
20,,3,3,,22.614,55.94
53,,3,3,,23.945,55.94
18,,2,2,,25.275,55.94
11,,1,1,,26.606,55.94
11,,0,0,,27.936,55.94
2,,4,4,,30.598,55.94
9,,1,1,,34.589,55.94
5,,1,1,,35.92,55.94
4,,14,14,,37.25,55.94
3,,12,12,,38.581,55.94
14,,3,3,,39.912,55.94
3,,4,4,,41.242,55.94
8,,3,3,,42.573,55.94
18,,3,3,,43.903,55.94
34,,1,1,,45.234,55.94
33,,1,1,,46.565,55.94
35,,1,1,,47.895,55.94
47,,2,2,,49.226,55.94
50,,2,2,,50.556,55.94
34,0,2,2,,51.887,55.94
47,,1,1,,53.218,55.94
35,,0,0,,54.548,55.94
16,,0,0,,55.879,55.94
4,,0,0,,57.209,55.94
4,,,,,58.54,55.94
2,3,0,0,,61.201,55.94
6,2,1,1,5,62.532,55.94
10,1,0,0,37,63.862,55.94
4,37,,,30,65.193,55.94
8,10,0,0,60,66.523,55.94
4,35,1,1,52,67.854,55.94
7,6,,,94,69.185,55.94
4,33,,,73,70.515,55.94
6,63,,,66,71.846,55.94
10,13,,,78,73.176,55.94
18,16,0,0,69,74.507,55.94
25,2,,,70,75.838,55.94
14,15,0,0,87,77.168,55.94
5,39,0,0,98,78.499,55.94
3,0,1,1,99,79.829,55.94
3,,,,,83.821,55.94
4,,2,2,,85.152,55.94
4,,2,2,,87.813,55.94
6,,0,1,,89.143,55.94
12,,1,1,7,90.474,55.94
2,,6,6,,91.805,55.94
10,,10,10,,93.135,55.94
11,,5,5,50,94.466,55.94
14,,5,5,87,95.796,55.94
2,43,,,,-119.907,54.867
17,94,1,1,,-118.589,54.867
5,68,1,1,0,-117.271,54.867
6,1,0,0,,-114.636,54.867
3,,,,17,-113.319,54.867
2,,0,0,54,-112.001,54.867
2,,2,2,97,-110.683,54.867
1,,,,94,-109.366,54.867
4,0,2,25,,-7.911,54.867
1,,5,32,,-2.641,54.867
10,,10,11,,-1.324,54.867
22,,6,6,,9.217,54.867
12,,8,8,,10.535,54.867
21,,6,6,,11.852,54.867
3,,6,6,,13.17,54.867
2,,1,1,,14.488,54.867
4,,3,3,,17.123,54.867
2,,9,9,,18.44,54.867
7,,2,2,,21.076,54.867
20,,1,1,,22.393,54.867
38,,3,3,,23.711,54.867
13,,2,2,,25.028,54.867
12,,2,2,,26.346,54.867
15,,1,1,,27.663,54.867
8,,1,1,,28.981,54.867
10,,2,2,,30.299,54.867
5,,2,2,,31.616,54.867
5,,2,2,,32.934,54.867
1,,1,1,,34.251,54.867
11,,1,1,,35.569,54.867
5,,6,6,,36.887,54.867
23,,2,2,,38.204,54.867
31,,4,4,,39.522,54.867
9,,2,2,,40.839,54.867
15,,1,1,,42.157,54.867
35,,1,1,,43.475,54.867
54,,0,0,,44.792,54.867
51,,0,0,,46.11,54.867
47,,4,4,,47.427,54.867
47,,3,3,,48.745,54.867
48,,1,1,,50.062,54.867
41,,1,1,,51.38,54.867
33,,2,2,,52.698,54.867
27,,1,1,,54.015,54.867
24,,1,1,,55.333,54.867
1,,18,18,,56.65,54.867
2,,1,1,,59.286,54.867
9,,1,1,17,60.603,54.867
9,10,1,1,100,61.921,54.867
22,39,0,0,100,63.238,54.867
29,14,0,0,100,64.556,54.867
27,33,,,100,65.874,54.867
31,9,0,0,100,67.191,54.867
37,0,0,0,100,68.509,54.867
28,19,0,0,100,69.826,54.867
51,7,0,0,100,71.144,54.867
58,3,2,2,100,72.462,54.867
58,0,2,2,100,73.779,54.867
58,20,0,0,100,75.097,54.867
41,51,1,1,100,76.414,54.867
25,52,1,1,100,77.732,54.867
23,77,0,0,100,79.049,54.867
16,29,1,1,100,80.367,54.867
26,4,1,1,96,81.685,54.867
16,,3,3,85,83.002,54.867
7,,1,1,1,84.32,54.867
24,,1,1,,85.637,54.867
8,,2,2,,86.955,54.867
20,,4,4,12,89.59,54.867
36,0,5,6,49,90.908,54.867
6,0,5,7,70,92.225,54.867
1,,10,10,3,94.861,54.867
3,,26,26,100,100.131,54.867
4,,18,18,100,101.448,54.867
1,,19,19,100,102.766,54.867
18,1,1,1,3,-114.864,53.812
49,13,3,3,36,-113.559,53.812
61,19,0,0,100,-112.253,53.812
44,,0,0,94,-110.948,53.812
23,,0,0,100,-109.643,53.812
19,,0,0,100,-108.338,53.812
13,,0,0,100,-107.033,53.812
13,,,,92,-105.727,53.812
16,,0,0,6,-104.422,53.812
3,,0,0,4,-103.117,53.812
3,,,,0,-101.812,53.812
2,,2,23,,-10.448,53.812
6,1,5,24,,-9.142,53.812
3,,11,17,,-7.837,53.812
11,,18,18,,-6.532,53.812
3,0,17,35,,-2.616,53.812
37,,9,9,,-1.311,53.812
31,,5,5,,-0.006,53.812
6,,7,7,,6.52,53.812
5,,19,19,,7.825,53.812
12,,11,11,,9.131,53.812
22,,13,13,,10.436,53.812
31,,9,9,,11.741,53.812
37,,5,5,,13.046,53.812
16,,5,5,,14.351,53.812
18,,4,4,,15.657,53.812
9,,3,3,,16.962,53.812
25,,4,4,,18.267,53.812
34,,2,2,,19.572,53.812
10,,2,2,,20.877,53.812
13,,1,1,,22.183,53.812
22,,2,2,,23.488,53.812
27,,3,3,,24.793,53.812
26,,2,2,,26.098,53.812
30,,7,7,,27.403,53.812
19,,3,3,,28.709,53.812
25,,3,3,,30.014,53.812
26,,2,2,,31.319,53.812
17,,2,2,,32.624,53.812
9,,3,3,,33.929,53.812
17,,1,1,,35.235,53.812
32,,1,1,,36.54,53.812
61,,1,1,,37.845,53.812
68,,1,1,,39.15,53.812
52,,1,1,,40.455,53.812
37,,0,0,,41.761,53.812
52,,0,0,,43.066,53.812
54,,1,1,,44.371,53.812
29,,1,1,,45.676,53.812
21,,2,2,,46.981,53.812
41,,2,2,1,48.287,53.812
41,,2,2,0,49.592,53.812
48,,1,1,,50.897,53.812
30,,1,1,,52.202,53.812
32,,1,1,2,53.508,53.812
34,,1,1,3,54.813,53.812
21,,2,2,41,56.118,53.812
18,,2,2,87,58.728,53.812
41,,1,1,97,60.034,53.812
57,0,1,1,100,61.339,53.812
63,8,0,0,100,62.644,53.812
53,7,0,0,100,63.949,53.812
53,21,0,0,100,65.254,53.812
76,,0,0,100,66.56,53.812
62,3,0,0,100,67.865,53.812
82,7,0,0,100,69.17,53.812
82,10,0,0,100,70.475,53.812
63,27,1,1,100,71.78,53.812
71,0,2,2,100,73.086,53.812
72,8,2,2,100,74.391,53.812
64,26,2,2,100,75.696,53.812
68,29,4,4,100,77.001,53.812
51,57,3,3,100,78.306,53.812
54,13,0,0,100,79.612,53.812
35,10,1,1,100,80.917,53.812
22,0,1,1,98,82.222,53.812
16,,2,2,93,83.527,53.812
11,,2,2,41,84.832,53.812
14,,2,2,,86.138,53.812
1,,13,15,5,87.443,53.812
4,1,8,10,51,90.053,53.812
38,0,3,4,78,91.358,53.812
23,0,9,10,34,92.664,53.812
1,,16,16,100,100.495,53.812
5,,9,9,100,101.8,53.812
11,0,8,9,97,103.105,53.812
2,,5,6,91,104.411,53.812
5,,1,1,5,-115.118,52.773
50,,1,1,81,-113.824,52.773
74,54,0,0,99,-112.531,52.773
64,27,0,0,100,-111.238,52.773
69,,0,0,100,-109.944,52.773
71,,0,0,100,-108.651,52.773
59,,0,0,100,-107.357,52.773
66,,0,0,100,-106.064,52.773
75,,0,0,98,-104.771,52.773
53,,0,0,34,-103.477,52.773
6,,1,1,62,-102.184,52.773
4,,,,99,-100.89,52.773
4,,10,15,,-9.06,52.773
8,,8,10,,-7.766,52.773
20,,9,11,,-6.473,52.773
1,2,5,50,,-3.886,52.773
9,,11,12,,-2.593,52.773
37,,11,11,,-1.299,52.773
67,,8,8,,-0.006,52.773
40,,7,7,,1.288,52.773
12,,13,13,,5.168,52.773
16,,13,13,,6.461,52.773
24,,10,10,,7.755,52.773
34,,12,12,,9.048,52.773
26,,14,14,,10.341,52.773
39,,10,10,,11.635,52.773
24,,13,13,,12.928,52.773
33,,7,7,,14.222,52.773
15,,4,4,,15.515,52.773
34,,6,6,,16.808,52.773
51,0,4,4,,18.102,52.773
47,,2,2,,19.395,52.773
33,,3,3,,20.688,52.773
28,,2,2,,21.982,52.773
22,,2,2,,23.275,52.773
35,,2,2,,24.569,52.773
29,,4,4,,25.862,52.773
43,,2,2,,27.155,52.773
22,,3,3,,28.449,52.773
30,,2,2,,29.742,52.773
34,,3,3,,31.036,52.773
