iso3c,year,value,indicator_sdg
ARG,2015,1.1,1.1.1
ARG,2016,1.3,1.1.1
ARG,2017,1.1,1.1.1
ARG,2018,1.6,1.1.1
ARG,2019,1.7,1.1.1
ARG,2020,2.2,1.1.1
ARG,2021,1.4,1.1.1
ARG,2022,1.3,1.1.1
ARG,2023,1.2,1.1.1
ARG,2024,1,1.1.1
ARG,2025,0.9,1.1.1
ARG,2016,1.9,10.1.1
ARG,2017,1.8,10.1.1
ARG,2018,2,10.1.1
ARG,2019,2.2,10.1.1
ARG,2020,2.4,10.1.1
ARG,2021,2.2,10.1.1
ARG,2022,2.1,10.1.1
ARG,2023,2.3,10.1.1
ARG,2024,2.1,10.1.1
ARG,2016,14.5,11.0.0
ARG,2018,14.5,11.0.0
ARG,2020,14.5,11.0.0
ARG,2022,14.5,11.0.0
ARG,2015,4.18,12.c.1
ARG,2016,0.79,12.c.1
ARG,2017,0.09,12.c.1
ARG,2018,0.75,12.c.1
ARG,2019,0.87,12.c.1
ARG,2020,1.24,12.c.1
ARG,2021,1.53,12.c.1
ARG,2022,1.96,12.c.1
ARG,2023,1.29,12.c.1
ARG,2024,1.26,12.c.1
ARG,2015,8.4,13.2.2
ARG,2016,8.4,13.2.2
ARG,2017,8.4,13.2.2
ARG,2018,8.3,13.2.2
ARG,2019,8.2,13.2.2
ARG,2020,7.8,13.2.2
ARG,2021,8.2,13.2.2
ARG,2022,8.4,13.2.2
ARG,2023,8.3,13.2.2
ARG,2024,8.2,13.2.2
ARG,2015,5.4,14.1.1
ARG,2016,10.7,14.1.1
ARG,2017,9,14.1.1
ARG,2018,5,14.1.1
ARG,2019,5.8,14.1.1
ARG,2020,7.3,14.1.1
ARG,2021,12.6,14.1.1
ARG,2022,6.6,14.1.1
ARG,2015,8.7,15.1.2
ARG,2016,8.9,15.1.2
ARG,2017,8.9,15.1.2
ARG,2018,8.5,15.1.2
ARG,2019,8.5,15.1.2
ARG,2020,8.5,15.1.2
ARG,2021,8.5,15.1.2
ARG,2022,8.7,15.1.2
ARG,2023,8.7,15.1.2
ARG,2024,8.8,15.1.2
ARG,2024,1.3,16.0.0
ARG,2016,65.5,17.18.1
ARG,2017,69.1,17.18.1
ARG,2018,68.9,17.18.1
ARG,2019,69.4,17.18.1
ARG,2020,72.1,17.18.1
ARG,2021,77.7,17.18.1
ARG,2022,76.5,17.18.1
ARG,2023,79.2,17.18.1
ARG,2024,80.4,17.18.1
ARG,2015,68,17.8.1
ARG,2016,71,17.8.1
ARG,2017,74.3,17.8.1
ARG,2018,77.7,17.8.1
ARG,2019,79.9,17.8.1
ARG,2020,85.5,17.8.1
ARG,2021,87.2,17.8.1
ARG,2022,88.4,17.8.1
ARG,2023,89.2,17.8.1
ARG,2024,89.7,17.8.1
ARG,2017,99.3,18.0.0
ARG,2021,98.6,18.0.0
ARG,2024,99.3,18.0.0
ARG,2015,2.9,2.1.1
