iso3c,year,value,indicator_sdg
AZE,2015,0,1.1.1
AZE,2016,0,1.1.1
AZE,2017,0,1.1.1
AZE,2018,0,1.1.1
AZE,2019,0,1.1.1
AZE,2020,0,1.1.1
AZE,2021,0,1.1.1
AZE,2022,0,1.1.1
AZE,2023,0,1.1.1
AZE,2024,0,1.1.1
AZE,2025,0,1.1.1
AZE,2015,2.83,12.c.1
AZE,2016,2.66,12.c.1
AZE,2017,3.12,12.c.1
AZE,2018,4.02,12.c.1
AZE,2019,3.68,12.c.1
AZE,2020,2.4,12.c.1
AZE,2021,1.58,12.c.1
AZE,2022,4.1,12.c.1
AZE,2023,4.16,12.c.1
AZE,2024,4.19,12.c.1
AZE,2015,5.5,13.2.2
AZE,2016,5.4,13.2.2
AZE,2017,5.3,13.2.2
AZE,2018,5.3,13.2.2
AZE,2019,5.6,13.2.2
AZE,2020,5.4,13.2.2
AZE,2021,5.6,13.2.2
AZE,2022,5.8,13.2.2
AZE,2023,6,13.2.2
AZE,2024,5.7,13.2.2
AZE,2015,2,14.1.1
AZE,2016,5.2,14.1.1
AZE,2017,6.5,14.1.1
AZE,2018,2.4,14.1.1
AZE,2019,2.5,14.1.1
AZE,2020,3.9,14.1.1
AZE,2021,1.4,14.1.1
AZE,2022,0.3,14.1.1
AZE,2015,10.2,15.1.2
AZE,2016,10.2,15.1.2
AZE,2017,10.2,15.1.2
AZE,2018,10.2,15.1.2
AZE,2019,10.2,15.1.2
AZE,2020,10.2,15.1.2
AZE,2021,10.2,15.1.2
AZE,2022,10.2,15.1.2
AZE,2023,10.2,15.1.2
AZE,2024,22.1,15.1.2
AZE,2024,0.5,16.0.0
AZE,2016,54.1,17.18.1
AZE,2017,60.7,17.18.1
AZE,2018,68.5,17.18.1
AZE,2019,68.5,17.18.1
AZE,2020,70.9,17.18.1
AZE,2021,73,17.18.1
AZE,2022,70.8,17.18.1
AZE,2023,66.8,17.18.1
AZE,2024,69.5,17.18.1
AZE,2015,77,17.8.1
AZE,2016,78.2,17.8.1
AZE,2017,79,17.8.1
AZE,2018,79.8,17.8.1
AZE,2019,81.1,17.8.1
AZE,2020,84.6,17.8.1
AZE,2021,86,17.8.1
AZE,2022,88,17.8.1
AZE,2023,89,17.8.1
AZE,2017,98.8,18.0.0
AZE,2024,100,18.0.0
AZE,2015,2.5,2.1.1
AZE,2016,2.5,2.1.1
AZE,2017,2.5,2.1.1
AZE,2018,2.5,2.1.1
AZE,2019,2.5,2.1.1
AZE,2020,2.5,2.1.1
AZE,2021,2.5,2.1.1
AZE,2022,2.5,2.1.1
AZE,2023,2.5,2.1.1
AZE,2015,21,3.1.1
AZE,2016,22,3.1.1
AZE,2017,22,3.1.1
AZE,2018,21,3.1.1
AZE,2019,21,3.1.1
AZE,2020,21,3.1.1
AZE,2021,55,3.1.1
AZE,2022,32,3.1.1
AZE,2023,18,3.1.1
AZE,2015,27.8,3.2.1
AZE,2016,26.3,3.2.1
AZE,2017,24.9,3.2.1
AZE,2018,23.6,3.2.1
AZE,2019,22.4,3.2.1
AZE,2020,21.3,3.2.1
AZE,2021,20.4,3.2.1
AZE,2022,19.4,3.2.1
AZE,2023,18.6,3.2.1
AZE,2015,16,3.2.2
AZE,2016,15.3,3.2.2
AZE,2017,14.8,3.2.2
AZE,2018,14.4,3.2.2
AZE,2019,14.1,3.2.2
AZE,2020,13.8,3.2.2
AZE,2021,13.5,3.2.2
AZE,2022,13.2,3.2.2
AZE,2023,12.8,3.2.2
AZE,2015,11.5,4.1.2
AZE,2016,11.5,4.1.2
AZE,2017,11.8,4.1.2
AZE,2018,11.9,4.1.2
AZE,2019,11.9,4.1.2
AZE,2020,12,4.1.2
AZE,2021,12,4.1.2
AZE,2022,12,4.1.2
