iso3c,year,value,indicator_sdg
BEL,2015,0.1,1.1.1
BEL,2016,0.1,1.1.1
BEL,2017,0.2,1.1.1
BEL,2018,0.1,1.1.1
BEL,2019,0.1,1.1.1
BEL,2020,0.1,1.1.1
BEL,2021,0.1,1.1.1
BEL,2022,0,1.1.1
BEL,2023,0.1,1.1.1
BEL,2024,0.1,1.1.1
BEL,2025,0.1,1.1.1
BEL,2015,0.6,10.1.1
BEL,2016,0.6,10.1.1
BEL,2017,0.7,10.1.1
BEL,2018,0.6,10.1.1
BEL,2019,0.6,10.1.1
BEL,2020,0.5,10.1.1
BEL,2021,0.5,10.1.1
BEL,2022,0.5,10.1.1
BEL,2023,0.5,10.1.1
BEL,2015,0.02291756875,12.c.1
BEL,2016,0,12.c.1
BEL,2017,0,12.c.1
BEL,2018,0,12.c.1
BEL,2019,0.0001998928844,12.c.1
BEL,2020,0,12.c.1
BEL,2021,0.1511340344,12.c.1
BEL,2022,0.6709530477,12.c.1
BEL,2023,0.5976676696,12.c.1
BEL,2024,0.4593865531,12.c.1
BEL,2015,11.24112974,13.2.2
BEL,2016,11.09720386,13.2.2
BEL,2017,10.8770621,13.2.2
BEL,2018,10.86701787,13.2.2
BEL,2019,10.76804033,13.2.2
BEL,2020,10.03741007,13.2.2
BEL,2021,10.33580912,13.2.2
BEL,2022,9.612815181,13.2.2
BEL,2023,9.024041981,13.2.2
BEL,2015,1.99841,14.1.1
BEL,2016,2.43993,14.1.1
BEL,2017,1.4973,14.1.1
BEL,2018,7.14286,14.1.1
BEL,2019,0.94334,14.1.1
BEL,2021,0.3937,14.1.1
BEL,2022,0,14.1.1
BEL,2015,22.8,15.1.2
BEL,2016,23.3,15.1.2
BEL,2017,23.3,15.1.2
BEL,2018,23.3,15.1.2
BEL,2019,24.9,15.1.2
BEL,2020,15.4,15.1.2
BEL,2021,15.5,15.1.2
BEL,2022,15.6,15.1.2
BEL,2023,15.6,15.1.2
BEL,2024,16.3,15.1.2
BEL,2016,75.2925,17.18.1
BEL,2017,75.92208333,17.18.1
BEL,2018,82.5275,17.18.1
BEL,2019,83.145,17.18.1
BEL,2020,82.61833333,17.18.1
BEL,2021,88.30125,17.18.1
BEL,2022,88.69666667,17.18.1
BEL,2023,90.49291667,17.18.1
BEL,2015,85.0529,17.8.1
BEL,2016,86.5165,17.8.1
BEL,2017,87.6797,17.8.1
BEL,2018,88.6473,17.8.1
BEL,2019,90.2754,17.8.1
BEL,2020,91.5264,17.8.1
BEL,2021,92.7887,17.8.1
BEL,2022,94.0078,17.8.1
BEL,2023,94.6263,17.8.1
BEL,2024,95.7758,17.8.1
BEL,2015,2.5,2.1.1
BEL,2016,2.5,2.1.1
BEL,2017,2.5,2.1.1
BEL,2018,2.5,2.1.1
BEL,2019,2.5,2.1.1
BEL,2020,2.5,2.1.1
BEL,2021,2.5,2.1.1
BEL,2022,2.5,2.1.1
BEL,2015,86,3.8.1
BEL,2017,87,3.8.1
BEL,2019,87,3.8.1
BEL,2021,86,3.8.1
BEL,2015,99.68123686,6.1.1
BEL,2016,99.68955964,6.1.1
BEL,2017,99.69786905,6.1.1
BEL,2018,99.70618599,6.1.1
BEL,2019,99.71450454,6.1.1
BEL,2020,99.72281209,6.1.1
BEL,2021,99.73113433,6.1.1
BEL,2022,99.73944938,6.1.1
BEL,2015,100,7.1.1
BEL,2016,100,7.1.1
BEL,2017,100,7.1.1
BEL,2018,100,7.1.1
BEL,2019,100,7.1.1
BEL,2020,100,7.1.1
BEL,2021,100,7.1.1
BEL,2022,100,7.1.1
BEL,2023,100,7.1.1
BEL,2015,40893.80454,8.1.1
BEL,2016,41172.88628,8.1.1
BEL,2017,41619.32863,8.1.1
BEL,2018,42208.36257,8.1.1
BEL,2019,43006.40423,8.1.1
BEL,2020,40769.02181,8.1.1
BEL,2021,43121.94297,8.1.1
BEL,2022,44596.786,8.1.1
BEL,2023,44722.19553,8.1.1
BEL,2024,44837.72427,8.1.1
BEL,2015,62.963,8.5.1
BEL,2016,62.864,8.5.1
BEL,2017,63.181,8.5.1
BEL,2018,64.314,8.5.1
BEL,2019,64.908,8.5.1
BEL,2020,64.484,8.5.1
BEL,2021,65.642,8.5.1
BEL,2022,66.752,8.5.1
BEL,2023,66.689,8.5.1
BEL,2024,66.967,8.5.1
ECS,2015,99.16791752,7.1.1
ECS,2016,99.82900478,7.1.1
ECS,2017,99.96413289,7.1.1
ECS,2018,99.97079163,7.1.1
ECS,2019,99.95346686,7.1.1
ECS,2020,99.97603547,7.1.1
ECS,2021,99.98819724,7.1.1
ECS,2022,99.99773358,7.1.1
ECS,2023,100,7.1.1
ECS,2015,9.319380001,13.2.2
ECS,2016,9.316756311,13.2.2
ECS,2017,9.400486159,13.2.2
ECS,2018,9.415437291,13.2.2
ECS,2019,9.255092722,13.2.2
ECS,2020,8.784541744,13.2.2
ECS,2021,9.256899996,13.2.2
ECS,2022,9.116482547,13.2.2
ECS,2023,8.856485166,13.2.2
ECS,2015,13.23491771,15.1.2
ECS,2016,13.33244532,15.1.2
ECS,2017,13.36078602,15.1.2
ECS,2018,13.35376568,15.1.2
ECS,2019,13.37333923,15.1.2
ECS,2020,15.06670598,15.1.2
ECS,2021,15.6358111,15.1.2
ECS,2022,15.64345206,15.1.2
ECS,2023,15.50341599,15.1.2
ECS,2024,15.8588367,15.1.2
ECS,2015,69.8,17.8.1
ECS,2016,72.2,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
ECS,2019,80.3,17.8.1
ECS,2020,83.4,17.8.1
ECS,2021,86.4,17.8.1
ECS,2022,88.1,17.8.1
ECS,2023,89.7,17.8.1
ECS,2024,91.3,17.8.1
ECS,2015,22676.94946,8.1.1
ECS,2016,23000.1153,8.1.1
ECS,2017,23569.81604,8.1.1
ECS,2018,23974.69266,8.1.1
ECS,2019,24333.25318,8.1.1
ECS,2020,22973.61253,8.1.1
ECS,2021,24508.76403,8.1.1
ECS,2022,25308.03065,8.1.1
