iso3c,year,value,indicator_sdg
BLR,2015,0,1.1.1
BLR,2016,0,1.1.1
BLR,2017,0,1.1.1
BLR,2018,0,1.1.1
BLR,2019,0,1.1.1
BLR,2020,0,1.1.1
BLR,2021,0,1.1.1
BLR,2022,0,1.1.1
BLR,2023,0,1.1.1
BLR,2024,0,1.1.1
BLR,2025,0,1.1.1
BLR,2015,1.9,10.1.1
BLR,2016,2,10.1.1
BLR,2017,1.9,10.1.1
BLR,2018,1.8,10.1.1
BLR,2019,1.7,10.1.1
BLR,2020,1.6,10.1.1
BLR,2015,1.930408896,12.c.1
BLR,2016,2.126022224,12.c.1
BLR,2017,2.004454902,12.c.1
BLR,2018,1.572953298,12.c.1
BLR,2019,1.417860569,12.c.1
BLR,2020,0.916616682,12.c.1
BLR,2021,0.9949823411,12.c.1
BLR,2022,2.684774661,12.c.1
BLR,2023,1.489172132,12.c.1
BLR,2024,0.9308752047,12.c.1
BLR,2015,9.433662725,13.2.2
BLR,2016,9.340675877,13.2.2
BLR,2017,9.534634198,13.2.2
BLR,2018,9.905935986,13.2.2
BLR,2019,9.696714077,13.2.2
BLR,2020,9.443609093,13.2.2
BLR,2021,9.534468108,13.2.2
BLR,2022,9.406418741,13.2.2
BLR,2023,9.182268869,13.2.2
BLR,2015,8.8,15.1.2
BLR,2016,9.5,15.1.2
BLR,2017,9.4,15.1.2
BLR,2018,9.4,15.1.2
BLR,2019,9.4,15.1.2
BLR,2020,9.4,15.1.2
BLR,2021,13.8,15.1.2
BLR,2022,13.8,15.1.2
BLR,2023,13.8,15.1.2
BLR,2024,9.4,15.1.2
BLR,2016,67.74791667,17.18.1
BLR,2017,67.42333333,17.18.1
BLR,2018,75.78708333,17.18.1
BLR,2019,79.13125,17.18.1
BLR,2020,82.97958333,17.18.1
BLR,2021,87.79375,17.18.1
BLR,2022,87.78916667,17.18.1
BLR,2023,78.73125,17.18.1
BLR,2015,62.2304,17.8.1
BLR,2016,71.113,17.8.1
BLR,2017,74.4364,17.8.1
BLR,2018,79.1299,17.8.1
BLR,2019,82.7892,17.8.1
BLR,2020,85.0879,17.8.1
BLR,2021,86.8884,17.8.1
BLR,2022,89.5073,17.8.1
BLR,2023,91.5125,17.8.1
BLR,2024,94.2618,17.8.1
BLR,2015,2.5,2.1.1
BLR,2016,2.5,2.1.1
BLR,2017,2.5,2.1.1
BLR,2018,2.5,2.1.1
BLR,2019,2.5,2.1.1
BLR,2020,2.5,2.1.1
BLR,2021,2.5,2.1.1
BLR,2022,2.5,2.1.1
BLR,2015,76,3.8.1
BLR,2017,78,3.8.1
BLR,2019,81,3.8.1
BLR,2021,79,3.8.1
BLR,2015,99.14785021,4.1.2
BLR,2016,98.83078164,4.1.2
BLR,2017,97.56397614,4.1.2
BLR,2018,97.90105088,4.1.2
BLR,2019,102.2221207,4.1.2
BLR,2020,97.56826293,4.1.2
BLR,2021,95.13446391,4.1.2
BLR,2022,94.22447182,4.1.2
BLR,2023,94.45639974,4.1.2
BLR,2024,95.77285845,4.1.2
BLR,2015,92.49670655,6.1.1
BLR,2016,92.58800377,6.1.1
BLR,2017,92.67831571,6.1.1
BLR,2018,92.76654466,6.1.1
BLR,2019,92.8526696,6.1.1
BLR,2020,92.93711077,6.1.1
BLR,2021,93.01940273,6.1.1
BLR,2022,93.09975592,6.1.1
BLR,2015,97.4,7.1.1
BLR,2016,98,7.1.1
BLR,2017,98.7,7.1.1
BLR,2018,99.3,7.1.1
BLR,2019,100,7.1.1
BLR,2020,100,7.1.1
BLR,2021,100,7.1.1
BLR,2022,100,7.1.1
BLR,2023,100,7.1.1
BLR,2015,5967.055951,8.1.1
BLR,2016,5811.201592,8.1.1
BLR,2017,5964.896689,8.1.1
BLR,2018,6165.913202,8.1.1
BLR,2019,6267.735089,8.1.1
BLR,2020,6251.988989,8.1.1
BLR,2021,6457.730538,8.1.1
BLR,2022,6206.619097,8.1.1
BLR,2023,6497.784507,8.1.1
BLR,2024,6791.326481,8.1.1
BLR,2015,74.158,8.5.1
BLR,2016,74.603,8.5.1
BLR,2017,74.769,8.5.1
BLR,2018,74.469,8.5.1
BLR,2019,75.141,8.5.1
BLR,2020,75.108,8.5.1
BLR,2021,75.717,8.5.1
BLR,2022,76.072,8.5.1
BLR,2023,76.059,8.5.1
BLR,2024,76.141,8.5.1
ECS,2015,99.16791752,7.1.1
ECS,2016,99.82900478,7.1.1
ECS,2017,99.96413289,7.1.1
ECS,2018,99.97079163,7.1.1
ECS,2019,99.95346686,7.1.1
ECS,2020,99.97603547,7.1.1
ECS,2021,99.98819724,7.1.1
ECS,2022,99.99773358,7.1.1
ECS,2023,100,7.1.1
ECS,2015,9.319380001,13.2.2
ECS,2016,9.316756311,13.2.2
ECS,2017,9.400486159,13.2.2
ECS,2018,9.415437291,13.2.2
ECS,2019,9.255092722,13.2.2
ECS,2020,8.784541744,13.2.2
ECS,2021,9.256899996,13.2.2
ECS,2022,9.116482547,13.2.2
ECS,2023,8.856485166,13.2.2
ECS,2015,13.23491771,15.1.2
ECS,2016,13.33244532,15.1.2
ECS,2017,13.36078602,15.1.2
ECS,2018,13.35376568,15.1.2
ECS,2019,13.37333923,15.1.2
ECS,2020,15.06670598,15.1.2
ECS,2021,15.6358111,15.1.2
ECS,2022,15.64345206,15.1.2
ECS,2023,15.50341599,15.1.2
ECS,2024,15.8588367,15.1.2
ECS,2015,69.8,17.8.1
ECS,2016,72.2,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
ECS,2019,80.3,17.8.1
ECS,2020,83.4,17.8.1
ECS,2021,86.4,17.8.1
ECS,2022,88.1,17.8.1
ECS,2023,89.7,17.8.1
ECS,2024,91.3,17.8.1
ECS,2015,22676.94946,8.1.1
ECS,2016,23000.1153,8.1.1
ECS,2017,23569.81604,8.1.1
ECS,2018,23974.69266,8.1.1
ECS,2019,24333.25318,8.1.1
ECS,2020,22973.61253,8.1.1
ECS,2021,24508.76403,8.1.1
ECS,2022,25308.03065,8.1.1
ECS,2023,25562.67206,8.1.1
ECS,2024,25871.19136,8.1.1
ECS,2015,97.23757935,4.1.2
ECS,2016,100.9993973,4.1.2
ECS,2017,96.58460999,4.1.2
ECS,2018,95.92053223,4.1.2
ECS,2019,97.2024231,4.1.2
ECS,2020,97.62017059,4.1.2
ECS,2021,98.04495239,4.1.2
ECS,2022,97.71247864,4.1.2
ECS,2023,98.09744263,4.1.2
ECS,2024,98.13168335,4.1.2
ECS,2015,91.35573728,6.1.1
ECS,2016,91.49547716,6.1.1
ECS,2017,91.63908594,6.1.1
ECS,2018,91.75496939,6.1.1
ECS,2019,91.87039462,6.1.1
ECS,2020,91.95001052,6.1.1
ECS,2021,91.98858294,6.1.1
ECS,2022,91.87324787,6.1.1
ECS,2015,79,3.8.1
ECS,2017,80,3.8.1
ECS,2019,81,3.8.1
ECS,2021,81,3.8.1
ECS,2015,1.7,10.1.1
ECS,2016,1.7,10.1.1
ECS,2017,1.7,10.1.1
ECS,2018,1.6,10.1.1
ECS,2019,1.5,10.1.1
ECS,2020,1.5,10.1.1
ECS,2021,1.4,10.1.1
ECS,2022,1.3,10.1.1
ECS,2023,1.3,10.1.1
ECS,2024,1.2,10.1.1
ECS,2015,63.02028903,8.5.1
ECS,2016,63.46953615,8.5.1
ECS,2017,63.81104049,8.5.1
ECS,2018,64.11381156,8.5.1
ECS,2019,64.30175612,8.5.1
ECS,2020,63.64488968,8.5.1
ECS,2021,64.58603707,8.5.1
ECS,2022,65.64506137,8.5.1
ECS,2023,66.14262954,8.5.1
ECS,2024,66.24096745,8.5.1
ECS,2015,2.719161016,2.1.1
ECS,2016,2.695853491,2.1.1
ECS,2017,2.669368807,2.1.1
ECS,2018,2.656394634,2.1.1
ECS,2019,2.682411353,2.1.1
ECS,2020,2.711423294,2.1.1
ECS,2021,2.764257078,2.1.1
ECS,2022,2.773510768,2.1.1
UMC,2015,98.99840683,7.1.1
UMC,2016,99.03455389,7.1.1
UMC,2017,99.16088789,7.1.1
UMC,2018,99.17968588,7.1.1
UMC,2019,99.27720182,7.1.1
UMC,2020,99.21766388,7.1.1
UMC,2021,99.43570231,7.1.1
UMC,2022,99.50892894,7.1.1
UMC,2023,99.42868247,7.1.1
UMC,2015,7.86658714,13.2.2
UMC,2016,7.848275294,13.2.2
UMC,2017,7.944045241,13.2.2
UMC,2018,8.149680925,13.2.2
UMC,2019,8.250587956,13.2.2
UMC,2020,8.178913363,13.2.2
UMC,2021,8.511601103,13.2.2
UMC,2022,8.519735591,13.2.2
UMC,2023,8.832179588,13.2.2
UMC,2015,15.47331557,15.1.2
UMC,2016,15.46528419,15.1.2
UMC,2017,15.49057209,15.1.2
UMC,2018,15.15651457,15.1.2
UMC,2019,15.35146628,15.1.2
UMC,2020,15.71405041,15.1.2
UMC,2021,16.01106998,15.1.2
UMC,2022,16.04618374,15.1.2
UMC,2023,16.10507276,15.1.2
UMC,2024,16.297957,15.1.2
UMC,2015,47.9,17.8.1
UMC,2016,51.4,17.8.1
UMC,2017,54.7,17.8.1
UMC,2018,59.5,17.8.1
UMC,2019,64.5,17.8.1
UMC,2020,70.3,17.8.1
UMC,2021,74.1,17.8.1
UMC,2022,76.5,17.8.1
UMC,2023,78.5,17.8.1
UMC,2024,80.7,17.8.1
UMC,2015,7434.595696,8.1.1
UMC,2016,7712.279949,8.1.1
UMC,2017,8059.482381,8.1.1
UMC,2018,8394.406379,8.1.1
UMC,2019,8685.841222,8.1.1
UMC,2020,8604.862347,8.1.1
UMC,2021,9230.360607,8.1.1
UMC,2022,9522.306994,8.1.1
UMC,2023,9937.600601,8.1.1
UMC,2024,10318.53181,8.1.1
UMC,2015,94.37081909,4.1.2
UMC,2016,96.34155273,4.1.2
UMC,2017,95.62600708,4.1.2
UMC,2018,95.51760101,4.1.2
UMC,2019,95.51190186,4.1.2
UMC,2020,94.19270325,4.1.2
UMC,2021,95.3731308,4.1.2
UMC,2022,95.06098175,4.1.2
UMC,2023,95.16631317,4.1.2
UMC,2015,77.8164122,6.1.1
UMC,2016,78.3066754,6.1.1
UMC,2017,78.78415964,6.1.1
UMC,2018,79.22914797,6.1.1
UMC,2019,79.64304194,6.1.1
UMC,2020,80.01458331,6.1.1
UMC,2021,80.35261634,6.1.1
UMC,2022,80.62070193,6.1.1
UMC,2015,75,3.8.1
UMC,2017,77,3.8.1
UMC,2019,77,3.8.1
UMC,2021,79,3.8.1
UMC,2015,3.7,10.1.1
UMC,2016,3.6,10.1.1
UMC,2017,3.4,10.1.1
UMC,2018,3.3,10.1.1
UMC,2019,3.2,10.1.1
UMC,2020,3.2,10.1.1
UMC,2021,3,10.1.1
UMC,2022,2.9,10.1.1
UMC,2023,2.8,10.1.1
UMC,2024,2.7,10.1.1
UMC,2015,60.60546251,8.5.1
UMC,2016,60.74830416,8.5.1
UMC,2017,60.90046798,8.5.1
UMC,2018,61.0439867,8.5.1
UMC,2019,61.25919174,8.5.1
UMC,2020,59.3250444,8.5.1
UMC,2021,60.72850173,8.5.1
UMC,2022,60.55570257,8.5.1
UMC,2023,60.82235607,8.5.1
UMC,2024,60.68853639,8.5.1
UMC,2015,3.877223235,2.1.1
UMC,2016,3.828573219,2.1.1
UMC,2017,3.769870409,2.1.1
UMC,2018,3.748987346,2.1.1
UMC,2019,3.793422067,2.1.1
UMC,2020,3.861033163,2.1.1
UMC,2021,4.011027734,2.1.1
UMC,2022,4.030190934,2.1.1
