iso3c,year,value,indicator_sdg
BOL,2015,6.2,1.1.1
BOL,2016,7.2,1.1.1
BOL,2017,6.4,1.1.1
BOL,2018,4.7,1.1.1
BOL,2019,3.1386,1.1.1
BOL,2020,4.2469,1.1.1
BOL,2021,3.0547,1.1.1
BOL,2022,3.2671,1.1.1
BOL,2023,2.8175,1.1.1
BOL,2024,3.036,1.1.1
BOL,2025,3.8659,1.1.1
BOL,2015,3.6,10.1.1
BOL,2016,3.8,10.1.1
BOL,2017,3.4,10.1.1
BOL,2018,3.1,10.1.1
BOL,2019,2.5,10.1.1
BOL,2020,2.7,10.1.1
BOL,2021,2.5,10.1.1
BOL,2022,2.6,10.1.1
BOL,2023,2.4,10.1.1
BOL,2015,0.8186785805,12.c.1
BOL,2016,0.6011202054,12.c.1
BOL,2017,0.6968868517,12.c.1
BOL,2018,2.299379784,12.c.1
BOL,2019,1.535552355,12.c.1
BOL,2020,0.6896317134,12.c.1
BOL,2021,1.622799522,12.c.1
BOL,2022,4.840372966,12.c.1
BOL,2023,2.974225045,12.c.1
BOL,2024,2.091485962,12.c.1
BOL,2015,4.288993668,13.2.2
BOL,2016,4.382013628,13.2.2
BOL,2017,4.374473923,13.2.2
BOL,2018,4.368838397,13.2.2
BOL,2019,4.385314649,13.2.2
BOL,2020,4.063548155,13.2.2
BOL,2021,4.365161141,13.2.2
BOL,2022,4.430058605,13.2.2
BOL,2023,4.507104163,13.2.2
BOL,2015,30.9,15.1.2
BOL,2016,30.9,15.1.2
BOL,2017,30.9,15.1.2
BOL,2018,30.9,15.1.2
BOL,2019,30.9,15.1.2
BOL,2020,30.9,15.1.2
BOL,2021,30.9,15.1.2
BOL,2022,30.9,15.1.2
BOL,2023,30.9,15.1.2
BOL,2024,30.9,15.1.2
BOL,2016,57.44416667,17.18.1
BOL,2017,61.0825,17.18.1
BOL,2018,62.4025,17.18.1
BOL,2019,62.31625,17.18.1
BOL,2020,64.03041667,17.18.1
BOL,2021,70.80958333,17.18.1
BOL,2022,70.68416667,17.18.1
BOL,2023,72.51833333,17.18.1
BOL,2015,37.4868,17.8.1
BOL,2016,39.6975,17.8.1
BOL,2017,43.8323,17.8.1
BOL,2018,44.2861,17.8.1
BOL,2019,47.4748,17.8.1
BOL,2020,59.9401,17.8.1
BOL,2021,65.9774,17.8.1
BOL,2022,67.3612,17.8.1
BOL,2023,70.2368,17.8.1
BOL,2015,16.8,2.1.1
BOL,2016,15.6,2.1.1
BOL,2017,14.9,2.1.1
BOL,2018,14.5,2.1.1
BOL,2019,14.5,2.1.1
BOL,2020,16.9,2.1.1
BOL,2021,20.3,2.1.1
BOL,2022,23,2.1.1
BOL,2015,60,3.8.1
BOL,2017,64,3.8.1
BOL,2019,65,3.8.1
BOL,2021,65,3.8.1
BOL,2015,89.5214525,4.1.2
BOL,2016,90.05542721,4.1.2
BOL,2017,91.36070505,4.1.2
BOL,2018,94.17328486,4.1.2
BOL,2019,90.82820804,4.1.2
BOL,2020,92.11217931,4.1.2
BOL,2022,96.54411075,4.1.2
BOL,2023,96.20259102,4.1.2
BOL,2015,91.5,7.1.1
BOL,2016,91.8,7.1.1
BOL,2017,91.8,7.1.1
BOL,2018,92.8,7.1.1
BOL,2019,95.1,7.1.1
BOL,2020,97.2,7.1.1
BOL,2021,98.6,7.1.1
BOL,2022,99.9,7.1.1
BOL,2023,99.8,7.1.1
BOL,2015,2996.012898,8.1.1
BOL,2016,3077.570576,8.1.1
BOL,2017,3160.164212,8.1.1
BOL,2018,3246.764348,8.1.1
BOL,2019,3272.38171,8.1.1
BOL,2020,2949.81955,8.1.1
BOL,2021,3098.350624,8.1.1
BOL,2022,3172.910467,8.1.1
BOL,2023,3226.08756,8.1.1
BOL,2024,3226.188076,8.1.1
BOL,2015,58.599,8.5.1
BOL,2016,58.497,8.5.1
BOL,2017,60.481,8.5.1
