iso3c,year,value,indicator_sdg
CAN,2015,0.5,1.1.1
CAN,2016,0.5,1.1.1
CAN,2017,0.5,1.1.1
CAN,2018,0.3,1.1.1
CAN,2019,0.3,1.1.1
CAN,2020,0.2,1.1.1
CAN,2021,0.2,1.1.1
CAN,2022,0.2,1.1.1
CAN,2023,0.2,1.1.1
CAN,2024,0.2,1.1.1
CAN,2025,0.2,1.1.1
CAN,2015,0.7,10.1.1
CAN,2016,0.6,10.1.1
CAN,2017,0.6,10.1.1
CAN,2018,0.6,10.1.1
CAN,2019,0.6,10.1.1
CAN,2020,0.5,10.1.1
CAN,2021,0.5,10.1.1
CAN,2015,0.1645051644,12.c.1
CAN,2016,0.003883900873,12.c.1
CAN,2017,0,12.c.1
CAN,2018,0.00280970856,12.c.1
CAN,2019,0.01163468067,12.c.1
CAN,2020,0.07484456299,12.c.1
CAN,2021,0.01235031446,12.c.1
CAN,2022,0.01989266225,12.c.1
CAN,2023,0.01681270291,12.c.1
CAN,2024,0.01646572191,12.c.1
CAN,2015,21.17116168,13.2.2
CAN,2016,20.78604843,13.2.2
CAN,2017,21.08291473,13.2.2
CAN,2018,21.42210882,13.2.2
CAN,2019,20.94734784,13.2.2
CAN,2020,18.72092553,13.2.2
CAN,2021,19.04473039,13.2.2
CAN,2022,19.14029082,13.2.2
CAN,2023,18.65301928,13.2.2
CAN,2015,9.81736,14.1.1
CAN,2016,9.75849,14.1.1
CAN,2017,10.15095,14.1.1
CAN,2018,12.08287,14.1.1
CAN,2019,10.60626,14.1.1
CAN,2020,12.84909,14.1.1
CAN,2021,11.47433,14.1.1
CAN,2022,15.64569,14.1.1
CAN,2015,9.3,15.1.2
CAN,2016,9.7,15.1.2
CAN,2017,9.7,15.1.2
CAN,2018,9.6,15.1.2
CAN,2019,11,15.1.2
CAN,2020,9.9,15.1.2
CAN,2021,11.9,15.1.2
CAN,2022,12.7,15.1.2
CAN,2023,12.8,15.1.2
CAN,2024,12.9,15.1.2
CAN,2016,86.27958333,17.18.1
CAN,2017,86.44875,17.18.1
CAN,2018,86.57083333,17.18.1
