iso3c,year,value,indicator_sdg
CPV,2015,14.6,1.1.1
CPV,2016,13.8,1.1.1
CPV,2017,13,1.1.1
CPV,2018,12.1,1.1.1
CPV,2019,11.1,1.1.1
CPV,2020,15.6,1.1.1
CPV,2021,14.2,1.1.1
CPV,2022,10.7776,1.1.1
CPV,2023,11.3006,1.1.1
CPV,2024,10.3283,1.1.1
CPV,2025,9.5497,1.1.1
CPV,2015,5.7,10.1.1
CPV,2016,51.40312,11.0.0
CPV,2018,49.20007,11.0.0
CPV,2020,46.67545,11.0.0
CPV,2022,46.41147,11.0.0
CPV,2015,1.969578098,13.2.2
CPV,2016,2.058319709,13.2.2
CPV,2017,2.142162205,13.2.2
CPV,2018,1.955338274,13.2.2
CPV,2019,2.044138929,13.2.2
CPV,2020,1.640245668,13.2.2
CPV,2021,1.688960977,13.2.2
CPV,2022,1.750487262,13.2.2
CPV,2023,1.690498936,13.2.2
CPV,2024,1.738693065,13.2.2
CPV,2024,0.2712631226,16.0.0
CPV,2016,53.0125,17.18.1
CPV,2017,55.91375,17.18.1
CPV,2018,56.55291667,17.18.1
CPV,2019,56.66541667,17.18.1
CPV,2020,60.77125,17.18.1
CPV,2021,67.385,17.18.1
CPV,2022,65.20208333,17.18.1
CPV,2023,60.52416667,17.18.1
CPV,2024,59.87375,17.18.1
CPV,2015,42.68301416,17.8.1
CPV,2016,50.32281787,17.8.1
CPV,2017,57.16214635,17.8.1
CPV,2018,59.5,17.8.1
CPV,2019,61.94339776,17.8.1
CPV,2020,69.37339783,17.8.1
CPV,2021,70.28250122,17.8.1
CPV,2022,73.32740021,17.8.1
CPV,2023,74.59919739,17.8.1
CPV,2024,74.73519897,17.8.1
CPV,2015,11.55655098,4.1.2
CPV,2016,11.69666958,4.1.2
CPV,2017,11.77145195,4.1.2
CPV,2018,11.84429073,4.1.2
CPV,2019,11.93351936,4.1.2
CPV,2020,11.99258995,4.1.2
CPV,2021,12.03458977,4.1.2
CPV,2022,12.00443363,4.1.2
CPV,2023,12.04343319,4.1.2
CPV,2024,12.04343319,4.1.2
CPV,2025,12.04343319,4.1.2
