iso3c,year,value,indicator_sdg
CRI,2015,2.5,1.1.1
CRI,2016,2.4,1.1.1
CRI,2017,1.7,1.1.1
CRI,2018,2.3,1.1.1
CRI,2019,1.7298,1.1.1
CRI,2020,3.3518,1.1.1
CRI,2021,2.1596,1.1.1
CRI,2022,1.5988,1.1.1
CRI,2023,1.5396,1.1.1
CRI,2024,1.2837,1.1.1
CRI,2025,1.2568,1.1.1
CRI,2015,2.5,10.1.1
CRI,2016,2.4,10.1.1
CRI,2017,2.3,10.1.1
CRI,2018,2.4,10.1.1
CRI,2019,2.3,10.1.1
CRI,2020,3,10.1.1
CRI,2021,2.4,10.1.1
CRI,2022,2.3,10.1.1
CRI,2023,2.1,10.1.1
CRI,2024,2,10.1.1
CRI,2015,0.09128121935,12.c.1
CRI,2016,0.08179988481,12.c.1
CRI,2017,0.1204259761,12.c.1
CRI,2018,0.1114206665,12.c.1
CRI,2019,0.1418142834,12.c.1
CRI,2020,0.06113794216,12.c.1
CRI,2021,0.06758429015,12.c.1
CRI,2022,0.06423298893,12.c.1
CRI,2023,0.07155089026,12.c.1
CRI,2024,0.07542943164,12.c.1
CRI,2015,2.98123427,13.2.2
CRI,2016,3.094597532,13.2.2
CRI,2017,3.145133994,13.2.2
CRI,2018,3.219944742,13.2.2
CRI,2019,3.171403523,13.2.2
CRI,2020,2.854824485,13.2.2
CRI,2021,3.100086403,13.2.2
CRI,2022,3.134166968,13.2.2
CRI,2023,3.225544875,13.2.2
CRI,2015,0.51069,14.1.1
CRI,2016,2.28519,14.1.1
CRI,2017,1.31879,14.1.1
CRI,2018,0.5876,14.1.1
CRI,2019,0.85611,14.1.1
CRI,2020,2.01005,14.1.1
CRI,2021,1.4854,14.1.1
CRI,2022,1.33904,14.1.1
CRI,2015,27.6,15.1.2
CRI,2016,27.6,15.1.2
CRI,2017,27.6,15.1.2
CRI,2018,27.6,15.1.2
CRI,2019,28.3,15.1.2
CRI,2020,28.4,15.1.2
CRI,2021,28.4,15.1.2
CRI,2022,26.6,15.1.2
CRI,2023,26.6,15.1.2
CRI,2024,26.5,15.1.2
CRI,2016,72.69625,17.18.1
CRI,2017,78.58666667,17.18.1
CRI,2018,77.68916667,17.18.1
CRI,2019,80.77791667,17.18.1
CRI,2020,82.99625,17.18.1
CRI,2021,90.00416667,17.18.1
CRI,2022,89.43458333,17.18.1
CRI,2023,88.51208333,17.18.1
CRI,2015,59.763,17.8.1
CRI,2016,65.8804,17.8.1
CRI,2017,71.5817,17.8.1
CRI,2018,73.4797,17.8.1
CRI,2019,81.2026,17.8.1
CRI,2020,80.5302,17.8.1
CRI,2021,82.749,17.8.1
CRI,2022,82.598,17.8.1
CRI,2023,85.3951,17.8.1
CRI,2015,2.5,2.1.1
CRI,2016,2.5,2.1.1
CRI,2017,2.5,2.1.1
CRI,2018,2.5,2.1.1
CRI,2019,2.5,2.1.1
CRI,2020,2.5,2.1.1
CRI,2021,2.5,2.1.1
CRI,2022,2.5,2.1.1
CRI,2015,77,3.8.1
CRI,2017,81,3.8.1
CRI,2019,82,3.8.1
CRI,2021,81,3.8.1
CRI,2015,93.32691956,4.1.2
CRI,2016,92.39864349,4.1.2
CRI,2017,91.22923279,4.1.2
CRI,2018,90.77597809,4.1.2
CRI,2019,93.72879028,4.1.2
CRI,2020,98.62167358,4.1.2
CRI,2021,100.3306198,4.1.2
CRI,2022,93.17079163,4.1.2
CRI,2023,100.6663284,4.1.2
CRI,2015,80.14721556,6.1.1
CRI,2016,80.29888117,6.1.1
CRI,2017,80.4417707,6.1.1
CRI,2018,80.52559036,6.1.1
CRI,2019,80.52068401,6.1.1
CRI,2020,80.51604657,6.1.1
CRI,2021,80.51168811,6.1.1
CRI,2022,80.50757849,6.1.1
CRI,2015,99.4,7.1.1
CRI,2016,99.5,7.1.1
CRI,2017,99.6,7.1.1
CRI,2018,99.7,7.1.1
CRI,2019,99.7,7.1.1
CRI,2020,99.9,7.1.1
CRI,2021,100,7.1.1
CRI,2022,100,7.1.1
CRI,2023,100,7.1.1
CRI,2015,11714.7106,8.1.1
CRI,2016,12084.43513,8.1.1
CRI,2017,12468.56545,8.1.1
CRI,2018,12679.52536,8.1.1
CRI,2019,12877.6501,8.1.1
CRI,2020,12242.20989,8.1.1
CRI,2021,13146.69279,8.1.1
CRI,2022,13686.16141,8.1.1
CRI,2023,14318.83897,8.1.1
CRI,2024,14866.58237,8.1.1
CRI,2015,55.244,8.5.1
CRI,2016,51.218,8.5.1
CRI,2017,51.423,8.5.1
CRI,2018,54.499,8.5.1
CRI,2019,58.805,8.5.1
CRI,2020,54.881,8.5.1
CRI,2021,57.014,8.5.1
CRI,2022,57.485,8.5.1
CRI,2023,50.879,8.5.1
CRI,2024,50.866,8.5.1
LCN,2015,97.28472761,7.1.1
LCN,2016,97.47838213,7.1.1
LCN,2017,97.71059922,7.1.1
LCN,2018,97.75671521,7.1.1
LCN,2019,97.99821139,7.1.1
LCN,2020,98.14999276,7.1.1
LCN,2021,98.27562637,7.1.1
LCN,2022,98.57887137,7.1.1
LCN,2023,98.42262047,7.1.1
LCN,2015,5.585902372,13.2.2
LCN,2016,5.508839611,13.2.2
LCN,2017,5.452279939,13.2.2
LCN,2018,5.337683662,13.2.2
LCN,2019,5.313644776,13.2.2
LCN,2020,5.006724705,13.2.2
LCN,2021,5.235485433,13.2.2
LCN,2022,5.28222626,13.2.2
LCN,2023,5.322016748,13.2.2
LCN,2015,23.45329178,15.1.2
LCN,2016,23.12837941,15.1.2
LCN,2017,23.13422554,15.1.2
LCN,2018,23.42008966,15.1.2
LCN,2019,23.88542559,15.1.2
LCN,2020,24.10162031,15.1.2
LCN,2021,24.15659901,15.1.2
LCN,2022,24.18238757,15.1.2
LCN,2023,24.30851398,15.1.2
LCN,2024,24.4424062,15.1.2
LCN,2015,54.4,17.8.1
LCN,2016,57.5,17.8.1
LCN,2017,62.3,17.8.1
LCN,2018,65.3,17.8.1
LCN,2019,67.9,17.8.1
LCN,2020,73.9,17.8.1
LCN,2021,76.3,17.8.1
LCN,2022,77.4,17.8.1
LCN,2023,79.7,17.8.1
LCN,2024,82,17.8.1
LCN,2015,8758.631461,8.1.1
LCN,2016,8647.127031,8.1.1
LCN,2017,8730.57792,8.1.1
LCN,2018,8794.512767,8.1.1
LCN,2019,8782.943316,8.1.1
LCN,2020,8144.086893,8.1.1
LCN,2021,8670.661919,8.1.1
LCN,2022,8961.377374,8.1.1
LCN,2023,9100.39838,8.1.1
LCN,2024,9242.341978,8.1.1
LCN,2015,98.38294983,4.1.2
LCN,2016,97.82418823,4.1.2
LCN,2017,96.53347015,4.1.2
LCN,2018,95.63816071,4.1.2
LCN,2019,95.29489899,4.1.2
LCN,2020,95.3600235,4.1.2
LCN,2021,96.08480072,4.1.2
LCN,2022,95.60009003,4.1.2
