iso3c,year,value,indicator_sdg
ERI,2016,56.8,11.0.0
ERI,2018,53.4,11.0.0
ERI,2020,51.9,11.0.0
ERI,2022,48.7,11.0.0
ERI,2015,1.9,13.2.2
ERI,2016,2,13.2.2
ERI,2017,1.9,13.2.2
ERI,2018,1.9,13.2.2
ERI,2019,1.9,13.2.2
ERI,2020,1.9,13.2.2
ERI,2021,1.9,13.2.2
ERI,2022,1.9,13.2.2
ERI,2023,1.9,13.2.2
ERI,2024,1.9,13.2.2
ERI,2015,6.2,14.1.1
ERI,2016,0.8,14.1.1
ERI,2017,1.6,14.1.1
ERI,2018,1.6,14.1.1
ERI,2019,2.3,14.1.1
ERI,2020,3.1,14.1.1
ERI,2021,2.4,14.1.1
ERI,2022,5.4,14.1.1
ERI,2015,4.9,15.1.2
ERI,2016,4.9,15.1.2
ERI,2017,4.9,15.1.2
ERI,2018,4.9,15.1.2
ERI,2019,4.9,15.1.2
ERI,2020,4.9,15.1.2
ERI,2021,0,15.1.2
ERI,2022,0,15.1.2
ERI,2023,0,15.1.2
ERI,2024,0,15.1.2
ERI,2015,1.1,17.8.1
ERI,2016,1.2,17.8.1
ERI,2017,2.5,17.8.1
ERI,2018,5.3,17.8.1
ERI,2019,11.2,17.8.1
ERI,2020,14.3,17.8.1
ERI,2021,18.4,17.8.1
ERI,2022,18.7,17.8.1
ERI,2023,20,17.8.1
ERI,2015,413,3.1.1
ERI,2016,395,3.1.1
ERI,2017,379,3.1.1
ERI,2018,363,3.1.1
ERI,2019,351,3.1.1
ERI,2020,334,3.1.1
ERI,2021,338,3.1.1
ERI,2022,301,3.1.1
ERI,2023,291,3.1.1
ERI,2015,46.1,3.2.1
ERI,2016,44.6,3.2.1
ERI,2017,43.2,3.2.1
ERI,2018,41.7,3.2.1
ERI,2019,40.3,3.2.1
ERI,2020,39.1,3.2.1
ERI,2021,37.9,3.2.1
ERI,2022,36.6,3.2.1
ERI,2023,35.4,3.2.1
ERI,2015,19.7,3.2.2
ERI,2016,19.3,3.2.2
ERI,2017,18.9,3.2.2
ERI,2018,18.5,3.2.2
ERI,2019,18.1,3.2.2
ERI,2020,17.8,3.2.2
ERI,2021,17.4,3.2.2
ERI,2022,17,3.2.2
ERI,2023,16.4,3.2.2
ERI,2015,7.4,4.1.2
ERI,2016,7.4,4.1.2
ERI,2017,7.4,4.1.2
ERI,2018,7.4,4.1.2
ERI,2019,7.4,4.1.2
ERI,2020,7.4,4.1.2
ERI,2021,7.4,4.1.2
ERI,2022,7.5,4.1.2
ERI,2023,7.4,4.1.2
ERI,2024,7.4,4.1.2
ERI,2025,7.4,4.1.2
ERI,2015,65.91,43.0.0
ERI,2016,66.24,43.0.0
ERI,2017,66.61,43.0.0
ERI,2018,66.98,43.0.0
ERI,2019,67.31,43.0.0
ERI,2020,66.98,43.0.0
ERI,2021,66.94,43.0.0
ERI,2022,67.79,43.0.0
ERI,2023,68.62,43.0.0
ERI,2015,17,45.0.0
ERI,2016,16.5,45.0.0
ERI,2017,17.2,45.0.0
ERI,2018,17.1,45.0.0
ERI,2019,16.4,45.0.0
ERI,2020,16.2,45.0.0
ERI,2021,18.1,45.0.0
ERI,2022,19,45.0.0
ERI,2023,19,45.0.0
ERI,2015,45.8,7.1.1
ERI,2016,46.9,7.1.1
ERI,2017,48,7.1.1
ERI,2018,49.1,7.1.1
ERI,2019,50.3,7.1.1
ERI,2020,51.4,7.1.1
ERI,2021,52.5,7.1.1
ERI,2022,53.4,7.1.1
ERI,2023,54.4,7.1.1
ERI,2015,76.5,8.5.1
ERI,2016,76.4,8.5.1
ERI,2017,76.3,8.5.1
ERI,2018,76.2,8.5.1
ERI,2019,76.1,8.5.1
ERI,2020,75.1,8.5.1
ERI,2021,75.7,8.5.1
ERI,2022,76.1,8.5.1
ERI,2023,76.2,8.5.1
ERI,2024,76.2,8.5.1
SSF,2016,43.8,7.1.1
SSF,2017,43.8,7.1.1
SSF,2018,46.4,7.1.1
SSF,2021,50.7,7.1.1
SSF,2019,47.2,7.1.1
SSF,2022,51.6,7.1.1
SSF,2023,53.3,7.1.1
SSF,2015,39.2,7.1.1
SSF,2020,48.5,7.1.1
SSF,2015,2.1,13.2.2
SSF,2016,2.1,13.2.2
SSF,2017,2.1,13.2.2
SSF,2018,2.1,13.2.2
SSF,2019,2.1,13.2.2
SSF,2020,2,13.2.2
SSF,2021,2,13.2.2
SSF,2022,1.9,13.2.2
SSF,2023,1.9,13.2.2
SSF,2024,1.9,13.2.2
SSF,2016,53.5,11.0.0
SSF,2018,52.2,11.0.0
SSF,2020,51,11.0.0
SSF,2022,53.7,11.0.0
SSF,2015,15.9,15.1.2
SSF,2016,16.5,15.1.2
SSF,2017,16.7,15.1.2
SSF,2018,16.4,15.1.2
SSF,2019,16.1,15.1.2
SSF,2020,16.4,15.1.2
