iso3c,year,value,indicator_sdg
EST,2015,0.7,1.1.1
EST,2016,0.6,1.1.1
EST,2017,0.5,1.1.1
EST,2018,0.4,1.1.1
EST,2019,0.7,1.1.1
EST,2020,0.4,1.1.1
EST,2021,0.3,1.1.1
EST,2022,0.5,1.1.1
EST,2023,0.3,1.1.1
EST,2024,0.3,1.1.1
EST,2025,0.3,1.1.1
EST,2015,1.5,10.1.1
EST,2016,1.3,10.1.1
EST,2017,1.1,10.1.1
EST,2018,1.1,10.1.1
EST,2019,1.2,10.1.1
EST,2020,1,10.1.1
EST,2021,0.9,10.1.1
EST,2022,1.2,10.1.1
EST,2023,1,10.1.1
EST,2015,4.546269403,12.c.1
EST,2016,4.499977073,12.c.1
EST,2017,4.003475538,12.c.1
EST,2018,3.377336989,12.c.1
EST,2019,2.939428765,12.c.1
EST,2020,3.17480256,12.c.1
EST,2021,2.994888686,12.c.1
EST,2022,2.999975389,12.c.1
EST,2023,2.906093576,12.c.1
EST,2024,2.870182823,12.c.1
EST,2015,18.1828894,13.2.2
EST,2016,18.07370477,13.2.2
EST,2017,19.111436,13.2.2
EST,2018,20.04134716,13.2.2
EST,2019,14.15413996,13.2.2
EST,2020,10.91452417,13.2.2
EST,2021,11.48338157,13.2.2
EST,2022,11.54199164,13.2.2
EST,2023,10.48248322,13.2.2
EST,2015,1.02607,14.1.1
EST,2016,1.1659,14.1.1
EST,2017,1.72836,14.1.1
EST,2018,1.19478,14.1.1
EST,2019,1.43434,14.1.1
EST,2020,1.11537,14.1.1
EST,2021,0.90704,14.1.1
EST,2022,1.01505,14.1.1
EST,2015,20.1,15.1.2
EST,2016,20.2,15.1.2
EST,2017,20.2,15.1.2
EST,2018,20.2,15.1.2
EST,2019,20.6,15.1.2
EST,2020,21.2,15.1.2
EST,2021,21.3,15.1.2
EST,2022,21.4,15.1.2
EST,2023,21.4,15.1.2
EST,2024,22,15.1.2
EST,2016,80.59458333,17.18.1
EST,2017,80.18791667,17.18.1
EST,2018,86.755,17.18.1
EST,2019,86.41375,17.18.1
EST,2020,86.54625,17.18.1
EST,2021,90.86916667,17.18.1
EST,2022,91.89208333,17.18.1
EST,2023,92.79458333,17.18.1
EST,2015,88.4097,17.8.1
EST,2016,87.2402,17.8.1
EST,2017,88.1025,17.8.1
EST,2018,89.357,17.8.1
EST,2019,90.2289,17.8.1
EST,2020,89.0583,17.8.1
EST,2021,90.9797,17.8.1
EST,2022,91.5202,17.8.1
EST,2023,93.1834,17.8.1
EST,2024,92.238,17.8.1
EST,2015,2.5,2.1.1
EST,2016,2.5,2.1.1
EST,2017,2.5,2.1.1
EST,2018,2.5,2.1.1
EST,2019,2.5,2.1.1
EST,2020,2.5,2.1.1
EST,2021,2.5,2.1.1
EST,2022,2.5,2.1.1
EST,2015,77,3.8.1
EST,2017,78,3.8.1
EST,2019,79,3.8.1
EST,2021,79,3.8.1
EST,2015,97.09329987,4.1.2
EST,2016,97.93798065,4.1.2
EST,2017,96.38076782,4.1.2
EST,2018,96.59681702,4.1.2
EST,2019,97.27607727,4.1.2
EST,2020,95.80139923,4.1.2
EST,2021,98.22622681,4.1.2
EST,2022,98.52239227,4.1.2
EST,2023,96.8391037,4.1.2
EST,2015,96.84609675,6.1.1
EST,2016,96.87794315,6.1.1
EST,2017,96.91004806,6.1.1
EST,2018,96.94275048,6.1.1
EST,2019,96.97601045,6.1.1
EST,2020,96.99838838,6.1.1
EST,2021,97.00866426,6.1.1
EST,2022,97.01938262,6.1.1
EST,2015,100,7.1.1
EST,2016,100,7.1.1
EST,2017,100,7.1.1
EST,2018,100,7.1.1
EST,2019,100,7.1.1
EST,2020,100,7.1.1
EST,2021,100,7.1.1
EST,2022,100,7.1.1
EST,2023,100,7.1.1
EST,2015,17722.15577,8.1.1
EST,2016,18264.98733,8.1.1
EST,2017,19270.81412,8.1.1
EST,2018,19914.34549,8.1.1
EST,2019,20579.87567,8.1.1
EST,2020,19946.9457,8.1.1
EST,2021,21351.39548,8.1.1
EST,2022,21080.65314,8.1.1
EST,2023,20123.4227,8.1.1
EST,2024,20046.02988,8.1.1
EST,2015,72.822,8.5.1
EST,2016,73.187,8.5.1
EST,2017,75.008,8.5.1
EST,2018,75.427,8.5.1
EST,2019,75.479,8.5.1
EST,2020,75.784,8.5.1
EST,2021,76.713,8.5.1
