iso3c,year,value,indicator_sdg
FRO,2015,1.930509826,13.2.2
FRO,2016,1.914523694,13.2.2
FRO,2017,1.895177361,13.2.2
FRO,2018,1.87073496,13.2.2
FRO,2019,1.840052518,13.2.2
FRO,2020,1.822505469,13.2.2
FRO,2021,1.803137196,13.2.2
FRO,2022,1.775115002,13.2.2
FRO,2023,1.773440659,13.2.2
FRO,2024,1.766609974,13.2.2
FRO,2015,94.2,17.8.1
FRO,2016,95.10868167,17.8.1
FRO,2017,97.58195894,17.8.1
FRO,2015,79.426,43.0.0
FRO,2016,79.575,43.0.0
FRO,2017,79.694,43.0.0
FRO,2018,79.812,43.0.0
FRO,2019,79.906,43.0.0
FRO,2020,79.982,43.0.0
FRO,2021,79.792,43.0.0
FRO,2022,79.264,43.0.0
FRO,2023,80.179,43.0.0
FRO,2024,80.394,43.0.0
FRO,2015,6.29668262,47.0.0
FRO,2016,6.261171577,47.0.0
FRO,2017,6.460601477,47.0.0
FRO,2018,6.681819963,47.0.0
FRO,2019,7.206222754,47.0.0
FRO,2020,7.518968566,47.0.0
FRO,2021,7.744840525,47.0.0
FRO,2022,7.817666772,47.0.0
FRO,2023,8.11883613,47.0.0
FRO,2015,100,61.1.0
FRO,2016,100,61.1.0
FRO,2017,100,61.1.0
FRO,2018,100,61.1.0
FRO,2019,100,61.1.0
FRO,2020,100,61.1.0
FRO,2021,100,61.1.0
FRO,2022,100,61.1.0
FRO,2023,100,61.1.0
FRO,2024,100,61.1.0
FRO,2015,100,7.1.1
FRO,2016,100,7.1.1
FRO,2017,100,7.1.1
FRO,2018,100,7.1.1
FRO,2019,100,7.1.1
FRO,2020,100,7.1.1
FRO,2021,100,7.1.1
FRO,2022,100,7.1.1
FRO,2023,100,7.1.1
ECS,2015,99.2,7.1.1
ECS,2016,99.8,7.1.1
ECS,2017,100,7.1.1
ECS,2018,100,7.1.1
ECS,2019,100,7.1.1
ECS,2020,100,7.1.1
ECS,2021,100,7.1.1
ECS,2022,100,7.1.1
ECS,2023,100,7.1.1
ECS,2016,9.3,13.2.2
ECS,2017,9.4,13.2.2
ECS,2018,9.4,13.2.2
ECS,2019,9.2,13.2.2
ECS,2020,8.7,13.2.2
ECS,2021,9.2,13.2.2
ECS,2022,8.9,13.2.2
ECS,2023,8.7,13.2.2
ECS,2024,8.7,13.2.2
ECS,2015,9.3,13.2.2
ECS,2016,2.8,11.0.0
ECS,2018,2.9,11.0.0
ECS,2020,2.9,11.0.0
ECS,2022,2.8,11.0.0
ECS,2015,69.9,17.8.1
ECS,2016,72.3,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
