iso3c,year,value,indicator_sdg
GEO,2015,10.6,1.1.1
GEO,2016,10.5,1.1.1
GEO,2017,11.1,1.1.1
GEO,2018,11,1.1.1
GEO,2019,9.7027,1.1.1
GEO,2020,11.9763,1.1.1
GEO,2021,10.79,1.1.1
GEO,2022,7.7333,1.1.1
GEO,2023,5.8267,1.1.1
GEO,2024,4.2293,1.1.1
GEO,2025,3.5841,1.1.1
GEO,2015,5.2,10.1.1
GEO,2016,5.2,10.1.1
GEO,2017,5.3,10.1.1
GEO,2018,5.3,10.1.1
GEO,2019,5.1,10.1.1
GEO,2020,5.5,10.1.1
GEO,2021,5.3,10.1.1
GEO,2022,4.8,10.1.1
GEO,2023,4.1,10.1.1
GEO,2024,3.8,10.1.1
GEO,2015,3.049510883,12.c.1
GEO,2016,3.382031212,12.c.1
GEO,2017,2.825224328,12.c.1
GEO,2018,3.951090518,12.c.1
GEO,2019,4.453970167,12.c.1
GEO,2020,4.475821937,12.c.1
GEO,2021,8.213651613,12.c.1
GEO,2022,14.03754703,12.c.1
GEO,2023,8.198116093,12.c.1
GEO,2024,7.297807643,12.c.1
GEO,2015,4.448126797,13.2.2
GEO,2016,4.558759814,13.2.2
GEO,2017,4.581969333,13.2.2
GEO,2018,4.551100764,13.2.2
GEO,2019,4.755278065,13.2.2
GEO,2020,4.659555013,13.2.2
GEO,2021,4.901108502,13.2.2
GEO,2022,5.043741391,13.2.2
GEO,2023,5.126978108,13.2.2
GEO,2015,1.60422,14.1.1
GEO,2016,0.07112,14.1.1
GEO,2017,0.14144,14.1.1
GEO,2018,0.67223,14.1.1
GEO,2019,3.55377,14.1.1
GEO,2020,0.56577,14.1.1
GEO,2021,0.49606,14.1.1
GEO,2022,2.01244,14.1.1
GEO,2015,8.3,15.1.2
GEO,2016,8.3,15.1.2
GEO,2017,8.3,15.1.2
GEO,2018,8.3,15.1.2
GEO,2019,9.3,15.1.2
GEO,2020,9.3,15.1.2
GEO,2021,9.3,15.1.2
GEO,2022,11.1,15.1.2
GEO,2023,11.1,15.1.2
GEO,2024,22.8,15.1.2
GEO,2016,77.045,17.18.1
GEO,2017,80.25,17.18.1
GEO,2018,78.78291667,17.18.1
GEO,2019,81.73041667,17.18.1
GEO,2020,86.49625,17.18.1
GEO,2021,90.02916667,17.18.1
GEO,2022,89.56625,17.18.1
GEO,2023,89.2675,17.18.1
GEO,2015,47.5698,17.8.1
GEO,2016,58.4593,17.8.1
GEO,2017,59.7055,17.8.1
GEO,2018,62.7179,17.8.1
GEO,2019,68.8467,17.8.1
GEO,2020,72.5316,17.8.1
GEO,2021,76.4427,17.8.1
GEO,2022,78.7113,17.8.1
GEO,2023,81.8843,17.8.1
GEO,2015,6.6,2.1.1
GEO,2016,6.7,2.1.1
GEO,2017,6.6,2.1.1
GEO,2018,5.5,2.1.1
GEO,2019,5.4,2.1.1
GEO,2020,5.2,2.1.1
GEO,2021,5.2,2.1.1
GEO,2022,4,2.1.1
GEO,2015,71,3.8.1
GEO,2017,70,3.8.1
GEO,2019,69,3.8.1
GEO,2021,68,3.8.1
GEO,2015,107.3836469,4.1.2
GEO,2016,121.2361369,4.1.2
GEO,2017,121.4038776,4.1.2
GEO,2018,102.7689999,4.1.2
GEO,2019,98.43483148,4.1.2
GEO,2020,94.6302046,4.1.2
GEO,2021,87.81284004,4.1.2
GEO,2022,110.788199,4.1.2
GEO,2023,106.2433407,4.1.2
GEO,2024,103.7583095,4.1.2
GEO,2015,67.36835529,6.1.1
GEO,2016,67.61461817,6.1.1
GEO,2017,67.86279832,6.1.1
GEO,2018,68.11381489,6.1.1
GEO,2019,68.36719636,6.1.1
GEO,2020,68.62339333,6.1.1
GEO,2021,68.88145941,6.1.1
GEO,2022,69.14185103,6.1.1
GEO,2015,100,7.1.1
GEO,2016,100,7.1.1
GEO,2017,100,7.1.1
GEO,2018,99.9,7.1.1
GEO,2019,100,7.1.1
GEO,2020,100,7.1.1
GEO,2021,100,7.1.1
GEO,2022,100,7.1.1
GEO,2023,100,7.1.1
GEO,2015,4086.622347,8.1.1
GEO,2016,4225.091549,8.1.1
GEO,2017,4442.507441,8.1.1
GEO,2018,4713.653548,8.1.1
GEO,2019,4975.811482,8.1.1
GEO,2020,4659.609253,8.1.1
GEO,2021,5175.198652,8.1.1
GEO,2022,5736.304496,8.1.1
GEO,2023,6180.620602,8.1.1
GEO,2024,6840.009045,8.1.1
GEO,2015,65.215,8.5.1
GEO,2016,63.828,8.5.1
GEO,2017,62.912,8.5.1
GEO,2018,62.123,8.5.1
GEO,2019,60.742,8.5.1
GEO,2020,61.122,8.5.1
GEO,2021,58.704,8.5.1
GEO,2022,61.106,8.5.1
GEO,2023,61.248,8.5.1
GEO,2024,61.287,8.5.1
ECS,2015,99.16791752,7.1.1
ECS,2016,99.82900478,7.1.1
ECS,2017,99.96413289,7.1.1
