iso3c,year,value,indicator_sdg
GIN,2015,17,1.1.1
GIN,2016,14.7,1.1.1
GIN,2017,12.8,1.1.1
GIN,2018,12,1.1.1
GIN,2019,11.2,1.1.1
GIN,2020,10.6,1.1.1
GIN,2021,10.1,1.1.1
GIN,2022,9.7,1.1.1
GIN,2023,9.3,1.1.1
GIN,2024,8.8,1.1.1
GIN,2025,7.6,1.1.1
GIN,2018,5.7,10.1.1
GIN,2016,47.33878,11.0.0
GIN,2018,48.17296,11.0.0
GIN,2020,49.00714,11.0.0
GIN,2022,43.95734,11.0.0
GIN,2015,1.677834839,13.2.2
GIN,2016,1.736076196,13.2.2
GIN,2017,1.751243111,13.2.2
GIN,2018,1.811153823,13.2.2
GIN,2019,1.911158412,13.2.2
GIN,2020,1.966258333,13.2.2
GIN,2021,1.977540884,13.2.2
GIN,2022,2.037454349,13.2.2
GIN,2023,1.98640544,13.2.2
GIN,2024,1.990940566,13.2.2
GIN,2024,0.00102444971,16.0.0
GIN,2016,42.69875,17.18.1
GIN,2017,44.6575,17.18.1
GIN,2018,42.80125,17.18.1
GIN,2019,51.03875,17.18.1
GIN,2020,50.95083333,17.18.1
GIN,2021,60.51916667,17.18.1
GIN,2022,59.13791667,17.18.1
GIN,2023,51.3225,17.18.1
GIN,2024,49.91333333,17.18.1
GIN,2015,9.199999809,17.8.1
GIN,2016,13.10000038,17.8.1
GIN,2017,18.70000076,17.8.1
GIN,2018,21.83002304,17.8.1
GIN,2019,23.89049911,17.8.1
GIN,2020,26.14550018,17.8.1
GIN,2021,28.61330032,17.8.1
GIN,2022,31.31399918,17.8.1
GIN,2023,32.31560135,17.8.1
GIN,2024,33.30469894,17.8.1
GIN,2015,7.238789082,4.1.2
GIN,2016,7.248808861,4.1.2
GIN,2017,7.290808678,4.1.2
GIN,2018,7.365808487,4.1.2
GIN,2019,7.470808506,4.1.2
GIN,2020,7.650683403,4.1.2
GIN,2021,7.791683674,4.1.2
GIN,2022,7.93868351,4.1.2
GIN,2023,8.085683823,4.1.2
GIN,2024,8.085683823,4.1.2
GIN,2025,8.085683823,4.1.2
GIN,2015,0.7580750315,42.0.0
GIN,2016,0.7615466001,42.0.0
GIN,2017,0.7025449041,42.0.0
GIN,2018,0.6559887736,42.0.0
GIN,2019,0.6577642764,42.0.0
GIN,2020,0.6570454348,42.0.0
GIN,2021,0.6066998041,42.0.0
GIN,2022,0.6172928718,42.0.0
GIN,2023,0.6008801664,42.0.0
GIN,2024,0.5821776545,42.0.0
GIN,2015,57.899,43.0.0
GIN,2016,58.49,43.0.0
GIN,2017,58.715,43.0.0
GIN,2018,59.043,43.0.0
GIN,2019,59.379,43.0.0
GIN,2020,59.35,43.0.0
GIN,2021,59.373,43.0.0
GIN,2022,60.432,43.0.0
GIN,2023,60.74,43.0.0
GIN,2024,60.904,43.0.0
GIN,2015,48.4,45.0.0
GIN,2016,48.7,45.0.0
GIN,2017,49.1,45.0.0
GIN,2018,50.7,45.0.0
GIN,2019,48.8,45.0.0
GIN,2020,46.3,45.0.0
GIN,2021,37.4,45.0.0
GIN,2022,37.1,45.0.0
GIN,2023,51.4,45.0.0
GIN,2015,0.09371916713,47.0.0
GIN,2016,0.1295118127,47.0.0
GIN,2017,0.1385796266,47.0.0
