iso3c,year,value,indicator_sdg
GUM,2015,0.0867165944,13.2.2
GUM,2016,0.08768030786,13.2.2
GUM,2017,0.08869043978,13.2.2
GUM,2018,0.09097670873,13.2.2
GUM,2019,0.09270246218,13.2.2
GUM,2020,0.09311905672,13.2.2
GUM,2021,0.09222500458,13.2.2
GUM,2022,0.09202082577,13.2.2
GUM,2023,0.09248915955,13.2.2
GUM,2015,0.12083,14.1.1
GUM,2016,0.02008,14.1.1
GUM,2017,0.01504,14.1.1
GUM,2018,0.02209,14.1.1
GUM,2019,0.41278,14.1.1
GUM,2020,0.01504,14.1.1
GUM,2021,0.01921,14.1.1
GUM,2022,0.01732,14.1.1
GUM,2015,21.9,15.1.2
GUM,2016,22.5,15.1.2
GUM,2017,22.5,15.1.2
GUM,2018,22.5,15.1.2
GUM,2019,22.5,15.1.2
GUM,2020,2.7,15.1.2
GUM,2021,4.5,15.1.2
GUM,2022,4.5,15.1.2
GUM,2023,4.5,15.1.2
GUM,2024,4.2,15.1.2
GUM,2015,73.14,17.8.1
GUM,2016,77.01,17.8.1
GUM,2017,80.5055,17.8.1
GUM,2015,99.05979173,6.1.1
GUM,2016,99.05979173,6.1.1
GUM,2017,99.05979173,6.1.1
GUM,2018,99.05979173,6.1.1
GUM,2019,99.05979173,6.1.1
GUM,2020,99.05979173,6.1.1
GUM,2021,99.05979173,6.1.1
GUM,2022,99.05979173,6.1.1
GUM,2015,100,7.1.1
GUM,2016,100,7.1.1
GUM,2017,100,7.1.1
GUM,2018,100,7.1.1
GUM,2019,100,7.1.1
GUM,2020,100,7.1.1
GUM,2021,100,7.1.1
GUM,2022,100,7.1.1
GUM,2023,100,7.1.1
GUM,2015,35165.70146,8.1.1
GUM,2016,35373.84831,8.1.1
GUM,2017,35850.90255,8.1.1
GUM,2018,35731.22037,8.1.1
GUM,2019,36830.12644,8.1.1
GUM,2020,32884.88526,8.1.1
GUM,2021,33239.48463,8.1.1
GUM,2022,34627.98628,8.1.1
GUM,2015,62.518,8.5.1
GUM,2016,62.86,8.5.1
GUM,2017,63.242,8.5.1
GUM,2018,63.596,8.5.1
GUM,2019,64.06,8.5.1
GUM,2020,62.704,8.5.1
GUM,2021,63.626,8.5.1
GUM,2022,65.306,8.5.1
GUM,2023,65.736,8.5.1
GUM,2024,66.159,8.5.1
EAS,2015,96.95005996,7.1.1
EAS,2016,97.03439658,7.1.1
EAS,2017,97.69153593,7.1.1
EAS,2018,97.66096407,7.1.1
EAS,2019,97.87525581,7.1.1
EAS,2020,97.79762097,7.1.1
EAS,2021,98.15342591,7.1.1
EAS,2022,98.21392948,7.1.1
EAS,2023,98.40448808,7.1.1
EAS,2015,8.107571004,13.2.2
EAS,2016,8.076957237,13.2.2
EAS,2017,8.194514964,13.2.2
EAS,2018,8.446727786,13.2.2
EAS,2019,8.575187098,13.2.2
EAS,2020,8.545101895,13.2.2
EAS,2021,8.835882155,13.2.2
EAS,2022,8.795777577,13.2.2
EAS,2023,9.139019205,13.2.2
EAS,2015,15.48385384,15.1.2
EAS,2016,16.37896765,15.1.2
EAS,2017,17.12075175,15.1.2
