iso3c,year,value,indicator_sdg
HND,2015,19.9,1.1.1
HND,2016,19.8,1.1.1
HND,2017,19.3,1.1.1
HND,2018,19.8,1.1.1
HND,2019,18.779,1.1.1
HND,2020,21.9,1.1.1
HND,2021,18.6,1.1.1
HND,2022,18,1.1.1
HND,2023,17.0213,1.1.1
HND,2024,15.7174,1.1.1
HND,2025,15.2508,1.1.1
HND,2015,6.5,10.1.1
HND,2016,6.9,10.1.1
HND,2017,6.6,10.1.1
HND,2018,6.6,10.1.1
HND,2019,6.4,10.1.1
HND,2023,6.6,10.1.1
HND,2024,6.2,10.1.1
HND,2016,31.5,11.0.0
HND,2018,31.5,11.0.0
HND,2015,2.294760214,13.2.2
HND,2016,2.152548027,13.2.2
HND,2017,2.061255487,13.2.2
HND,2018,2.010494398,13.2.2
HND,2019,2.117787332,13.2.2
HND,2020,2.016455131,13.2.2
HND,2021,2.112658878,13.2.2
HND,2022,2.121948739,13.2.2
HND,2023,2.234150577,13.2.2
HND,2024,2.252703589,13.2.2
HND,2024,0.6107723713,16.0.0
HND,2016,59.21125,17.18.1
HND,2017,61.21291667,17.18.1
HND,2018,61.41,17.18.1
HND,2019,61.17625,17.18.1
HND,2020,58.04458333,17.18.1
HND,2021,60.7825,17.18.1
HND,2022,60.44333333,17.18.1
HND,2023,65.50083333,17.18.1
HND,2024,65.6825,17.18.1
HND,2015,27.13954548,17.8.1
HND,2016,29.52821808,17.8.1
HND,2017,31.73579247,17.8.1
HND,2018,36.04006082,17.8.1
HND,2019,39.38835219,17.8.1
HND,2020,45.24829865,17.8.1
HND,2021,51.95159912,17.8.1
HND,2022,56.88069916,17.8.1
HND,2023,58.0685997,17.8.1
HND,2024,58.62269974,17.8.1
HND,2015,8.831918716,4.1.2
HND,2016,8.725656509,4.1.2
HND,2017,8.589556694,4.1.2
HND,2018,8.433556557,4.1.2
HND,2019,8.362354279,4.1.2
HND,2020,8.280572891,4.1.2
HND,2021,8.183259964,4.1.2
HND,2022,8.076113701,4.1.2
HND,2023,8.031777382,4.1.2
HND,2024,8.007209778,4.1.2
HND,2025,8.007209778,4.1.2
HND,2015,0.4004309189,42.0.0
HND,2016,0.3800483347,42.0.0
HND,2017,0.3693325983,42.0.0
HND,2018,0.3573041457,42.0.0
HND,2019,0.3692578134,42.0.0
HND,2020,0.3879864282,42.0.0
HND,2021,0.3619106475,42.0.0
HND,2022,0.3565375691,42.0.0
HND,2023,0.3602053325,42.0.0
HND,2024,0.3520508726,42.0.0
HND,2015,71.323,43.0.0
HND,2016,71.615,43.0.0
HND,2017,71.805,43.0.0
HND,2018,72.001,43.0.0
HND,2019,72.124,43.0.0
