iso3c,year,value,indicator_sdg
HRV,2015,0.7,1.1.1
HRV,2016,0.9,1.1.1
HRV,2017,0.6,1.1.1
HRV,2018,0.5,1.1.1
HRV,2019,0.3641,1.1.1
HRV,2020,0.4439,1.1.1
HRV,2021,0.3408,1.1.1
HRV,2022,0.3977,1.1.1
HRV,2023,0.2628,1.1.1
HRV,2024,0.2561,1.1.1
HRV,2025,0.2561,1.1.1
HRV,2015,1.9,10.1.1
HRV,2016,1.7,10.1.1
HRV,2017,1.7,10.1.1
HRV,2018,1.5,10.1.1
HRV,2019,1.3,10.1.1
HRV,2020,1.3,10.1.1
HRV,2021,1.2,10.1.1
HRV,2022,1.3,10.1.1
HRV,2023,1.1,10.1.1
HRV,2016,0.25,11.0.0
HRV,2018,0.25,11.0.0
HRV,2020,0.25,11.0.0
HRV,2022,0.52712,11.0.0
HRV,2015,6.160740415,13.2.2
HRV,2016,6.35827749,13.2.2
HRV,2017,6.62838462,13.2.2
HRV,2018,6.446014127,13.2.2
HRV,2019,6.586055062,13.2.2
HRV,2020,6.498125035,13.2.2
HRV,2021,6.583687829,13.2.2
HRV,2022,6.586375651,13.2.2
HRV,2023,6.944191833,13.2.2
HRV,2024,6.942682738,13.2.2
HRV,2024,2.898346186,16.0.0
HRV,2016,66.43333333,17.18.1
HRV,2017,65.02,17.18.1
HRV,2018,70.52166667,17.18.1
HRV,2019,70.79416667,17.18.1
HRV,2020,76.01333333,17.18.1
HRV,2021,86.51791667,17.18.1
HRV,2022,84.84083333,17.18.1
HRV,2023,87.02333333,17.18.1
HRV,2024,85.05041667,17.18.1
HRV,2015,69.84503592,17.8.1
HRV,2016,72.69726967,17.8.1
HRV,2017,67.09619204,17.8.1
HRV,2018,75.29462599,17.8.1
HRV,2019,79.07978368,17.8.1
HRV,2020,78.32090004,17.8.1
HRV,2021,81.25396608,17.8.1
HRV,2022,82.07155532,17.8.1
HRV,2023,83.24117599,17.8.1
HRV,2024,83.63240029,17.8.1
HRV,2015,12.69651699,4.1.2
HRV,2016,12.70018005,4.1.2
HRV,2017,12.7181797,4.1.2
HRV,2018,12.75911617,4.1.2
HRV,2019,12.76471138,4.1.2
HRV,2020,12.7660265,4.1.2
HRV,2021,12.76751137,4.1.2
HRV,2022,12.79234886,4.1.2
HRV,2023,12.81321049,4.1.2
HRV,2024,12.81321049,4.1.2
HRV,2025,12.81321049,4.1.2
HRV,2015,0.2084677347,42.0.0
HRV,2016,0.203937895,42.0.0
HRV,2017,0.204611272,42.0.0
HRV,2018,0.1893071872,42.0.0
HRV,2019,0.1864137018,42.0.0
HRV,2020,0.1961441104,42.0.0
HRV,2021,0.1773187797,42.0.0
HRV,2022,0.1650085672,42.0.0
HRV,2023,0.1658548082,42.0.0
HRV,2024,0.1596608989,42.0.0
HRV,2015,77.633,43.0.0
HRV,2016,77.629,43.0.0
HRV,2017,77.726,43.0.0
HRV,2018,77.865,43.0.0
HRV,2019,78.197,43.0.0
HRV,2020,77.497,43.0.0
HRV,2021,77.141,43.0.0
HRV,2022,78.278,43.0.0
HRV,2023,78.58,43.0.0
HRV,2024,78.751,43.0.0
HRV,2015,89.4,45.0.0
HRV,2016,90.4,45.0.0
HRV,2017,89.2,45.0.0
HRV,2018,91.1,45.0.0
