iso3c,year,value,indicator_sdg
HTI,2015,39.3,1.1.1
HTI,2016,39,1.1.1
HTI,2017,38.5,1.1.1
HTI,2018,38.6,1.1.1
HTI,2019,40.1,1.1.1
HTI,2020,41.4,1.1.1
HTI,2021,42.191,1.1.1
HTI,2022,43.4538,1.1.1
HTI,2023,44.61,1.1.1
HTI,2024,47.0752,1.1.1
HTI,2025,48.6851,1.1.1
HTI,2015,0,12.c.1
HTI,2016,0,12.c.1
HTI,2017,0,12.c.1
HTI,2018,0.1153958207,12.c.1
HTI,2019,0.4938801294,12.c.1
HTI,2020,0.09371508912,12.c.1
HTI,2021,0.4238247719,12.c.1
HTI,2022,1.114196022,12.c.1
HTI,2023,0.4644922325,12.c.1
HTI,2024,0.2929324297,12.c.1
HTI,2015,1.269618241,13.2.2
HTI,2016,1.279909576,13.2.2
HTI,2017,1.264615557,13.2.2
HTI,2018,1.270948724,13.2.2
HTI,2019,1.242034899,13.2.2
HTI,2020,1.200754404,13.2.2
HTI,2021,1.179717662,13.2.2
HTI,2022,1.174640369,13.2.2
HTI,2023,1.17354412,13.2.2
HTI,2015,0.60333,14.1.1
HTI,2016,1.13845,14.1.1
HTI,2017,0.37378,14.1.1
HTI,2018,1.65416,14.1.1
HTI,2019,0.10652,14.1.1
HTI,2020,0.16972,14.1.1
HTI,2021,1.28396,14.1.1
HTI,2022,0.05959,14.1.1
HTI,2015,0.3,15.1.2
HTI,2016,0.3,15.1.2
HTI,2017,1.9,15.1.2
HTI,2018,1.9,15.1.2
HTI,2019,7.1,15.1.2
HTI,2020,7.1,15.1.2
HTI,2021,8.6,15.1.2
HTI,2022,8.6,15.1.2
HTI,2023,8.6,15.1.2
HTI,2024,8.6,15.1.2
HTI,2016,36.18666667,17.18.1
HTI,2017,40.665,17.18.1
HTI,2018,41.2425,17.18.1
HTI,2019,34.67958333,17.18.1
HTI,2020,38.25208333,17.18.1
HTI,2021,40.57208333,17.18.1
HTI,2022,38.55666667,17.18.1
HTI,2023,39.60541667,17.18.1
HTI,2015,14.2,17.8.1
HTI,2016,22.8,17.8.1
HTI,2017,27.2,17.8.1
HTI,2018,32.4736,17.8.1
HTI,2019,39.262,17.8.1
HTI,2015,38.3,2.1.1
HTI,2016,39.1,2.1.1
HTI,2017,40.6,2.1.1
HTI,2018,41.6,2.1.1
HTI,2019,43.6,2.1.1
HTI,2020,45.1,2.1.1
HTI,2021,48.2,2.1.1
HTI,2022,50.4,2.1.1
HTI,2015,51,3.8.1
HTI,2017,53,3.8.1
HTI,2019,53,3.8.1
HTI,2021,54,3.8.1
HTI,2015,40.8,7.1.1
HTI,2016,40.4,7.1.1
HTI,2017,43.3,7.1.1
HTI,2018,44.4,7.1.1
HTI,2019,45.4,7.1.1
HTI,2020,46.3,7.1.1
HTI,2021,47.2,7.1.1
HTI,2022,49.3,7.1.1
HTI,2023,51.3,7.1.1
HTI,2015,1411.126847,8.1.1
HTI,2016,1416.748819,8.1.1
HTI,2017,1432.672286,8.1.1
HTI,2018,1437.352519,8.1.1
HTI,2019,1394.421141,8.1.1
HTI,2020,1331.697785,8.1.1
HTI,2021,1292.71955,8.1.1
HTI,2022,1256.721436,8.1.1
HTI,2023,1219.118716,8.1.1
HTI,2024,1154.873009,8.1.1
HTI,2015,63.563,8.5.1
HTI,2016,63.72,8.5.1
HTI,2017,63.952,8.5.1
HTI,2018,64.095,8.5.1
HTI,2019,63.866,8.5.1
HTI,2020,63.286,8.5.1
HTI,2021,63.81,8.5.1
HTI,2022,62.455,8.5.1
HTI,2023,62.055,8.5.1
HTI,2024,61.937,8.5.1
LCN,2015,97.28472761,7.1.1
LCN,2016,97.47838213,7.1.1
LCN,2017,97.71059922,7.1.1
LCN,2018,97.75671521,7.1.1
LCN,2019,97.99821139,7.1.1
LCN,2020,98.14999276,7.1.1
LCN,2021,98.27562637,7.1.1
LCN,2022,98.57887137,7.1.1
LCN,2023,98.42262047,7.1.1
LCN,2015,5.585902372,13.2.2
LCN,2016,5.508839611,13.2.2
LCN,2017,5.452279939,13.2.2
LCN,2018,5.337683662,13.2.2
LCN,2019,5.313644776,13.2.2
LCN,2020,5.006724705,13.2.2
LCN,2021,5.235485433,13.2.2
LCN,2022,5.28222626,13.2.2
LCN,2023,5.322016748,13.2.2
LCN,2015,23.45329178,15.1.2
LCN,2016,23.12837941,15.1.2
LCN,2017,23.13422554,15.1.2
LCN,2018,23.42008966,15.1.2
LCN,2019,23.88542559,15.1.2
LCN,2020,24.10162031,15.1.2
LCN,2021,24.15659901,15.1.2
LCN,2022,24.18238757,15.1.2
LCN,2023,24.30851398,15.1.2
LCN,2024,24.4424062,15.1.2
LCN,2015,54.4,17.8.1
LCN,2016,57.5,17.8.1
LCN,2017,62.3,17.8.1
LCN,2018,65.3,17.8.1
LCN,2019,67.9,17.8.1
LCN,2020,73.9,17.8.1
LCN,2021,76.3,17.8.1
LCN,2022,77.4,17.8.1
LCN,2023,79.7,17.8.1
LCN,2024,82,17.8.1
LCN,2015,8758.631461,8.1.1
LCN,2016,8647.127031,8.1.1
LCN,2017,8730.57792,8.1.1
LCN,2018,8794.512767,8.1.1
LCN,2019,8782.943316,8.1.1
LCN,2020,8144.086893,8.1.1
LCN,2021,8670.661919,8.1.1
LCN,2022,8961.377374,8.1.1
LCN,2023,9100.39838,8.1.1
LCN,2024,9242.341978,8.1.1
LCN,2015,98.38294983,4.1.2
LCN,2016,97.82418823,4.1.2
LCN,2017,96.53347015,4.1.2
LCN,2018,95.63816071,4.1.2
LCN,2019,95.29489899,4.1.2
LCN,2020,95.3600235,4.1.2
LCN,2021,96.08480072,4.1.2
LCN,2022,95.60009003,4.1.2
