iso3c,year,value,indicator_sdg
IRN,2015,3.1,1.1.1
IRN,2016,3,1.1.1
IRN,2017,2.7,1.1.1
IRN,2018,3,1.1.1
IRN,2019,4.3,1.1.1
IRN,2020,4.6,1.1.1
IRN,2021,3.7,1.1.1
IRN,2022,2.8,1.1.1
IRN,2023,2.5,1.1.1
IRN,2024,2,1.1.1
IRN,2025,2.3,1.1.1
IRN,2015,3.5,10.1.1
IRN,2016,3.5,10.1.1
IRN,2017,3.4,10.1.1
IRN,2018,3.6,10.1.1
IRN,2019,3.9,10.1.1
IRN,2020,4,10.1.1
IRN,2021,3.7,10.1.1
IRN,2022,3.4,10.1.1
IRN,2023,3.3,10.1.1
IRN,2016,51.4,11.0.0
IRN,2018,50.7,11.0.0
IRN,2020,50.4,11.0.0
IRN,2022,44.7,11.0.0
IRN,2015,4.23,12.c.1
IRN,2016,2.46,12.c.1
IRN,2017,4.69,12.c.1
IRN,2018,8.57,12.c.1
IRN,2019,8.08,12.c.1
IRN,2020,4.98,12.c.1
IRN,2021,6.78,12.c.1
IRN,2022,10.48,12.c.1
IRN,2023,5.42,12.c.1
IRN,2024,4.59,12.c.1
IRN,2015,9.6,13.2.2
IRN,2016,10,13.2.2
IRN,2017,10.2,13.2.2
IRN,2018,9.9,13.2.2
IRN,2019,10.2,13.2.2
IRN,2020,10.4,13.2.2
IRN,2021,11,13.2.2
IRN,2022,11.1,13.2.2
IRN,2023,11.4,13.2.2
IRN,2024,11.5,13.2.2
IRN,2015,0.4,14.1.1
IRN,2016,0.2,14.1.1
IRN,2017,1,14.1.1
IRN,2018,0.3,14.1.1
IRN,2019,1.7,14.1.1
IRN,2020,0.3,14.1.1
IRN,2021,0.2,14.1.1
IRN,2022,0.2,14.1.1
IRN,2015,7.2,15.1.2
IRN,2016,8.6,15.1.2
IRN,2017,8.6,15.1.2
IRN,2018,8.6,15.1.2
IRN,2019,8.6,15.1.2
IRN,2020,8.6,15.1.2
IRN,2021,8.6,15.1.2
IRN,2022,8.6,15.1.2
IRN,2023,8.6,15.1.2
IRN,2024,8.6,15.1.2
IRN,2016,49.7,17.18.1
IRN,2017,49.1,17.18.1
IRN,2018,57.3,17.18.1
IRN,2019,57.4,17.18.1
IRN,2020,52.2,17.18.1
IRN,2021,57.7,17.18.1
IRN,2022,58.2,17.18.1
IRN,2023,63,17.18.1
IRN,2024,63.5,17.18.1
IRN,2015,45.3,17.8.1
IRN,2016,53.2,17.8.1
IRN,2017,64,17.8.1
IRN,2018,70.2,17.8.1
IRN,2019,72.5,17.8.1
IRN,2020,75.6,17.8.1
IRN,2021,78.6,17.8.1
IRN,2022,79.1,17.8.1
IRN,2023,79.6,17.8.1
IRN,2021,86.6,18.0.0
IRN,2024,92,18.0.0
IRN,2015,7.4,2.1.1
IRN,2016,7.7,2.1.1
IRN,2017,8,2.1.1
IRN,2018,8,2.1.1
IRN,2019,7.7,2.1.1
IRN,2020,6.9,2.1.1
IRN,2021,6.8,2.1.1
IRN,2022,6.7,2.1.1
IRN,2023,6.8,2.1.1
IRN,2015,22,3.1.1
IRN,2016,21,3.1.1
IRN,2017,20,3.1.1
IRN,2018,19,3.1.1
IRN,2019,18,3.1.1
IRN,2020,34,3.1.1
IRN,2021,51,3.1.1
IRN,2022,21,3.1.1
IRN,2023,16,3.1.1
IRN,2015,15.5,3.2.1
IRN,2016,15,3.2.1
IRN,2017,14.5,3.2.1
IRN,2018,13.9,3.2.1
IRN,2019,13.5,3.2.1
IRN,2020,13,3.2.1
IRN,2021,12.6,3.2.1
IRN,2022,12.2,3.2.1
IRN,2023,11.8,3.2.1
IRN,2015,10,3.2.2
IRN,2016,9.6,3.2.2
IRN,2017,9.2,3.2.2
IRN,2018,8.9,3.2.2
IRN,2019,8.5,3.2.2
IRN,2020,8.2,3.2.2
IRN,2021,7.9,3.2.2
IRN,2022,7.7,3.2.2
IRN,2023,7.4,3.2.2
IRN,2015,11.3,4.1.2
IRN,2016,11.2,4.1.2
IRN,2017,11.2,4.1.2
IRN,2018,11.3,4.1.2
IRN,2019,11.6,4.1.2
IRN,2020,11.6,4.1.2
IRN,2021,11.9,4.1.2
IRN,2022,11.9,4.1.2
IRN,2023,12,4.1.2
IRN,2024,12,4.1.2
IRN,2025,12,4.1.2
IRN,2015,75.91,43.0.0
IRN,2016,76.16,43.0.0
IRN,2017,76.4,43.0.0
IRN,2018,76.62,43.0.0
IRN,2019,76.86,43.0.0
IRN,2020,74.14,43.0.0
IRN,2021,73.75,43.0.0
IRN,2022,76.8,43.0.0
IRN,2023,77.65,43.0.0
IRN,2015,35.6,45.0.0
IRN,2016,37.1,45.0.0
IRN,2017,35.4,45.0.0
IRN,2018,36.4,45.0.0
IRN,2019,35.4,45.0.0
IRN,2020,34.7,45.0.0
IRN,2021,33.8,45.0.0
IRN,2022,33.1,45.0.0
IRN,2023,33,45.0.0
IRN,2015,93.2,6.1.1
IRN,2016,93.3,6.1.1
IRN,2017,93.5,6.1.1
IRN,2018,93.6,6.1.1
IRN,2019,93.8,6.1.1
IRN,2020,93.9,6.1.1
IRN,2021,94,6.1.1
IRN,2022,94.2,6.1.1
IRN,2023,94.3,6.1.1
IRN,2024,94.4,6.1.1
IRN,2015,100,7.1.1
IRN,2016,100,7.1.1
IRN,2017,99.9,7.1.1
IRN,2018,100,7.1.1
IRN,2019,100,7.1.1
IRN,2020,100,7.1.1
IRN,2021,100,7.1.1
IRN,2022,100,7.1.1
IRN,2023,100,7.1.1
IRN,2015,4953,8.1.1
IRN,2016,5313,8.1.1
IRN,2017,5395,8.1.1
IRN,2018,5127,8.1.1
IRN,2019,4952,8.1.1
IRN,2020,5133,8.1.1
IRN,2021,5301,8.1.1
IRN,2022,5465,8.1.1
IRN,2023,5688,8.1.1
IRN,2024,5834,8.1.1
IRN,2015,15.5,8.5.1
IRN,2016,17.5,8.5.1
IRN,2017,18.8,8.5.1
IRN,2018,18.9,8.5.1
IRN,2019,18.3,8.5.1
IRN,2020,15,8.5.1
IRN,2021,14.4,8.5.1
IRN,2022,14.9,8.5.1
IRN,2023,15.7,8.5.1
IRN,2024,15.7,8.5.1
MEA,2015,93.4,7.1.1
MEA,2016,95.2,7.1.1
MEA,2017,96,7.1.1
MEA,2018,95,7.1.1
MEA,2019,96,7.1.1
MEA,2020,96.3,7.1.1
MEA,2021,96.4,7.1.1
MEA,2022,95.9,7.1.1
MEA,2023,96.4,7.1.1
MEA,2015,5.8,13.2.2
MEA,2016,5.9,13.2.2
MEA,2017,5.9,13.2.2
MEA,2018,5.8,13.2.2
MEA,2019,5.8,13.2.2
MEA,2020,5.7,13.2.2
MEA,2021,5.8,13.2.2
MEA,2022,5.9,13.2.2
MEA,2023,5.9,13.2.2
MEA,2024,5.9,13.2.2
MEA,2016,34.6,11.0.0
MEA,2018,34.2,11.0.0
MEA,2020,34,11.0.0
MEA,2022,31.9,11.0.0
MEA,2017,6.8,15.1.2
MEA,2018,6.8,15.1.2
MEA,2019,6.8,15.1.2
MEA,2020,5.5,15.1.2
MEA,2021,5.5,15.1.2
MEA,2022,5.5,15.1.2
MEA,2023,7.2,15.1.2
MEA,2015,10.7,15.1.2
MEA,2024,8.6,15.1.2
MEA,2016,6.6,15.1.2
MEA,2017,39.7,17.8.1
MEA,2018,42.3,17.8.1
MEA,2019,46,17.8.1
MEA,2020,50.6,17.8.1
MEA,2021,54.2,17.8.1
MEA,2022,57.8,17.8.1
MEA,2023,59.5,17.8.1
MEA,2015,31.8,17.8.1
MEA,2024,61.5,17.8.1
MEA,2016,35,17.8.1
MEA,2017,5280,8.1.1
MEA,2018,5322,8.1.1
MEA,2019,5317,8.1.1
MEA,2020,5033,8.1.1
MEA,2021,5210,8.1.1
MEA,2022,5441,8.1.1
MEA,2023,5456,8.1.1
MEA,2015,5126,8.1.1
MEA,2024,5466,8.1.1
MEA,2016,5259,8.1.1
MEA,2015,24.3,3.2.1
MEA,2016,23.3,3.2.1
MEA,2017,22.8,3.2.1
MEA,2018,22.5,3.2.1
MEA,2019,21.9,3.2.1
