iso3c,year,value,indicator_sdg
ISL,2015,0,1.1.1
ISL,2016,0,1.1.1
ISL,2017,0,1.1.1
ISL,2018,0.3,1.1.1
ISL,2019,0.1,1.1.1
ISL,2020,0.1,1.1.1
ISL,2021,0.1,1.1.1
ISL,2022,0.1,1.1.1
ISL,2023,0.1,1.1.1
ISL,2024,0.1,1.1.1
ISL,2025,0.1,1.1.1
ISL,2015,0.6,10.1.1
ISL,2016,0.5,10.1.1
ISL,2017,0.5,10.1.1
ISL,2018,0.7,10.1.1
ISL,2019,0.6,10.1.1
ISL,2016,0,11.0.0
ISL,2018,0,11.0.0
ISL,2020,0,11.0.0
ISL,2022,0,11.0.0
ISL,2015,14.62569714,13.2.2
ISL,2016,12.99103563,13.2.2
ISL,2017,13.12725684,13.2.2
ISL,2018,12.68849884,13.2.2
ISL,2019,12.0270244,13.2.2
ISL,2020,11.53677179,13.2.2
ISL,2021,11.43670139,13.2.2
ISL,2022,11.26090633,13.2.2
ISL,2023,11.00987131,13.2.2
ISL,2024,11.07977625,13.2.2
ISL,2024,3.908243179,16.0.0
ISL,2016,69.47166667,17.18.1
ISL,2017,71.72958333,17.18.1
ISL,2018,78.29458333,17.18.1
ISL,2019,78.35333333,17.18.1
ISL,2020,79.94166667,17.18.1
ISL,2021,83.41958333,17.18.1
ISL,2022,86.08666667,17.18.1
ISL,2023,81.7425,17.18.1
ISL,2024,81.47041667,17.18.1
ISL,2015,98.19999695,17.8.1
ISL,2016,98.23999786,17.8.1
ISL,2017,98.25520119,17.8.1
ISL,2018,99.01095399,17.8.1
ISL,2019,99.50494117,17.8.1
ISL,2020,99.5327519,17.8.1
ISL,2021,99.68701957,17.8.1
ISL,2022,97.58339691,17.8.1
ISL,2023,97.94860077,17.8.1
ISL,2024,98.209198,17.8.1
ISL,2015,12.44384575,4.1.2
ISL,2016,12.43630314,4.1.2
ISL,2017,12.435606,4.1.2
ISL,2018,12.41807175,4.1.2
ISL,2019,12.39117241,4.1.2
ISL,2020,12.40201855,4.1.2
ISL,2021,12.44447994,4.1.2
ISL,2022,12.46626472,4.1.2
ISL,2023,12.48608208,4.1.2
ISL,2024,12.48608208,4.1.2
ISL,2025,12.48608208,4.1.2
