iso3c,year,value,indicator_sdg
JPN,2015,0.4,1.1.1
JPN,2016,0.7,1.1.1
JPN,2017,0.6,1.1.1
JPN,2018,1,1.1.1
JPN,2019,1.2,1.1.1
JPN,2020,1.2,1.1.1
JPN,2021,1.2,1.1.1
JPN,2022,1,1.1.1
JPN,2023,1,1.1.1
JPN,2024,1,1.1.1
JPN,2025,1,1.1.1
JPN,2015,0.9,10.1.1
JPN,2016,1,10.1.1
JPN,2017,1,10.1.1
JPN,2018,1.2,10.1.1
JPN,2019,1.3,10.1.1
JPN,2020,1.2,10.1.1
JPN,2015,0.1157847607,12.c.1
JPN,2016,0.2130764723,12.c.1
JPN,2017,0.3166911225,12.c.1
JPN,2018,0.3994630714,12.c.1
JPN,2019,0.4005681071,12.c.1
JPN,2020,0.5497191926,12.c.1
JPN,2021,0.6835911553,12.c.1
JPN,2022,0.6249466928,12.c.1
JPN,2023,0.4602048398,12.c.1
JPN,2024,0.4379823809,12.c.1
JPN,2015,10.48901377,13.2.2
JPN,2016,10.47679971,13.2.2
JPN,2017,10.37087941,13.2.2
JPN,2018,10.06627422,13.2.2
JPN,2019,9.764375005,13.2.2
JPN,2020,9.256646154,13.2.2
JPN,2021,9.402885274,13.2.2
JPN,2022,8.851755424,13.2.2
JPN,2023,8.360430513,13.2.2
JPN,2015,19.4,15.1.2
JPN,2016,29.4,15.1.2
JPN,2017,29.4,15.1.2
JPN,2018,29.4,15.1.2
JPN,2019,29.4,15.1.2
JPN,2020,29.4,15.1.2
JPN,2021,29.7,15.1.2
JPN,2022,29.7,15.1.2
JPN,2023,29.7,15.1.2
JPN,2024,29.5,15.1.2
JPN,2016,76.44833333,17.18.1
JPN,2017,78.39,17.18.1
JPN,2018,87.3625,17.18.1
JPN,2019,87.4725,17.18.1
JPN,2020,87.76,17.18.1
JPN,2021,90.70791667,17.18.1
JPN,2022,90.28875,17.18.1
JPN,2023,90.94375,17.18.1
JPN,2015,91.058,17.8.1
JPN,2016,93.1827,17.8.1
JPN,2017,91.7265,17.8.1
JPN,2018,88.7464,17.8.1
JPN,2019,92.7304,17.8.1
JPN,2020,90.2195,17.8.1
JPN,2021,82.9141,17.8.1
JPN,2022,84.9234,17.8.1
JPN,2023,86.9815,17.8.1
JPN,2015,2.7,2.1.1
JPN,2016,2.7,2.1.1
JPN,2017,2.7,2.1.1
JPN,2018,2.6,2.1.1
JPN,2019,2.8,2.1.1
JPN,2020,2.9,2.1.1
JPN,2021,3.2,2.1.1
JPN,2022,3.4,2.1.1
JPN,2015,83,3.8.1
JPN,2017,84,3.8.1
JPN,2019,83,3.8.1
JPN,2021,83,3.8.1
JPN,2015,98.37442062,6.1.1
JPN,2016,98.42175614,6.1.1
JPN,2017,98.46909942,6.1.1
JPN,2018,98.51645046,6.1.1
JPN,2019,98.56380928,6.1.1
JPN,2020,98.61117586,6.1.1
JPN,2021,98.6585502,6.1.1
JPN,2022,98.6585502,6.1.1
JPN,2015,100,7.1.1
JPN,2016,100,7.1.1
JPN,2017,100,7.1.1
JPN,2018,100,7.1.1
JPN,2019,100,7.1.1
JPN,2020,100,7.1.1
JPN,2021,100,7.1.1
JPN,2022,100,7.1.1
JPN,2023,100,7.1.1
JPN,2015,34960.63938,8.1.1
JPN,2016,35242.19938,8.1.1
JPN,2017,35861.97285,8.1.1
JPN,2018,36138.52908,8.1.1
JPN,2019,36043.7844,8.1.1
JPN,2020,34642.97187,8.1.1
JPN,2021,35741.16011,8.1.1
JPN,2022,36238.32949,8.1.1
JPN,2023,36952.51507,8.1.1
JPN,2024,37144.91427,8.1.1
JPN,2015,66.91,8.5.1
JPN,2016,68.229,8.5.1
JPN,2017,69.624,8.5.1
JPN,2018,71.385,8.5.1
JPN,2019,72.721,8.5.1
JPN,2020,72.625,8.5.1
JPN,2021,73.388,8.5.1
JPN,2022,74.506,8.5.1
JPN,2023,75.495,8.5.1
JPN,2024,76.172,8.5.1
EAS,2015,96.95005996,7.1.1
EAS,2016,97.03439658,7.1.1
EAS,2017,97.69153593,7.1.1
EAS,2018,97.66096407,7.1.1
EAS,2019,97.87525581,7.1.1
EAS,2020,97.79762097,7.1.1
EAS,2021,98.15342591,7.1.1
EAS,2022,98.21392948,7.1.1
EAS,2023,98.40448808,7.1.1
EAS,2015,8.107571004,13.2.2
EAS,2016,8.076957237,13.2.2
EAS,2017,8.194514964,13.2.2
EAS,2018,8.446727786,13.2.2
EAS,2019,8.575187098,13.2.2
EAS,2020,8.545101895,13.2.2
EAS,2021,8.835882155,13.2.2
EAS,2022,8.795777577,13.2.2
EAS,2023,9.139019205,13.2.2
EAS,2015,15.48385384,15.1.2
EAS,2016,16.37896765,15.1.2
EAS,2017,17.12075175,15.1.2
EAS,2018,16.55618303,15.1.2
EAS,2019,16.62215129,15.1.2
EAS,2020,17.09049487,15.1.2
EAS,2021,17.13394587,15.1.2
EAS,2022,17.13418351,15.1.2
EAS,2023,17.13691534,15.1.2
EAS,2024,17.61817011,15.1.2
EAS,2015,48.3,17.8.1
EAS,2016,51.6,17.8.1
EAS,2017,53.7,17.8.1
EAS,2018,58.8,17.8.1
EAS,2019,63.5,17.8.1
EAS,2020,68.5,17.8.1
EAS,2021,72.6,17.8.1
EAS,2022,75.4,17.8.1
EAS,2023,77.5,17.8.1
EAS,2024,79.6,17.8.1
EAS,2015,9657.528896,8.1.1
EAS,2016,10035.45664,8.1.1
EAS,2017,10468.11953,8.1.1
EAS,2018,10903.06173,8.1.1
EAS,2019,11285.32903,8.1.1
EAS,2020,11233.19987,8.1.1
EAS,2021,11916.65912,8.1.1
EAS,2022,12249.79521,8.1.1
EAS,2023,12737.68614,8.1.1
EAS,2024,13212.16239,8.1.1
EAS,2015,94.0542984,4.1.2
EAS,2016,95.64515686,4.1.2
EAS,2017,97.27113342,4.1.2
EAS,2018,98.1020813,4.1.2
EAS,2019,97.29077911,4.1.2
EAS,2020,95.19499207,4.1.2
EAS,2021,95.96408844,4.1.2
EAS,2022,95.3738327,4.1.2
EAS,2015,73.67976608,6.1.1
EAS,2016,74.463169,6.1.1
EAS,2017,75.23778126,6.1.1
EAS,2018,75.99495772,6.1.1
EAS,2019,76.73504093,6.1.1
EAS,2020,77.4380417,6.1.1
EAS,2021,78.09567745,6.1.1
EAS,2022,78.44703894,6.1.1
EAS,2015,71,3.8.1
EAS,2017,74,3.8.1
EAS,2019,76,3.8.1
EAS,2021,75,3.8.1
EAS,2015,3.8,10.1.1
EAS,2016,3.6,10.1.1
EAS,2017,3.4,10.1.1
EAS,2018,3.3,10.1.1
EAS,2019,3.1,10.1.1
EAS,2020,3.1,10.1.1
EAS,2021,2.9,10.1.1
EAS,2022,2.9,10.1.1
EAS,2023,2.8,10.1.1
EAS,2024,2.7,10.1.1
EAS,2015,66.48797579,8.5.1
EAS,2016,66.51768548,8.5.1
EAS,2017,66.51955313,8.5.1
EAS,2018,66.83647086,8.5.1
EAS,2019,66.9688459,8.5.1
EAS,2020,65.85654959,8.5.1
EAS,2021,66.81363728,8.5.1
EAS,2022,66.6678109,8.5.1
EAS,2023,66.96447228,8.5.1
EAS,2024,66.83139139,8.5.1
EAS,2015,4.474208896,2.1.1
EAS,2016,4.314005979,2.1.1
EAS,2017,4.144327635,2.1.1
EAS,2018,4.031284299,2.1.1
EAS,2019,3.547160773,2.1.1
EAS,2020,3.564251164,2.1.1
EAS,2021,3.644122009,2.1.1
EAS,2022,3.710979075,2.1.1
HIC,2015,99.44125601,7.1.1
HIC,2016,99.87493992,7.1.1
HIC,2017,99.95972177,7.1.1
HIC,2018,99.96265107,7.1.1
HIC,2019,99.94961001,7.1.1
HIC,2020,99.96830638,7.1.1
HIC,2021,99.9798913,7.1.1
HIC,2022,99.97980751,7.1.1
HIC,2023,99.98840502,7.1.1
HIC,2015,13.78742535,13.2.2
HIC,2016,13.62054868,13.2.2
HIC,2017,13.57834857,13.2.2
HIC,2018,13.64748386,13.2.2
HIC,2019,13.42253011,13.2.2
HIC,2020,12.50259193,13.2.2
HIC,2021,13.09439949,13.2.2
HIC,2022,12.99910032,13.2.2
HIC,2023,12.64469827,13.2.2
HIC,2015,14.47412219,15.1.2
HIC,2016,14.01981841,15.1.2
HIC,2017,14.46640597,15.1.2
HIC,2018,14.36394901,15.1.2
HIC,2019,14.67159876,15.1.2
HIC,2020,14.98200841,15.1.2
HIC,2021,15.66133343,15.1.2
HIC,2022,15.80398965,15.1.2
HIC,2023,16.07725223,15.1.2
HIC,2024,16.61128007,15.1.2
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.4,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.5,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91.1,17.8.1
HIC,2023,92.3,17.8.1
HIC,2024,93.4,17.8.1
HIC,2015,36571.1929,8.1.1
HIC,2016,37014.99954,8.1.1
HIC,2017,37764.20302,8.1.1
HIC,2018,38525.15605,8.1.1
HIC,2019,39130.30153,8.1.1
HIC,2020,37514.0231,8.1.1
HIC,2021,39753.19225,8.1.1
HIC,2022,40751.20025,8.1.1
HIC,2023,41191.9725,8.1.1
HIC,2024,41716.07546,8.1.1
HIC,2015,98.07222748,4.1.2
HIC,2016,97.61107635,4.1.2
HIC,2017,98.04515076,4.1.2
HIC,2018,98.08737183,4.1.2
HIC,2019,98.25087738,4.1.2
HIC,2020,98.36949921,4.1.2
HIC,2021,98.65374756,4.1.2
HIC,2022,97.62670135,4.1.2
HIC,2023,97.93164063,4.1.2
HIC,2024,97.84256744,4.1.2
HIC,2015,95.20316863,6.1.1
HIC,2016,95.28829282,6.1.1
HIC,2017,95.36591047,6.1.1
HIC,2018,95.43824795,6.1.1
HIC,2019,95.51055744,6.1.1
HIC,2020,95.58504001,6.1.1
HIC,2021,94.20167625,6.1.1
HIC,2022,94.3030606,6.1.1
HIC,2015,84,3.8.1
HIC,2017,84,3.8.1
HIC,2019,85,3.8.1
HIC,2021,85,3.8.1
HIC,2015,1.2,10.1.1
HIC,2016,1.2,10.1.1
HIC,2017,1.2,10.1.1
HIC,2018,1.1,10.1.1
HIC,2019,1.1,10.1.1
HIC,2020,0.9,10.1.1
HIC,2021,0.9,10.1.1
HIC,2022,1,10.1.1
HIC,2023,1,10.1.1
HIC,2024,1,10.1.1
HIC,2015,65.3938914,8.5.1
HIC,2016,65.88231542,8.5.1
HIC,2017,66.37086064,8.5.1
HIC,2018,66.90935041,8.5.1
HIC,2019,67.44136981,8.5.1
HIC,2020,66.89000365,8.5.1
HIC,2021,67.78817345,8.5.1
HIC,2022,68.67502354,8.5.1
HIC,2023,69.31890407,8.5.1
HIC,2024,69.48522939,8.5.1
HIC,2015,2.669006331,2.1.1
HIC,2016,2.663421884,2.1.1
HIC,2017,2.650245199,2.1.1
HIC,2018,2.623317757,2.1.1
HIC,2019,2.630458585,2.1.1
HIC,2020,2.631053945,2.1.1
HIC,2021,2.651313419,2.1.1
HIC,2022,2.655193269,2.1.1
