iso3c,year,value,indicator_sdg
KNA,2015,3,13.2.2
KNA,2016,3.2,13.2.2
KNA,2017,3,13.2.2
KNA,2018,3.2,13.2.2
KNA,2019,3.6,13.2.2
KNA,2020,3.4,13.2.2
KNA,2021,3.5,13.2.2
KNA,2022,3.9,13.2.2
KNA,2023,3.8,13.2.2
KNA,2024,4,13.2.2
KNA,2015,1.5,14.1.1
KNA,2016,0.4,14.1.1
KNA,2017,1.4,14.1.1
KNA,2018,0.2,14.1.1
KNA,2019,0.2,14.1.1
KNA,2020,1.1,14.1.1
KNA,2021,0.7,14.1.1
KNA,2022,0.2,14.1.1
KNA,2015,3.3,15.1.2
KNA,2016,3.3,15.1.2
KNA,2017,3.3,15.1.2
KNA,2018,3.3,15.1.2
KNA,2019,22.9,15.1.2
KNA,2020,22.9,15.1.2
KNA,2021,22.9,15.1.2
KNA,2022,22.9,15.1.2
KNA,2023,22.9,15.1.2
KNA,2024,16.9,15.1.2
KNA,2024,0.1,16.0.0
KNA,2020,35.6,17.18.1
KNA,2021,44.9,17.18.1
KNA,2022,44.8,17.18.1
KNA,2023,38.2,17.18.1
KNA,2024,42.7,17.18.1
KNA,2015,66.2,17.8.1
KNA,2016,67,17.8.1
KNA,2017,67.8,17.8.1
KNA,2018,68.6,17.8.1
KNA,2019,69.4,17.8.1
KNA,2020,70.3,17.8.1
KNA,2021,74.4,17.8.1
KNA,2022,75.6,17.8.1
KNA,2023,76.4,17.8.1
KNA,2015,76,3.1.1
KNA,2016,75,3.1.1
KNA,2017,74,3.1.1
KNA,2018,78,3.1.1
KNA,2019,74,3.1.1
KNA,2020,80,3.1.1
KNA,2021,111,3.1.1
KNA,2022,99,3.1.1
KNA,2023,74,3.1.1
KNA,2015,19.4,3.2.1
KNA,2016,19.3,3.2.1
KNA,2017,19,3.2.1
KNA,2018,18.6,3.2.1
KNA,2019,18.2,3.2.1
KNA,2020,17.7,3.2.1
KNA,2021,17.2,3.2.1
KNA,2022,16.8,3.2.1
KNA,2023,16.3,3.2.1
KNA,2015,12.2,3.2.2
KNA,2016,12.2,3.2.2
KNA,2017,12,3.2.2
KNA,2018,11.8,3.2.2
KNA,2019,11.5,3.2.2
KNA,2020,11.2,3.2.2
KNA,2021,10.9,3.2.2
KNA,2022,10.6,3.2.2
KNA,2023,10.3,3.2.2
KNA,2015,12.7,4.1.2
KNA,2016,12.8,4.1.2
KNA,2017,12.9,4.1.2
KNA,2018,12.9,4.1.2
KNA,2019,12.9,4.1.2
KNA,2020,12.9,4.1.2
KNA,2021,12.9,4.1.2
KNA,2022,12.9,4.1.2
KNA,2023,13,4.1.2
KNA,2024,13,4.1.2
KNA,2025,13,4.1.2
KNA,2015,71.21,43.0.0
KNA,2016,71.23,43.0.0
KNA,2017,71.28,43.0.0
KNA,2018,71.34,43.0.0
KNA,2019,71.54,43.0.0
KNA,2020,71.18,43.0.0
KNA,2021,69.27,43.0.0
KNA,2022,70.31,43.0.0
KNA,2023,72.14,43.0.0
KNA,2015,100,7.1.1
KNA,2016,100,7.1.1
KNA,2017,100,7.1.1
KNA,2018,100,7.1.1
KNA,2019,100,7.1.1
KNA,2020,100,7.1.1
KNA,2021,100,7.1.1
KNA,2022,100,7.1.1
KNA,2023,100,7.1.1
KNA,2015,20329,8.1.1
KNA,2016,21134,8.1.1
KNA,2017,21192,8.1.1
KNA,2018,21635,8.1.1
KNA,2019,22298,8.1.1
KNA,2020,18919,8.1.1
KNA,2021,19032,8.1.1
KNA,2022,21051,8.1.1
KNA,2023,21664,8.1.1
KNA,2024,21692,8.1.1
LCN,2015,97.3,7.1.1
LCN,2016,97.5,7.1.1
