iso3c,year,value,indicator_sdg
LAO,2015,18.4,1.1.1
LAO,2016,17.4,1.1.1
LAO,2017,16.5,1.1.1
LAO,2018,15.9,1.1.1
LAO,2019,13.9,1.1.1
LAO,2020,13.3,1.1.1
LAO,2021,11.9,1.1.1
LAO,2022,10.4,1.1.1
LAO,2023,8.4,1.1.1
LAO,2024,7.1269,1.1.1
LAO,2025,6.0036,1.1.1
LAO,2018,6,10.1.1
LAO,2024,5.1,10.1.1
LAO,2016,27,11.0.0
LAO,2018,23.6,11.0.0
LAO,2020,21.8,11.0.0
LAO,2022,54.83946,11.0.0
LAO,2015,3.142578009,13.2.2
LAO,2016,4.204260015,13.2.2
LAO,2017,4.618256072,13.2.2
LAO,2018,4.645733858,13.2.2
LAO,2019,4.554539631,13.2.2
LAO,2020,4.562941458,13.2.2
LAO,2021,5.078869542,13.2.2
LAO,2022,5.093102837,13.2.2
LAO,2023,5.371590033,13.2.2
LAO,2024,5.347563437,13.2.2
LAO,2024,0.1549790055,16.0.0
LAO,2016,41.50875,17.18.1
LAO,2017,45.50708333,17.18.1
LAO,2018,48.38541667,17.18.1
LAO,2019,53.28875,17.18.1
LAO,2020,56.68,17.18.1
LAO,2021,60.34041667,17.18.1
LAO,2022,58.66291667,17.18.1
LAO,2023,60.89041667,17.18.1
LAO,2024,60.84125,17.18.1
LAO,2015,18.20000076,17.8.1
LAO,2016,21.87000084,17.8.1
LAO,2017,25.51040077,17.8.1
LAO,2018,36.27130127,17.8.1
LAO,2019,47.03229904,17.8.1
LAO,2020,54,17.8.1
LAO,2021,62,17.8.1
LAO,2022,64.54000092,17.8.1
LAO,2023,64.39800262,17.8.1
LAO,2024,65.59269714,17.8.1
LAO,2015,9.928565025,4.1.2
LAO,2016,10.08224773,4.1.2
LAO,2017,10.18482876,4.1.2
LAO,2018,10.24081516,4.1.2
LAO,2019,10.19174576,4.1.2
LAO,2020,10.16171265,4.1.2
LAO,2021,10.12380695,4.1.2
LAO,2022,10.05354786,4.1.2
LAO,2023,10.06387711,4.1.2
LAO,2024,10.06655025,4.1.2
LAO,2025,10.06655025,4.1.2
LAO,2015,0.473720902,42.0.0
LAO,2016,0.6065743636,42.0.0
LAO,2017,0.6249749066,42.0.0
LAO,2018,0.6044622551,42.0.0
LAO,2019,0.5629137256,42.0.0
LAO,2020,0.5754180453,42.0.0
LAO,2021,0.5911161195,42.0.0
LAO,2022,0.585233971,42.0.0
LAO,2023,0.5859206097,42.0.0
LAO,2024,0.5671702829,42.0.0
LAO,2015,66.688,43.0.0
LAO,2016,67.014,43.0.0
LAO,2017,67.345,43.0.0
LAO,2018,67.594,43.0.0
LAO,2019,67.911,43.0.0
LAO,2020,68.339,43.0.0
LAO,2021,67.807,43.0.0
LAO,2022,68.715,43.0.0
LAO,2023,68.964,43.0.0
LAO,2024,69.225,43.0.0
LAO,2015,46.8,45.0.0
LAO,2016,47.8,45.0.0
LAO,2017,49.3,45.0.0
LAO,2018,49.3,45.0.0
LAO,2019,49.4,45.0.0
LAO,2020,49.6,45.0.0
LAO,2021,49.2,45.0.0
LAO,2022,50.9,45.0.0
LAO,2023,49.6,45.0.0
LAO,2015,1.02797191,47.0.0
LAO,2016,0.8979053098,47.0.0
LAO,2017,1.257596913,47.0.0
LAO,2018,1.381444702,47.0.0
LAO,2019,1.384117687,47.0.0
LAO,2020,1.546760901,47.0.0
LAO,2021,1.689909051,47.0.0
LAO,2022,1.777836824,47.0.0
LAO,2023,1.744032904,47.0.0
LAO,2015,58.83965785,61.1.0
LAO,2016,63.12224364,61.1.0
LAO,2017,67.52407044,61.1.0
LAO,2018,72.04256051,61.1.0
LAO,2019,76.67539474,61.1.0
LAO,2020,80.9796096,61.1.0
LAO,2021,84.84757155,61.1.0
LAO,2022,88.76874008,61.1.0
LAO,2023,92.62571643,61.1.0
LAO,2024,95.8635795,61.1.0
LAO,2015,12.04282214,61.2.0
LAO,2016,14.26878754,61.2.0
LAO,2017,16.58808982,61.2.0
LAO,2018,19.00059397,61.2.0
LAO,2019,21.50634376,61.2.0
LAO,2020,24.10504646,61.2.0
LAO,2021,26.79655706,61.2.0
LAO,2022,29.58071798,61.2.0
LAO,2023,32.40306787,61.2.0
LAO,2024,35.18772308,61.2.0
LAO,2015,78.24317555,61.3.0
LAO,2016,79.51419474,61.3.0
LAO,2017,80.74723129,61.3.0
LAO,2018,81.94308039,61.3.0
LAO,2019,83.10272645,61.3.0
LAO,2020,84.22679736,61.3.0
LAO,2021,85.31612936,61.3.0
LAO,2022,86.37154738,61.3.0
LAO,2023,87.28326065,61.3.0
LAO,2024,87.92846888,61.3.0
LAO,2015,89.7,7.1.1
LAO,2016,89,7.1.1
LAO,2017,93.6,7.1.1
LAO,2018,92.9,7.1.1
LAO,2019,98.4,7.1.1
LAO,2020,99.3,7.1.1
LAO,2021,100,7.1.1
LAO,2022,100,7.1.1
LAO,2023,96.5,7.1.1
LAO,2015,59.125,8.5.1
LAO,2016,58.975,8.5.1
LAO,2017,58.86,8.5.1
LAO,2018,59.873,8.5.1
LAO,2019,60.916,8.5.1
LAO,2020,61.453,8.5.1
LAO,2021,63.103,8.5.1
LAO,2022,64.243,8.5.1
LAO,2023,64.359,8.5.1
LAO,2024,64.506,8.5.1
LAO,2025,64.678,8.5.1
EAS,2015,97,7.1.1
EAS,2016,97,7.1.1
EAS,2017,97.7,7.1.1
EAS,2018,97.7,7.1.1
EAS,2019,97.9,7.1.1
EAS,2020,97.8,7.1.1
EAS,2021,98.2,7.1.1
EAS,2022,98.2,7.1.1
EAS,2023,98.4,7.1.1
EAS,2023,9,13.2.2
EAS,2024,9.1,13.2.2
EAS,2015,8,13.2.2
EAS,2016,7.9,13.2.2
EAS,2017,8.1,13.2.2
EAS,2018,8.3,13.2.2
EAS,2019,8.4,13.2.2
EAS,2020,8.4,13.2.2
EAS,2021,8.7,13.2.2
EAS,2022,8.7,13.2.2
EAS,2022,23.3,11.0.0
EAS,2015,48.3,17.8.1
EAS,2016,53.9,17.8.1
EAS,2017,57.8,17.8.1
EAS,2018,62.5,17.8.1
EAS,2019,67.1,17.8.1
EAS,2020,73.9,17.8.1
EAS,2021,78.8,17.8.1
EAS,2022,82.4,17.8.1
EAS,2023,84.9,17.8.1
EAS,2024,86.6,17.8.1
EAS,2025,88.4,17.8.1
EAS,2015,5.9,1.1.1
EAS,2016,4.9,1.1.1
EAS,2017,4,1.1.1
EAS,2018,3.1,1.1.1
EAS,2019,2.3,1.1.1
EAS,2020,2.4,1.1.1
EAS,2021,2.3,1.1.1
EAS,2022,2.1,1.1.1
EAS,2023,1.9,1.1.1
EAS,2024,1.7,1.1.1
EAS,2025,1.5,1.1.1
EAS,2015,3.8,10.1.1
EAS,2016,3.6,10.1.1
EAS,2017,3.4,10.1.1
EAS,2018,3.2,10.1.1
EAS,2019,3.1,10.1.1
EAS,2020,3.1,10.1.1
EAS,2021,2.9,10.1.1
EAS,2022,2.9,10.1.1
EAS,2023,2.8,10.1.1
EAS,2024,2.7,10.1.1
EAS,2015,66.5,8.5.1
EAS,2016,66.6,8.5.1
EAS,2017,66.6,8.5.1
EAS,2018,66.9,8.5.1
EAS,2019,67,8.5.1
EAS,2020,65.8,8.5.1
EAS,2021,66.9,8.5.1
EAS,2022,66.9,8.5.1
EAS,2023,67.4,8.5.1
EAS,2024,67.1,8.5.1
EAS,2025,67,8.5.1
LMC,2015,80.7,7.1.1
LMC,2016,82.7,7.1.1
LMC,2017,84.7,7.1.1
LMC,2018,86.9,7.1.1
LMC,2019,87.6,7.1.1
LMC,2020,88.4,7.1.1
LMC,2021,90.6,7.1.1
LMC,2022,90.6,7.1.1
LMC,2023,91.3,7.1.1
LMC,2015,2.3,13.2.2
LMC,2016,2.3,13.2.2
LMC,2017,2.4,13.2.2
LMC,2018,2.4,13.2.2
