iso3c,year,value,indicator_sdg
LSO,2015,41.2,1.1.1
LSO,2016,40.6,1.1.1
LSO,2017,41.7,1.1.1
LSO,2018,42.9,1.1.1
LSO,2019,43.6,1.1.1
LSO,2020,46.5,1.1.1
LSO,2021,46.1,1.1.1
LSO,2022,45.6,1.1.1
LSO,2023,45.4,1.1.1
LSO,2024,44.9,1.1.1
LSO,2025,44.8,1.1.1
LSO,2017,11,10.1.1
LSO,2015,0.1629355108,12.c.1
LSO,2016,0.1178610586,12.c.1
LSO,2017,0.1096772034,12.c.1
LSO,2018,0.2137425003,12.c.1
LSO,2019,0.08632211014,12.c.1
LSO,2020,0.01231102388,12.c.1
LSO,2021,0.07163082944,12.c.1
LSO,2022,0.1630569151,12.c.1
LSO,2023,0.1316120597,12.c.1
LSO,2024,0.1079212021,12.c.1
LSO,2015,1.282469777,13.2.2
LSO,2016,1.27744644,13.2.2
LSO,2017,1.35013977,13.2.2
LSO,2018,1.256821867,13.2.2
LSO,2019,1.198241155,13.2.2
LSO,2020,1.086358039,13.2.2
LSO,2021,1.117334986,13.2.2
LSO,2022,1.160355363,13.2.2
LSO,2023,1.125646341,13.2.2
LSO,2015,0.3,15.1.2
LSO,2016,0.3,15.1.2
LSO,2017,0.3,15.1.2
LSO,2018,0.3,15.1.2
LSO,2019,0.3,15.1.2
LSO,2020,0.5,15.1.2
LSO,2021,0.5,15.1.2
LSO,2022,0.5,15.1.2
LSO,2023,21.3,15.1.2
LSO,2024,23.4,15.1.2
LSO,2016,48.69875,17.18.1
LSO,2017,54.03708333,17.18.1
LSO,2018,55.36416667,17.18.1
LSO,2019,54.88541667,17.18.1
LSO,2020,51.12625,17.18.1
LSO,2021,58.62916667,17.18.1
LSO,2022,57.35166667,17.18.1
LSO,2023,58.04791667,17.18.1
LSO,2015,25,17.8.1
LSO,2016,32.4539,17.8.1
LSO,2017,39,17.8.1
LSO,2018,40.8,17.8.1
LSO,2019,42.3017,17.8.1
LSO,2020,43.6575,17.8.1
LSO,2021,45.0567,17.8.1
LSO,2022,46.5007,17.8.1
LSO,2023,47.991,17.8.1
LSO,2015,54,3.8.1
LSO,2017,56,3.8.1
LSO,2019,53,3.8.1
LSO,2021,53,3.8.1
LSO,2015,76.40066861,4.1.2
LSO,2016,78.59257432,4.1.2
LSO,2018,92.3154787,4.1.2
LSO,2019,80.36832874,4.1.2
LSO,2020,73.77256318,4.1.2
LSO,2021,78.70286457,4.1.2
LSO,2022,70.5758667,4.1.2
LSO,2023,66.957901,4.1.2
LSO,2015,22.9609405,6.1.1
LSO,2016,23.84411915,6.1.1
LSO,2017,24.73946927,6.1.1
LSO,2018,25.65078525,6.1.1
LSO,2019,26.57769304,6.1.1
LSO,2020,27.52168366,6.1.1
LSO,2021,27.86573298,6.1.1
LSO,2022,28.21748742,6.1.1
LSO,2015,31.8,7.1.1
LSO,2016,35.1,7.1.1
LSO,2017,33.7,7.1.1
LSO,2018,47,7.1.1
LSO,2019,44.6,7.1.1
LSO,2020,47.5,7.1.1
LSO,2021,50.4,7.1.1
LSO,2022,50,7.1.1
LSO,2023,57.3,7.1.1
LSO,2015,1121.198513,8.1.1
LSO,2016,1147.587488,8.1.1
LSO,2017,1097.821668,8.1.1
LSO,2018,1068.444629,8.1.1
LSO,2019,1040.99351,8.1.1
LSO,2020,944.8341187,8.1.1
LSO,2021,955.2212363,8.1.1
LSO,2022,967.519286,8.1.1
LSO,2023,974.3824828,8.1.1
LSO,2024,990.1804475,8.1.1
LSO,2015,56.707,8.5.1
LSO,2016,55.377,8.5.1
LSO,2017,54.033,8.5.1
LSO,2018,52.678,8.5.1
LSO,2019,51.319,8.5.1
LSO,2020,50.833,8.5.1
LSO,2021,50.843,8.5.1
LSO,2022,51.469,8.5.1
LSO,2023,51.45,8.5.1
LSO,2024,51.035,8.5.1
SSF,2015,39.19965002,7.1.1
SSF,2016,43.83016514,7.1.1
SSF,2017,43.76281946,7.1.1
SSF,2018,46.41667524,7.1.1
SSF,2019,47.19741682,7.1.1
SSF,2020,48.54503895,7.1.1
SSF,2021,50.65664486,7.1.1
SSF,2022,51.58737758,7.1.1
SSF,2023,53.2563309,7.1.1
SSF,2015,2.153032767,13.2.2
SSF,2016,2.126288645,13.2.2
SSF,2017,2.10048816,13.2.2
SSF,2018,2.088997514,13.2.2
SSF,2019,2.091093312,13.2.2
SSF,2020,1.97551433,13.2.2
SSF,2021,1.961411405,13.2.2
SSF,2022,1.91875717,13.2.2
SSF,2023,1.885399485,13.2.2
SSF,2015,15.86274063,15.1.2
SSF,2016,16.51015894,15.1.2
SSF,2017,16.70998828,15.1.2
SSF,2018,16.38442645,15.1.2
SSF,2019,16.08195652,15.1.2
SSF,2020,16.3505686,15.1.2
SSF,2021,16.41139692,15.1.2
SSF,2022,16.45543462,15.1.2
SSF,2023,16.81760018,15.1.2
SSF,2024,17.02247102,15.1.2
SSF,2015,15.7,17.8.1
SSF,2016,17.6,17.8.1
SSF,2017,19.8,17.8.1
SSF,2018,22,17.8.1
SSF,2019,24.8,17.8.1
SSF,2020,27.8,17.8.1
SSF,2021,30.8,17.8.1
SSF,2022,32.9,17.8.1
SSF,2023,34.8,17.8.1
SSF,2024,37.4,17.8.1
SSF,2015,1635.044226,8.1.1
SSF,2016,1612.395053,8.1.1
SSF,2017,1609.911367,8.1.1
SSF,2018,1611.273323,8.1.1
SSF,2019,1612.142572,8.1.1
SSF,2020,1539.850682,8.1.1
SSF,2021,1566.106873,8.1.1
SSF,2022,1584.930337,8.1.1
SSF,2023,1586.130676,8.1.1
SSF,2024,1600.920734,8.1.1
SSF,2015,66.25817871,4.1.2
SSF,2016,66.73626709,4.1.2
SSF,2017,67.10709381,4.1.2
SSF,2018,67.8915863,4.1.2
SSF,2019,68.28926849,4.1.2
SSF,2020,69.05654907,4.1.2
SSF,2021,69.89671326,4.1.2
SSF,2022,68.98246002,4.1.2
SSF,2023,68.76895905,4.1.2
SSF,2024,68.90901947,4.1.2
SSF,2015,27.08699793,6.1.1
SSF,2016,28.0023726,6.1.1
SSF,2017,28.91190227,6.1.1
SSF,2018,29.81409225,6.1.1
SSF,2019,30.41171471,6.1.1
SSF,2020,30.97802566,6.1.1
SSF,2021,31.54780124,6.1.1
SSF,2022,31.98521564,6.1.1
SSF,2015,41,3.8.1
SSF,2017,42,3.8.1
SSF,2019,43,3.8.1
SSF,2021,43,3.8.1
SSF,2015,12.3,10.1.1
SSF,2016,12.3,10.1.1
SSF,2017,12.2,10.1.1
SSF,2018,12.2,10.1.1
SSF,2019,12.2,10.1.1
SSF,2020,12.6,10.1.1
SSF,2021,12.6,10.1.1
SSF,2022,12.5,10.1.1
SSF,2023,12.4,10.1.1
SSF,2024,12.4,10.1.1
SSF,2015,66.21076714,8.5.1
