iso3c,year,value,indicator_sdg
MOZ,2015,74.5,1.1.1
MOZ,2016,75.5,1.1.1
MOZ,2017,76.9,1.1.1
MOZ,2018,78.2,1.1.1
MOZ,2019,81.6,1.1.1
MOZ,2020,81.7,1.1.1
MOZ,2021,81.7,1.1.1
MOZ,2022,81.4,1.1.1
MOZ,2023,80.8,1.1.1
MOZ,2024,81,1.1.1
MOZ,2025,81.1,1.1.1
MOZ,2019,25.2,10.1.1
MOZ,2022,24.4,10.1.1
MOZ,2016,62,11.0.0
MOZ,2018,58.5,11.0.0
MOZ,2020,55,11.0.0
MOZ,2022,55,11.0.0
MOZ,2015,0,12.c.1
MOZ,2016,1.17,12.c.1
MOZ,2017,0.89,12.c.1
MOZ,2018,0.89,12.c.1
MOZ,2019,0,12.c.1
MOZ,2020,0.03,12.c.1
MOZ,2021,0,12.c.1
MOZ,2022,0.02,12.c.1
MOZ,2023,0,12.c.1
MOZ,2024,0,12.c.1
MOZ,2015,0.9,13.2.2
MOZ,2016,1,13.2.2
MOZ,2017,1,13.2.2
MOZ,2018,1.1,13.2.2
MOZ,2019,1,13.2.2
MOZ,2020,0.9,13.2.2
MOZ,2021,1,13.2.2
MOZ,2022,1.1,13.2.2
MOZ,2023,1,13.2.2
MOZ,2024,1,13.2.2
MOZ,2015,0.9,14.1.1
MOZ,2016,0.4,14.1.1
MOZ,2017,0.9,14.1.1
MOZ,2018,1,14.1.1
MOZ,2019,2.6,14.1.1
MOZ,2020,4.3,14.1.1
MOZ,2021,1.2,14.1.1
MOZ,2022,0.5,14.1.1
MOZ,2015,19.3,15.1.2
MOZ,2016,21.6,15.1.2
MOZ,2017,21.6,15.1.2
MOZ,2018,21.6,15.1.2
MOZ,2019,21.6,15.1.2
MOZ,2020,29.5,15.1.2
MOZ,2021,29.5,15.1.2
MOZ,2022,29.5,15.1.2
MOZ,2023,29.5,15.1.2
MOZ,2024,29.5,15.1.2
MOZ,2024,0.2,16.0.0
MOZ,2016,52.7,17.18.1
MOZ,2017,56.4,17.18.1
MOZ,2018,56.6,17.18.1
MOZ,2019,59.2,17.18.1
MOZ,2020,55.9,17.18.1
MOZ,2021,59.1,17.18.1
MOZ,2022,63.8,17.18.1
MOZ,2023,65.4,17.18.1
MOZ,2024,66.7,17.18.1
MOZ,2015,6.5,17.8.1
MOZ,2016,7,17.8.1
MOZ,2017,7.8,17.8.1
MOZ,2018,10.9,17.8.1
MOZ,2019,12.5,17.8.1
MOZ,2020,14.3,17.8.1
MOZ,2021,16.4,17.8.1
MOZ,2022,18.8,17.8.1
MOZ,2023,19.8,17.8.1
MOZ,2017,58.2,18.0.0
MOZ,2021,58.1,18.0.0
MOZ,2024,61.2,18.0.0
MOZ,2015,39.9,2.1.1
MOZ,2016,41.6,2.1.1
MOZ,2017,38.3,2.1.1
MOZ,2018,32.5,2.1.1
MOZ,2019,28.3,2.1.1
MOZ,2020,25.8,2.1.1
MOZ,2021,22.8,2.1.1
MOZ,2022,21.8,2.1.1
MOZ,2023,21.8,2.1.1
MOZ,2015,216,3.1.1
MOZ,2016,202,3.1.1
MOZ,2017,187,3.1.1
MOZ,2018,159,3.1.1
MOZ,2019,134,3.1.1
MOZ,2020,123,3.1.1
MOZ,2021,180,3.1.1
MOZ,2022,104,3.1.1
MOZ,2023,99,3.1.1
MOZ,2015,75.1,3.2.1
MOZ,2016,72.3,3.2.1
MOZ,2017,70.9,3.2.1
MOZ,2018,69.5,3.2.1
MOZ,2019,68.3,3.2.1
MOZ,2020,67.3,3.2.1
MOZ,2021,65.8,3.2.1
MOZ,2022,64.3,3.2.1
MOZ,2023,61.7,3.2.1
MOZ,2015,26.4,3.2.2
MOZ,2016,26.4,3.2.2
MOZ,2017,26.5,3.2.2
MOZ,2018,26.5,3.2.2
MOZ,2019,26.4,3.2.2
MOZ,2020,26.3,3.2.2
MOZ,2021,26.1,3.2.2
MOZ,2022,25.8,3.2.2
MOZ,2023,25.4,3.2.2
MOZ,2015,8.9,4.1.2
MOZ,2016,9,4.1.2
MOZ,2017,9,4.1.2
