iso3c,year,value,indicator_sdg
NER,2015,62.9,1.1.1
NER,2016,62.2,1.1.1
NER,2017,61.5,1.1.1
NER,2018,59.9,1.1.1
NER,2019,58.9,1.1.1
NER,2020,60,1.1.1
NER,2021,60.4899,1.1.1
NER,2022,55.0825,1.1.1
NER,2023,54.4837,1.1.1
NER,2024,50.3881,1.1.1
NER,2025,46.5578,1.1.1
NER,2018,11.7,10.1.1
NER,2021,11.3,10.1.1
NER,2016,70.44397,11.0.0
NER,2018,70.44397,11.0.0
NER,2020,70.44397,11.0.0
NER,2022,70.44397,11.0.0
NER,2015,1.483888912,13.2.2
NER,2016,1.495662256,13.2.2
NER,2017,1.499866156,13.2.2
NER,2018,1.516707019,13.2.2
NER,2019,1.547750397,13.2.2
NER,2020,1.568231171,13.2.2
NER,2021,1.599615381,13.2.2
NER,2022,1.633957969,13.2.2
NER,2023,1.531819715,13.2.2
NER,2024,1.52210243,13.2.2
NER,2024,0.000576,16.0.0
NER,2016,53.95791667,17.18.1
NER,2017,56.92458333,17.18.1
NER,2018,56.88583333,17.18.1
NER,2019,57.35583333,17.18.1
NER,2020,60.78791667,17.18.1
NER,2021,68.38791667,17.18.1
NER,2022,68.76583333,17.18.1
NER,2023,66.90625,17.18.1
NER,2024,70.46541667,17.18.1
NER,2015,2.476200104,17.8.1
NER,2016,4.322800159,17.8.1
NER,2017,10.22431156,17.8.1
NER,2018,10.74180031,17.8.1
NER,2019,11.28549957,17.8.1
NER,2020,11.85680008,17.8.1
NER,2021,12.45689964,17.8.1
NER,2022,13.08749962,17.8.1
NER,2023,12.98079967,17.8.1
NER,2024,15.55760002,17.8.1
NER,2015,5.13795042,4.1.2
NER,2016,5.206258297,4.1.2
NER,2017,5.25669384,4.1.2
NER,2018,5.292694092,4.1.2
NER,2019,5.363905907,4.1.2
NER,2020,5.39090538,4.1.2
NER,2021,5.349119186,4.1.2
NER,2022,5.36319828,4.1.2
NER,2023,5.34827137,4.1.2
NER,2024,5.315195084,4.1.2
NER,2025,5.315195084,4.1.2
NER,2015,1.107544681,42.0.0
NER,2016,1.098978761,42.0.0
NER,2017,1.09263082,42.0.0
NER,2018,1.056352282,42.0.0
NER,2019,1.059275948,42.0.0
NER,2020,1.077755639,42.0.0
NER,2021,1.109378716,42.0.0
NER,2022,1.032806147,42.0.0
NER,2023,1.052065329,42.0.0
NER,2024,0.9948462838,42.0.0
NER,2015,58.85,43.0.0
NER,2016,59.228,43.0.0
NER,2017,59.524,43.0.0
NER,2018,59.765,43.0.0
NER,2019,60.031,43.0.0
NER,2020,59.89,43.0.0
NER,2021,59.542,43.0.0
NER,2022,60.398,43.0.0
NER,2023,61.183,43.0.0
NER,2024,61.433,43.0.0
NER,2015,74.6,45.0.0
NER,2016,75.5,45.0.0
NER,2017,77.1,45.0.0
NER,2018,77.3,45.0.0
NER,2019,76.4,45.0.0
NER,2020,74.5,45.0.0
NER,2021,74,45.0.0
NER,2022,78.5,45.0.0
NER,2023,68.7,45.0.0
NER,2015,0.06321869287,47.0.0
NER,2016,0.05573154625,47.0.0
NER,2017,0.06436521078,47.0.0
NER,2018,0.07639240711,47.0.0
NER,2019,0.0706387121,47.0.0
NER,2020,0.07096835588,47.0.0
NER,2021,0.07068341786,47.0.0
NER,2022,0.07072672683,47.0.0
NER,2023,0.06590071731,47.0.0
NER,2015,16.6,7.1.1
NER,2016,17,7.1.1
NER,2017,17.6,7.1.1
NER,2018,17.6,7.1.1
NER,2019,18.5,7.1.1
NER,2020,18.7,7.1.1
NER,2021,18.6,7.1.1
NER,2022,19.5,7.1.1
NER,2023,20.1,7.1.1
NER,2015,63.033,8.5.1
NER,2016,62.533,8.5.1
NER,2017,62.033,8.5.1
NER,2018,61.533,8.5.1
NER,2019,61.032,8.5.1
NER,2020,64.571,8.5.1
NER,2021,68.786,8.5.1
NER,2022,73.78,8.5.1
NER,2023,73.682,8.5.1
NER,2024,74.02,8.5.1
NER,2025,73.969,8.5.1
SSF,2015,39.2,7.1.1
SSF,2016,43.8,7.1.1
SSF,2017,43.8,7.1.1
SSF,2018,46.4,7.1.1
SSF,2019,47.2,7.1.1
SSF,2020,48.5,7.1.1
SSF,2021,50.7,7.1.1
SSF,2023,53.3,7.1.1
SSF,2022,51.6,7.1.1
SSF,2020,2,13.2.2
SSF,2015,2.1,13.2.2
SSF,2021,2,13.2.2
SSF,2016,2.1,13.2.2
SSF,2022,1.9,13.2.2
SSF,2017,2.1,13.2.2
SSF,2023,1.9,13.2.2
SSF,2018,2.1,13.2.2
SSF,2024,1.9,13.2.2
SSF,2019,2.1,13.2.2
SSF,2022,53.7,11.0.0
SSF,2020,51,11.0.0
SSF,2018,52.2,11.0.0
SSF,2016,53.5,11.0.0
SSF,2016,18.3,17.8.1
SSF,2017,20,17.8.1
SSF,2018,22,17.8.1
SSF,2019,24.4,17.8.1
SSF,2020,26.7,17.8.1
SSF,2021,29,17.8.1
SSF,2022,31.1,17.8.1
SSF,2023,32.3,17.8.1
SSF,2024,33.6,17.8.1
SSF,2025,35.7,17.8.1
SSF,2015,16.2,17.8.1
SSF,2015,43.5,1.1.1
SSF,2016,43.8,1.1.1
SSF,2017,43.9,1.1.1
SSF,2018,43.7,1.1.1
SSF,2019,43.7,1.1.1
SSF,2020,45.8,1.1.1
SSF,2021,46.1,1.1.1
SSF,2022,45.6,1.1.1
SSF,2023,45.6,1.1.1
SSF,2024,45.1,1.1.1
SSF,2025,44.2,1.1.1
SSF,2015,11.6,10.1.1
SSF,2016,11.6,10.1.1
SSF,2017,11.5,10.1.1
SSF,2018,11.4,10.1.1
SSF,2019,11.4,10.1.1
SSF,2020,11.9,10.1.1
SSF,2021,11.9,10.1.1
SSF,2022,11.7,10.1.1
SSF,2023,11.6,10.1.1
SSF,2024,11.5,10.1.1
SSF,2015,66.1,8.5.1
SSF,2016,65.7,8.5.1
SSF,2017,65,8.5.1
SSF,2018,64.5,8.5.1
SSF,2019,64,8.5.1
SSF,2020,62.7,8.5.1
SSF,2021,63,8.5.1
SSF,2022,63.6,8.5.1
SSF,2023,66.7,8.5.1
SSF,2024,66.8,8.5.1
SSF,2025,66.7,8.5.1
LIC,2015,33.1,7.1.1
LIC,2016,36.4,7.1.1
LIC,2017,38.2,7.1.1
LIC,2018,39.7,7.1.1
LIC,2019,40.7,7.1.1
LIC,2020,41.7,7.1.1
LIC,2021,43,7.1.1
LIC,2022,43,7.1.1
LIC,2023,45.3,7.1.1
LIC,2015,1.4,13.2.2
LIC,2016,1.4,13.2.2
LIC,2017,1.5,13.2.2
LIC,2018,1.5,13.2.2
LIC,2019,1.5,13.2.2
LIC,2020,1.5,13.2.2
LIC,2021,1.5,13.2.2
LIC,2022,1.5,13.2.2
LIC,2023,1.4,13.2.2
LIC,2024,1.4,13.2.2
LIC,2016,61.1,11.0.0
LIC,2018,60.3,11.0.0
LIC,2020,59.3,11.0.0
LIC,2022,60.3,11.0.0
LIC,2016,46.2,17.18.1
LIC,2017,46.7,17.18.1
LIC,2018,48.7,17.18.1
LIC,2019,48.2,17.18.1
LIC,2020,49.8,17.18.1
LIC,2021,55.2,17.18.1
LIC,2022,54.5,17.18.1
LIC,2023,55.1,17.18.1
LIC,2024,56,17.18.1
LIC,2018,13.8,17.8.1
LIC,2019,16.4,17.8.1
LIC,2020,17.6,17.8.1
LIC,2021,19,17.8.1
LIC,2022,21.2,17.8.1
LIC,2023,22,17.8.1
LIC,2024,22.5,17.8.1
LIC,2025,23.4,17.8.1
LIC,2015,7.9,17.8.1
LIC,2016,10,17.8.1
LIC,2017,11.4,17.8.1
LIC,2015,49.5,1.1.1
LIC,2016,50,1.1.1
LIC,2017,50.2,1.1.1
LIC,2018,50.1,1.1.1
LIC,2019,50.2,1.1.1
LIC,2020,52.1,1.1.1
LIC,2021,53,1.1.1
LIC,2022,52.3,1.1.1
LIC,2023,52.7,1.1.1
LIC,2024,52.5,1.1.1
LIC,2025,51.8,1.1.1
LIC,2020,14.6,10.1.1
LIC,2021,14.6,10.1.1
LIC,2022,14.3,10.1.1
LIC,2023,14.3,10.1.1
LIC,2015,13.6,10.1.1
LIC,2016,13.8,10.1.1
LIC,2017,13.9,10.1.1
LIC,2015,54.9,8.5.1
LIC,2016,54.4,8.5.1
LIC,2017,53.8,8.5.1
LIC,2018,53.5,8.5.1
LIC,2019,53.1,8.5.1
LIC,2020,52.5,8.5.1
LIC,2021,52.4,8.5.1
LIC,2022,52,8.5.1
LIC,2023,55.6,8.5.1
LIC,2024,55.1,8.5.1
LIC,2025,55,8.5.1
