iso3c,year,value,indicator_sdg
NIC,2015,6.1,1.1.1
NIC,2016,5.8,1.1.1
NIC,2017,5.6,1.1.1
NIC,2018,6,1.1.1
NIC,2019,6.5,1.1.1
NIC,2020,6.8,1.1.1
NIC,2021,5.9,1.1.1
NIC,2022,5.7,1.1.1
NIC,2023,5.5,1.1.1
NIC,2024,5.3,1.1.1
NIC,2025,5.1,1.1.1
NIC,2016,5.5,11.0.0
NIC,2018,5.5,11.0.0
NIC,2020,5.5,11.0.0
NIC,2015,0,12.c.1
NIC,2016,0.43,12.c.1
NIC,2017,0.44,12.c.1
NIC,2018,0.4,12.c.1
NIC,2019,0.34,12.c.1
NIC,2020,0.34,12.c.1
NIC,2021,0.34,12.c.1
NIC,2022,0.33,12.c.1
NIC,2023,0.33,12.c.1
NIC,2024,0.33,12.c.1
NIC,2015,2.9,13.2.2
NIC,2016,2.9,13.2.2
NIC,2017,2.8,13.2.2
NIC,2018,2.7,13.2.2
NIC,2019,2.8,13.2.2
NIC,2020,2.7,13.2.2
NIC,2021,2.8,13.2.2
NIC,2022,2.8,13.2.2
NIC,2023,2.8,13.2.2
NIC,2024,2.8,13.2.2
NIC,2015,1,14.1.1
NIC,2016,1.2,14.1.1
NIC,2017,2.3,14.1.1
NIC,2018,2,14.1.1
NIC,2019,0.3,14.1.1
NIC,2020,2.8,14.1.1
NIC,2021,1,14.1.1
NIC,2022,2.2,14.1.1
NIC,2015,37.2,15.1.2
NIC,2016,37.2,15.1.2
NIC,2017,37.2,15.1.2
NIC,2018,37.2,15.1.2
NIC,2019,37.2,15.1.2
NIC,2020,21.3,15.1.2
NIC,2021,21.3,15.1.2
NIC,2022,21.3,15.1.2
NIC,2023,21.3,15.1.2
NIC,2024,21.2,15.1.2
NIC,2024,0.2,16.0.0
NIC,2016,48.2,17.18.1
NIC,2017,48,17.18.1
NIC,2018,51.5,17.18.1
NIC,2019,51.7,17.18.1
NIC,2020,49.2,17.18.1
NIC,2021,56.6,17.18.1
NIC,2022,55.4,17.18.1
NIC,2023,56.5,17.18.1
NIC,2024,55.8,17.18.1
NIC,2015,19.7,17.8.1
NIC,2016,24.6,17.8.1
NIC,2017,30.4,17.8.1
NIC,2018,33.9,17.8.1
NIC,2019,37.8,17.8.1
NIC,2020,42.2,17.8.1
NIC,2021,47.1,17.8.1
NIC,2022,49.1,17.8.1
NIC,2023,58.2,17.8.1
NIC,2017,89.8,18.0.0
NIC,2021,90.2,18.0.0
NIC,2024,92.7,18.0.0
NIC,2015,17.2,2.1.1
NIC,2016,16.3,2.1.1
NIC,2017,15.6,2.1.1
NIC,2018,15.5,2.1.1
NIC,2019,15.7,2.1.1
NIC,2020,16.6,2.1.1
NIC,2021,17,2.1.1
NIC,2022,17.3,2.1.1
NIC,2015,81,3.1.1
NIC,2016,77,3.1.1
NIC,2017,72,3.1.1
NIC,2018,67,3.1.1
NIC,2019,69,3.1.1
NIC,2020,87,3.1.1
NIC,2021,124,3.1.1
NIC,2022,61,3.1.1
NIC,2023,60,3.1.1
NIC,2015,18.6,3.2.1
NIC,2016,17.8,3.2.1
NIC,2017,17.1,3.2.1
NIC,2018,16.4,3.2.1
NIC,2019,15.7,3.2.1
NIC,2020,15.1,3.2.1
NIC,2021,14.5,3.2.1
NIC,2022,13.9,3.2.1
NIC,2023,13.4,3.2.1
NIC,2015,10.9,3.2.2
NIC,2016,10.4,3.2.2
NIC,2017,10,3.2.2
NIC,2018,9.8,3.2.2
NIC,2019,9.6,3.2.2
NIC,2020,9.6,3.2.2
NIC,2021,9.3,3.2.2
NIC,2022,8.9,3.2.2
NIC,2023,8.4,3.2.2
NIC,2015,11.4,4.1.2
NIC,2016,11.3,4.1.2
NIC,2017,11.2,4.1.2
NIC,2018,11.1,4.1.2
NIC,2019,11,4.1.2
NIC,2020,10.8,4.1.2
NIC,2021,10.7,4.1.2
NIC,2022,10.7,4.1.2
NIC,2023,10.6,4.1.2
NIC,2024,10.6,4.1.2
NIC,2025,10.6,4.1.2
NIC,2015,72.9,43.0.0
NIC,2016,73.18,43.0.0
NIC,2017,73.39,43.0.0
NIC,2018,73.88,43.0.0
