iso3c,year,value,indicator_sdg
NLD,2015,0.1,1.1.1
NLD,2016,0.1,1.1.1
NLD,2017,0.2,1.1.1
NLD,2018,0.1,1.1.1
NLD,2019,0.1,1.1.1
NLD,2020,0.1,1.1.1
NLD,2021,0.1,1.1.1
NLD,2022,0.1,1.1.1
NLD,2023,0.1,1.1.1
NLD,2024,0.1,1.1.1
NLD,2025,0.1,1.1.1
NLD,2015,0.6,10.1.1
NLD,2016,0.6,10.1.1
NLD,2017,0.6,10.1.1
NLD,2018,0.6,10.1.1
NLD,2019,0.6,10.1.1
NLD,2020,0.5,10.1.1
NLD,2021,0.5,10.1.1
NLD,2016,0,11.0.0
NLD,2018,0,11.0.0
NLD,2020,0,11.0.0
NLD,2022,0,11.0.0
NLD,2015,0.76,12.c.1
NLD,2016,0.81,12.c.1
NLD,2017,0.83,12.c.1
NLD,2018,0.8,12.c.1
NLD,2019,0.61,12.c.1
NLD,2020,0.59,12.c.1
NLD,2021,0.61,12.c.1
NLD,2022,0.84,12.c.1
NLD,2023,0.8,12.c.1
NLD,2024,0.64,12.c.1
NLD,2015,11.9,13.2.2
NLD,2016,11.9,13.2.2
NLD,2017,11.6,13.2.2
NLD,2018,11.1,13.2.2
NLD,2019,10.8,13.2.2
NLD,2020,9.8,13.2.2
NLD,2021,9.9,13.2.2
NLD,2022,9.1,13.2.2
NLD,2023,8.4,13.2.2
NLD,2024,8.1,13.2.2
NLD,2015,2.5,14.1.1
NLD,2016,1.5,14.1.1
NLD,2017,0.9,14.1.1
NLD,2018,4.3,14.1.1
NLD,2019,1.5,14.1.1
NLD,2020,1.5,14.1.1
NLD,2021,3.8,14.1.1
NLD,2022,2.1,14.1.1
NLD,2015,11.3,15.1.2
NLD,2016,11.3,15.1.2
NLD,2017,11.2,15.1.2
NLD,2018,11.2,15.1.2
NLD,2019,22.5,15.1.2
NLD,2020,22.5,15.1.2
NLD,2021,22.5,15.1.2
NLD,2022,22.5,15.1.2
NLD,2023,22.5,15.1.2
NLD,2024,22.9,15.1.2
NLD,2024,4.9,16.0.0
NLD,2016,74.1,17.18.1
NLD,2017,76.2,17.18.1
NLD,2018,84.2,17.18.1
NLD,2019,84.3,17.18.1
NLD,2020,84.9,17.18.1
NLD,2021,89.4,17.18.1
NLD,2022,88.2,17.18.1
NLD,2023,90,17.18.1
NLD,2024,85.1,17.18.1
NLD,2015,91.7,17.8.1
NLD,2016,90.4,17.8.1
NLD,2017,93.2,17.8.1
NLD,2018,91.9,17.8.1
NLD,2019,93.3,17.8.1
NLD,2020,91.3,17.8.1
NLD,2021,92.1,17.8.1
NLD,2022,92.5,17.8.1
NLD,2023,97,17.8.1
NLD,2021,95.1,18.0.0
NLD,2024,88.7,18.0.0
NLD,2015,2.5,2.1.1
NLD,2016,2.5,2.1.1
NLD,2017,2.5,2.1.1
NLD,2018,2.5,2.1.1
NLD,2019,2.5,2.1.1
NLD,2020,2.5,2.1.1
NLD,2021,2.5,2.1.1
NLD,2022,2.5,2.1.1
NLD,2023,2.5,2.1.1
NLD,2015,5,3.1.1
NLD,2016,5,3.1.1
NLD,2017,5,3.1.1
NLD,2018,5,3.1.1
NLD,2019,5,3.1.1
NLD,2020,4,3.1.1
NLD,2021,5,3.1.1
NLD,2022,4,3.1.1
NLD,2023,4,3.1.1
NLD,2015,4.1,3.2.1
NLD,2016,4.1,3.2.1
NLD,2017,4,3.2.1
NLD,2018,4,3.2.1
NLD,2019,4,3.2.1
NLD,2020,4,3.2.1
NLD,2021,4,3.2.1
NLD,2022,4,3.2.1
NLD,2023,4,3.2.1
NLD,2015,2.6,3.2.2
NLD,2016,2.6,3.2.2
NLD,2017,2.6,3.2.2
NLD,2018,2.6,3.2.2
NLD,2019,2.6,3.2.2
NLD,2020,2.6,3.2.2
NLD,2021,2.6,3.2.2
NLD,2022,2.6,3.2.2
NLD,2023,2.6,3.2.2
NLD,2015,12.9,4.1.2
NLD,2016,12.9,4.1.2
NLD,2017,12.9,4.1.2
NLD,2018,12.9,4.1.2
NLD,2019,12.9,4.1.2
NLD,2020,12.9,4.1.2
NLD,2021,12.9,4.1.2
NLD,2022,12.9,4.1.2
NLD,2023,12.9,4.1.2
NLD,2024,12.9,4.1.2
NLD,2025,12.9,4.1.2
NLD,2015,81.49,43.0.0
NLD,2016,81.56,43.0.0
NLD,2017,81.74,43.0.0
NLD,2018,81.78,43.0.0
NLD,2019,82.05,43.0.0
NLD,2020,81.39,43.0.0
NLD,2021,81.36,43.0.0
NLD,2022,81.91,43.0.0
NLD,2023,82.16,43.0.0
NLD,2015,91.4,45.0.0
NLD,2016,91.4,45.0.0
NLD,2017,91.3,45.0.0
NLD,2018,88.8,45.0.0
NLD,2019,89,45.0.0
NLD,2020,89.2,45.0.0
NLD,2021,88.4,45.0.0
NLD,2022,87.9,45.0.0
NLD,2023,90.5,45.0.0
NLD,2015,100,6.1.1
NLD,2016,100,6.1.1
NLD,2017,100,6.1.1
NLD,2018,100,6.1.1
NLD,2019,100,6.1.1
NLD,2020,100,6.1.1
NLD,2021,100,6.1.1
NLD,2022,100,6.1.1
NLD,2023,100,6.1.1
NLD,2024,100,6.1.1
NLD,2015,100,7.1.1
NLD,2016,100,7.1.1
NLD,2017,100,7.1.1
NLD,2018,100,7.1.1
NLD,2019,100,7.1.1
NLD,2020,100,7.1.1
NLD,2021,100,7.1.1
NLD,2022,100,7.1.1
NLD,2023,100,7.1.1
NLD,2015,45794,8.1.1
NLD,2016,46655,8.1.1
NLD,2017,47670,8.1.1
NLD,2018,48463,8.1.1
NLD,2019,49254,8.1.1
NLD,2020,47087,8.1.1
NLD,2021,49781,8.1.1
NLD,2022,51778,8.1.1
NLD,2023,50961,8.1.1
NLD,2024,51179,8.1.1
NLD,2015,77.6,8.5.1
