iso3c,year,value,indicator_sdg
NOR,2015,0.2,1.1.1
NOR,2016,0.3,1.1.1
NOR,2017,0.3,1.1.1
NOR,2018,0.3,1.1.1
NOR,2019,0.2,1.1.1
NOR,2020,0.3,1.1.1
NOR,2021,0.2,1.1.1
NOR,2022,0.3,1.1.1
NOR,2023,0.2,1.1.1
NOR,2024,0.2,1.1.1
NOR,2025,0.2,1.1.1
NOR,2015,0.5,10.1.1
NOR,2016,0.6,10.1.1
NOR,2017,0.6,10.1.1
NOR,2018,0.6,10.1.1
NOR,2019,0.6,10.1.1
NOR,2020,0.7,10.1.1
NOR,2021,0.6,10.1.1
NOR,2022,0.7,10.1.1
NOR,2023,0.6,10.1.1
NOR,2016,0,11.0.0
NOR,2018,0,11.0.0
NOR,2020,0,11.0.0
NOR,2022,0,11.0.0
NOR,2015,12.12140368,13.2.2
NOR,2016,11.88529452,13.2.2
NOR,2017,11.74752244,13.2.2
NOR,2018,11.50598014,13.2.2
NOR,2019,11.13516418,13.2.2
NOR,2020,10.75051004,13.2.2
NOR,2021,10.85533031,13.2.2
NOR,2022,10.56444169,13.2.2
NOR,2023,10.04909594,13.2.2
NOR,2024,9.647686342,13.2.2
NOR,2024,4.378352642,16.0.0
NOR,2016,78.82208333,17.18.1
NOR,2017,82.61625,17.18.1
NOR,2018,90.1625,17.18.1
NOR,2019,90.09375,17.18.1
NOR,2020,90.46833333,17.18.1
NOR,2021,93.7625,17.18.1
NOR,2022,92.69916667,17.18.1
NOR,2023,94.55666667,17.18.1
NOR,2024,94.14333333,17.18.1
NOR,2015,96.81032569,17.8.1
NOR,2016,97.29820367,17.8.1
NOR,2017,96.3576013,17.8.1
NOR,2018,96.49165799,17.8.1
NOR,2019,98.00000439,17.8.1
NOR,2020,94.60755647,17.8.1
NOR,2021,99.0000036,17.8.1
NOR,2022,98.99997764,17.8.1
NOR,2023,99.00000258,17.8.1
NOR,2024,99,17.8.1
NOR,2015,12.72036552,4.1.2
NOR,2016,12.71806622,4.1.2
NOR,2017,12.7261734,4.1.2
NOR,2018,12.73332596,4.1.2
NOR,2019,12.74517345,4.1.2
NOR,2020,12.74984264,4.1.2
NOR,2021,12.76074505,4.1.2
NOR,2022,12.76184082,4.1.2
NOR,2023,12.75822067,4.1.2
NOR,2024,12.75822067,4.1.2
NOR,2025,12.75822067,4.1.2
NOR,2015,0.1518064394,42.0.0
NOR,2016,0.1398095409,42.0.0
NOR,2017,0.1449665751,42.0.0
NOR,2018,0.143990251,42.0.0
NOR,2019,0.1270427263,42.0.0
NOR,2020,0.1291202286,42.0.0
NOR,2021,0.1275885728,42.0.0
NOR,2022,0.1237804003,42.0.0
NOR,2023,0.1200732319,42.0.0
NOR,2024,0.114552726,42.0.0
NOR,2015,82.273,43.0.0
NOR,2016,82.415,43.0.0
NOR,2017,82.624,43.0.0
NOR,2018,82.76,43.0.0
NOR,2019,82.955,43.0.0
NOR,2020,83.195,43.0.0
NOR,2021,83.166,43.0.0
NOR,2022,82.631,43.0.0
NOR,2023,83.308,43.0.0
NOR,2024,83.46,43.0.0
NOR,2015,95,45.0.0
NOR,2016,94.8,45.0.0
NOR,2017,94.8,45.0.0
NOR,2018,95.2,45.0.0
NOR,2019,91.1,45.0.0
NOR,2020,89.1,45.0.0
NOR,2021,89.2,45.0.0
NOR,2022,88.6,45.0.0
NOR,2023,89.2,45.0.0
NOR,2015,24.42034533,47.0.0
NOR,2016,24.85722356,47.0.0
NOR,2017,24.91827209,47.0.0
NOR,2018,25.25178077,47.0.0
NOR,2019,24.70864348,47.0.0
NOR,2020,24.50443387,47.0.0
NOR,2021,25.50876437,47.0.0
NOR,2022,24.03850754,47.0.0
NOR,2023,24.19571106,47.0.0
NOR,2015,100,7.1.1
NOR,2016,100,7.1.1
NOR,2017,100,7.1.1
NOR,2018,100,7.1.1
NOR,2019,100,7.1.1
NOR,2020,100,7.1.1
NOR,2021,100,7.1.1
NOR,2022,100,7.1.1
NOR,2023,100,7.1.1
NOR,2015,77.546,8.5.1
NOR,2016,77.511,8.5.1
NOR,2017,76.948,8.5.1
NOR,2018,77.135,8.5.1
NOR,2019,77.547,8.5.1
NOR,2020,77.784,8.5.1
NOR,2021,77.628,8.5.1
NOR,2022,77.781,8.5.1
NOR,2023,78.067,8.5.1
NOR,2024,78.05,8.5.1
NOR,2025,77.979,8.5.1
ECS,2015,99.2,7.1.1
ECS,2016,99.8,7.1.1
ECS,2017,100,7.1.1
ECS,2018,100,7.1.1
ECS,2019,100,7.1.1
ECS,2020,100,7.1.1
ECS,2021,100,7.1.1
ECS,2022,100,7.1.1
ECS,2023,100,7.1.1
ECS,2016,9.3,13.2.2
ECS,2017,9.4,13.2.2
ECS,2018,9.4,13.2.2
ECS,2019,9.2,13.2.2
ECS,2020,8.7,13.2.2
ECS,2021,9.2,13.2.2
ECS,2022,8.9,13.2.2
ECS,2023,8.7,13.2.2
ECS,2024,8.7,13.2.2
ECS,2015,9.3,13.2.2
ECS,2016,2.8,11.0.0
ECS,2018,2.9,11.0.0
ECS,2020,2.9,11.0.0
ECS,2022,2.8,11.0.0
ECS,2015,69.9,17.8.1
ECS,2016,72.3,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
ECS,2019,80.3,17.8.1
ECS,2020,83.4,17.8.1
ECS,2021,86.3,17.8.1
ECS,2022,87.9,17.8.1
ECS,2023,89.6,17.8.1
ECS,2024,90.9,17.8.1
ECS,2025,92.4,17.8.1
ECS,2015,1.5,1.1.1
ECS,2016,1.3,1.1.1
ECS,2017,1.2,1.1.1
ECS,2018,1,1.1.1
ECS,2019,0.9,1.1.1
ECS,2020,1,1.1.1
ECS,2021,0.9,1.1.1
ECS,2022,0.8,1.1.1
ECS,2023,0.7,1.1.1
ECS,2024,0.6,1.1.1
ECS,2025,0.5,1.1.1
ECS,2015,1.8,10.1.1
ECS,2016,1.8,10.1.1
ECS,2017,1.7,10.1.1
ECS,2018,1.6,10.1.1
ECS,2019,1.6,10.1.1
ECS,2020,1.6,10.1.1
ECS,2021,1.5,10.1.1
ECS,2022,1.4,10.1.1
ECS,2023,1.3,10.1.1
ECS,2024,1.3,10.1.1
ECS,2015,62.7,8.5.1
ECS,2016,63.2,8.5.1
ECS,2017,63.5,8.5.1
ECS,2018,63.8,8.5.1
ECS,2019,64,8.5.1
ECS,2020,63.3,8.5.1
ECS,2021,64.3,8.5.1
ECS,2022,65.4,8.5.1
ECS,2023,66,8.5.1
ECS,2024,66.3,8.5.1
ECS,2025,66.3,8.5.1
HIC,2015,99.4,7.1.1
HIC,2016,99.9,7.1.1
HIC,2017,100,7.1.1
HIC,2018,100,7.1.1
HIC,2019,99.9,7.1.1
HIC,2020,100,7.1.1
HIC,2021,100,7.1.1
HIC,2022,100,7.1.1
HIC,2023,100,7.1.1
HIC,2015,13.8,13.2.2
HIC,2016,13.7,13.2.2
HIC,2017,13.6,13.2.2
HIC,2018,13.7,13.2.2
HIC,2019,13.4,13.2.2
HIC,2020,12.5,13.2.2
HIC,2021,13.1,13.2.2
HIC,2022,13,13.2.2
HIC,2023,12.6,13.2.2
HIC,2024,12.5,13.2.2
HIC,2016,1.1,11.0.0
HIC,2018,1.1,11.0.0
HIC,2020,0.9,11.0.0
HIC,2022,1.1,11.0.0
HIC,2016,73,17.18.1
HIC,2017,74.3,17.18.1
HIC,2018,77.8,17.18.1
HIC,2019,78.2,17.18.1
HIC,2020,77.8,17.18.1
HIC,2021,82.4,17.18.1
HIC,2023,82,17.18.1
HIC,2024,80.9,17.18.1
HIC,2022,80.3,17.18.1
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.3,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.4,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91,17.8.1
HIC,2023,91.9,17.8.1
HIC,2024,93,17.8.1
HIC,2025,94.2,17.8.1
HIC,2015,0.8,1.1.1
HIC,2016,0.8,1.1.1
HIC,2017,0.7,1.1.1
HIC,2018,0.7,1.1.1
HIC,2019,0.7,1.1.1
HIC,2020,0.5,1.1.1
HIC,2021,0.5,1.1.1
HIC,2022,0.7,1.1.1
HIC,2023,0.6,1.1.1
HIC,2024,0.6,1.1.1
HIC,2025,0.6,1.1.1
HIC,2022,1.1,10.1.1
HIC,2023,1.1,10.1.1
HIC,2024,1,10.1.1
HIC,2015,1.2,10.1.1
HIC,2016,1.2,10.1.1
HIC,2017,1.2,10.1.1
HIC,2018,1.2,10.1.1
HIC,2019,1.1,10.1.1
HIC,2020,1,10.1.1
HIC,2021,0.9,10.1.1
HIC,2022,68.7,8.5.1
HIC,2023,69.4,8.5.1
HIC,2024,69.6,8.5.1
HIC,2025,69.7,8.5.1
HIC,2015,65.4,8.5.1
HIC,2016,65.9,8.5.1
HIC,2017,66.4,8.5.1
HIC,2018,66.9,8.5.1
HIC,2019,67.5,8.5.1
HIC,2020,66.9,8.5.1
HIC,2021,67.8,8.5.1
