iso3c,year,value,indicator_sdg
PHL,2015,14.6,1.1.1
PHL,2016,12.3,1.1.1
PHL,2017,10.1,1.1.1
PHL,2018,8.3,1.1.1
PHL,2019,6.8,1.1.1
PHL,2020,9.7,1.1.1
PHL,2021,8.1,1.1.1
PHL,2022,6.5,1.1.1
PHL,2023,5.3,1.1.1
PHL,2024,4.7,1.1.1
PHL,2025,4.1,1.1.1
PHL,2015,5.6,10.1.1
PHL,2018,4.7,10.1.1
PHL,2021,4.8,10.1.1
PHL,2023,4.4,10.1.1
PHL,2016,38.7,11.0.0
PHL,2018,37.3,11.0.0
PHL,2020,36.6,11.0.0
PHL,2022,35.9,11.0.0
PHL,2015,0,12.c.1
PHL,2016,0.02,12.c.1
PHL,2017,0.36,12.c.1
PHL,2018,0.03,12.c.1
PHL,2019,0.01,12.c.1
PHL,2020,0.33,12.c.1
PHL,2021,0.17,12.c.1
PHL,2022,0.28,12.c.1
PHL,2023,0.12,12.c.1
PHL,2024,0.12,12.c.1
PHL,2015,1.8,13.2.2
PHL,2016,1.9,13.2.2
PHL,2017,2,13.2.2
PHL,2018,2.1,13.2.2
PHL,2019,2.1,13.2.2
PHL,2020,2,13.2.2
PHL,2021,2.1,13.2.2
PHL,2022,2.1,13.2.2
PHL,2023,2.2,13.2.2
PHL,2024,2.3,13.2.2
PHL,2015,0.8,14.1.1
PHL,2016,0.5,14.1.1
PHL,2017,0.9,14.1.1
PHL,2018,0.6,14.1.1
PHL,2019,0.6,14.1.1
PHL,2020,0.6,14.1.1
PHL,2021,0.9,14.1.1
PHL,2022,0.3,14.1.1
PHL,2015,15.3,15.1.2
PHL,2016,15.3,15.1.2
PHL,2017,15.3,15.1.2
PHL,2018,15.3,15.1.2
PHL,2019,15.4,15.1.2
PHL,2020,15.4,15.1.2
PHL,2021,15.9,15.1.2
PHL,2022,15.9,15.1.2
PHL,2023,15.9,15.1.2
PHL,2024,16,15.1.2
PHL,2024,0.5,16.0.0
PHL,2016,73.2,17.18.1
PHL,2017,74.5,17.18.1
PHL,2018,75.9,17.18.1
PHL,2019,75.4,17.18.1
PHL,2020,79.2,17.18.1
PHL,2021,81.9,17.18.1
PHL,2022,81.5,17.18.1
PHL,2023,82.7,17.18.1
PHL,2024,83.8,17.18.1
PHL,2015,36.9,17.8.1
PHL,2016,39.2,17.8.1
PHL,2017,41.6,17.8.1
PHL,2018,44.1,17.8.1
PHL,2019,43,17.8.1
PHL,2020,53.8,17.8.1
PHL,2021,66.9,17.8.1
PHL,2022,75.2,17.8.1
PHL,2023,83.8,17.8.1
PHL,2024,73.9,18.0.0
PHL,2015,11.4,2.1.1
PHL,2016,9.7,2.1.1
PHL,2017,7.8,2.1.1
PHL,2018,6.4,2.1.1
PHL,2019,5.8,2.1.1
PHL,2020,5.2,2.1.1
PHL,2021,4.6,2.1.1
PHL,2022,3.5,2.1.1
PHL,2023,3,2.1.1
PHL,2015,104,3.1.1
PHL,2016,98,3.1.1
PHL,2017,86,3.1.1
PHL,2018,92,3.1.1
PHL,2019,92,3.1.1
PHL,2020,88,3.1.1
PHL,2021,153,3.1.1
PHL,2022,92,3.1.1
PHL,2023,84,3.1.1
PHL,2015,27.8,3.2.1
PHL,2016,27.8,3.2.1
PHL,2017,27.8,3.2.1
PHL,2018,27.9,3.2.1
PHL,2019,28,3.2.1
PHL,2020,27.9,3.2.1
PHL,2021,27.7,3.2.1
PHL,2022,27.3,3.2.1
PHL,2023,26.9,3.2.1
PHL,2015,13.5,3.2.2
PHL,2016,13.6,3.2.2
PHL,2017,13.8,3.2.2
PHL,2018,14.1,3.2.2
PHL,2019,14.3,3.2.2
PHL,2020,14.4,3.2.2
PHL,2021,14.4,3.2.2
PHL,2022,14.2,3.2.2
PHL,2023,14,3.2.2
PHL,2015,11.1,4.1.2
PHL,2016,11.1,4.1.2
PHL,2017,11,4.1.2
PHL,2018,11,4.1.2
PHL,2019,11.1,4.1.2
PHL,2020,11,4.1.2
PHL,2021,11,4.1.2
PHL,2022,11.1,4.1.2
PHL,2023,11.1,4.1.2
PHL,2024,11.1,4.1.2
PHL,2025,11.1,4.1.2
PHL,2015,69.45,43.0.0
PHL,2016,69.49,43.0.0
PHL,2017,69.97,43.0.0
PHL,2018,69.76,43.0.0
PHL,2019,69.68,43.0.0
PHL,2020,70.1,43.0.0
PHL,2021,66.67,43.0.0
PHL,2022,69.47,43.0.0
PHL,2023,69.83,43.0.0
PHL,2015,84.7,45.0.0
PHL,2016,84.4,45.0.0
PHL,2017,80.8,45.0.0
PHL,2018,80.8,45.0.0
PHL,2019,79.7,45.0.0
PHL,2020,79.8,45.0.0
PHL,2021,79.2,45.0.0
PHL,2022,80.6,45.0.0
PHL,2023,80.6,45.0.0
PHL,2015,46.5,6.1.1
PHL,2016,46.7,6.1.1
PHL,2017,46.9,6.1.1
PHL,2018,47.1,6.1.1
PHL,2019,47.3,6.1.1
PHL,2020,47.5,6.1.1
PHL,2021,47.8,6.1.1
PHL,2022,48,6.1.1
PHL,2023,48.2,6.1.1
PHL,2024,48.5,6.1.1
PHL,2015,89.1,7.1.1
PHL,2016,92,7.1.1
PHL,2017,93,7.1.1
PHL,2018,94.2,7.1.1
PHL,2019,95.3,7.1.1
PHL,2020,96.4,7.1.1
PHL,2021,97.5,7.1.1
PHL,2022,94.8,7.1.1
PHL,2023,98,7.1.1
PHL,2015,2910,8.1.1
PHL,2016,3076,8.1.1
PHL,2017,3247,8.1.1
PHL,2018,3411,8.1.1
PHL,2019,3576,8.1.1
PHL,2020,3199,8.1.1
PHL,2021,3351,8.1.1
PHL,2022,3578,8.1.1
PHL,2023,3745,8.1.1
PHL,2024,3925,8.1.1
PHL,2015,50.2,8.5.1
PHL,2016,49.7,8.5.1
PHL,2017,46.7,8.5.1
PHL,2018,47.2,8.5.1
PHL,2019,48.3,8.5.1
PHL,2020,44.5,8.5.1
PHL,2021,46.1,8.5.1
PHL,2022,52.4,8.5.1
PHL,2023,52.5,8.5.1
PHL,2024,52.7,8.5.1
EAS,2021,98.2,7.1.1
EAS,2022,98.2,7.1.1
EAS,2023,98.4,7.1.1
EAS,2015,97,7.1.1
EAS,2016,97,7.1.1
EAS,2017,97.7,7.1.1
EAS,2018,97.7,7.1.1
EAS,2019,97.9,7.1.1
EAS,2020,97.8,7.1.1
EAS,2015,8,13.2.2
EAS,2018,8.3,13.2.2
EAS,2021,8.7,13.2.2
EAS,2016,7.9,13.2.2
EAS,2019,8.4,13.2.2
EAS,2022,8.7,13.2.2
EAS,2017,8.1,13.2.2
EAS,2020,8.4,13.2.2
EAS,2023,9,13.2.2
EAS,2024,9.1,13.2.2
EAS,2022,23.3,11.0.0
EAS,2021,17.1,15.1.2
EAS,2022,17.1,15.1.2
EAS,2023,17.1,15.1.2
EAS,2015,15.5,15.1.2
EAS,2024,17.6,15.1.2
EAS,2016,16.4,15.1.2
EAS,2017,17.1,15.1.2
EAS,2018,16.6,15.1.2
EAS,2019,16.6,15.1.2
EAS,2020,17.1,15.1.2
EAS,2021,78.8,17.8.1
EAS,2022,82.4,17.8.1
EAS,2023,84.9,17.8.1
EAS,2015,48.3,17.8.1
EAS,2024,86.6,17.8.1
EAS,2016,53.9,17.8.1
