iso3c,year,value,indicator_sdg
PNG,2015,46,1.1.1
PNG,2016,45,1.1.1
PNG,2017,44.4,1.1.1
PNG,2018,45.6,1.1.1
PNG,2019,44.7,1.1.1
PNG,2020,46.6,1.1.1
PNG,2021,47.1,1.1.1
PNG,2022,46.1,1.1.1
PNG,2023,45.6,1.1.1
PNG,2024,44.7,1.1.1
PNG,2025,43.1,1.1.1
PNG,2015,0,12.c.1
PNG,2016,0,12.c.1
PNG,2017,0,12.c.1
PNG,2018,0,12.c.1
PNG,2019,0,12.c.1
PNG,2020,0,12.c.1
PNG,2021,0,12.c.1
PNG,2022,0,12.c.1
PNG,2023,0,12.c.1
PNG,2024,0,12.c.1
PNG,2015,1.103526082,13.2.2
PNG,2016,1.155503889,13.2.2
PNG,2017,1.116343749,13.2.2
PNG,2018,1.09705527,13.2.2
PNG,2019,1.127410628,13.2.2
PNG,2020,0.9795893252,13.2.2
PNG,2021,0.9239085276,13.2.2
PNG,2022,0.9316909286,13.2.2
PNG,2023,0.9279440519,13.2.2
PNG,2015,6.8426,14.1.1
PNG,2016,1.28285,14.1.1
PNG,2017,1.93285,14.1.1
PNG,2018,1.19961,14.1.1
PNG,2019,1.48798,14.1.1
PNG,2020,3.42464,14.1.1
PNG,2021,8.12084,14.1.1
PNG,2022,2.16548,14.1.1
PNG,2015,3.1,15.1.2
PNG,2016,3.1,15.1.2
PNG,2017,3.1,15.1.2
PNG,2018,3.1,15.1.2
PNG,2019,3.7,15.1.2
PNG,2020,3.7,15.1.2
PNG,2021,3.7,15.1.2
PNG,2022,3.7,15.1.2
PNG,2023,3.7,15.1.2
PNG,2024,3.7,15.1.2
PNG,2016,26.96541667,17.18.1
PNG,2017,32.725,17.18.1
PNG,2018,40.585,17.18.1
PNG,2019,40.50625,17.18.1
PNG,2020,44.11208333,17.18.1
PNG,2021,46.14708333,17.18.1
PNG,2022,45.71083333,17.18.1
PNG,2023,45.91458333,17.18.1
PNG,2015,7.9,17.8.1
PNG,2016,9.60154,17.8.1
PNG,2017,11.2092,17.8.1
PNG,2019,19.9783,17.8.1
PNG,2020,24.3969,17.8.1
PNG,2021,23.2437,17.8.1
PNG,2022,23.7315,17.8.1
PNG,2023,24.0667,17.8.1
PNG,2015,26.8,2.1.1
PNG,2016,27.2,2.1.1
PNG,2017,27.3,2.1.1
PNG,2018,27.5,2.1.1
PNG,2019,27.3,2.1.1
PNG,2020,27.4,2.1.1
PNG,2021,27,2.1.1
PNG,2022,27.7,2.1.1
PNG,2015,36,3.8.1
PNG,2017,33,3.8.1
PNG,2019,30,3.8.1
PNG,2021,30,3.8.1
PNG,2016,74.13976606,4.1.2
PNG,2021,80.9982278,4.1.2
PNG,2023,82.74780039,4.1.2
PNG,2015,18.4,7.1.1
PNG,2016,13.5,7.1.1
PNG,2017,19.2,7.1.1
PNG,2018,16.6,7.1.1
PNG,2019,23.6,7.1.1
PNG,2020,20.5,7.1.1
PNG,2021,20.9,7.1.1
PNG,2022,19,7.1.1
PNG,2023,20.5,7.1.1
PNG,2015,2484.59634,8.1.1
PNG,2016,2557.09463,8.1.1
PNG,2017,2584.888364,8.1.1
PNG,2018,2518.458993,8.1.1
PNG,2019,2572.56178,8.1.1
PNG,2020,2438.611379,8.1.1
PNG,2021,2378.371682,8.1.1
PNG,2022,2467.234888,8.1.1
PNG,2023,2515.290704,8.1.1
PNG,2024,2572.032257,8.1.1
PNG,2015,49.641,8.5.1
PNG,2016,49.815,8.5.1
PNG,2017,50.041,8.5.1
PNG,2018,50.375,8.5.1
PNG,2019,50.57,8.5.1
PNG,2020,50.346,8.5.1
PNG,2021,50.991,8.5.1
PNG,2022,51.353,8.5.1
PNG,2023,51.376,8.5.1
PNG,2024,51.403,8.5.1
EAS,2015,96.95005996,7.1.1
EAS,2016,97.03439658,7.1.1
EAS,2017,97.69153593,7.1.1
EAS,2018,97.66096407,7.1.1
EAS,2019,97.87525581,7.1.1
EAS,2020,97.79762097,7.1.1
EAS,2021,98.15342591,7.1.1
EAS,2022,98.21392948,7.1.1
EAS,2023,98.40448808,7.1.1
EAS,2015,8.107571004,13.2.2
EAS,2016,8.076957237,13.2.2
