iso3c,year,value,indicator_sdg
POL,2015,0.5,1.1.1
POL,2016,0.4,1.1.1
POL,2017,0.4,1.1.1
POL,2018,0.3,1.1.1
POL,2019,0.1025,1.1.1
POL,2020,0.1891,1.1.1
POL,2021,0.1143,1.1.1
POL,2022,0.3239,1.1.1
POL,2023,0.2441,1.1.1
POL,2024,0.2441,1.1.1
POL,2025,0.2418,1.1.1
POL,2015,1.4,10.1.1
POL,2016,1.3,10.1.1
POL,2017,1.3,10.1.1
POL,2018,1.2,10.1.1
POL,2019,1,10.1.1
POL,2020,1,10.1.1
POL,2021,0.9,10.1.1
POL,2022,1,10.1.1
POL,2023,0.9,10.1.1
POL,2016,4.5,11.0.0
POL,2018,4.3,11.0.0
POL,2020,3.7,11.0.0
POL,2022,4.21795,11.0.0
POL,2015,10.21215165,13.2.2
POL,2016,10.52011021,13.2.2
POL,2017,10.87062255,13.2.2
POL,2018,10.84058223,13.2.2
POL,2019,10.34244402,13.2.2
POL,2020,10.01244597,13.2.2
POL,2021,10.9011467,13.2.2
POL,2022,10.45403085,13.2.2
POL,2023,9.657576004,13.2.2
POL,2024,9.524133069,13.2.2
POL,2024,2.974920511,16.0.0
POL,2016,81.71958333,17.18.1
POL,2017,82.58416667,17.18.1
POL,2018,88.22958333,17.18.1
POL,2019,89.07083333,17.18.1
POL,2020,89.90041667,17.18.1
POL,2021,94.58583333,17.18.1
POL,2022,94.18875,17.18.1
POL,2023,94.65375,17.18.1
POL,2024,91.10625,17.18.1
POL,2015,67.99698716,17.8.1
POL,2016,73.3007041,17.8.1
POL,2017,75.98536595,17.8.1
POL,2018,77.54173454,17.8.1
POL,2019,80.43590688,17.8.1
POL,2020,83.18488715,17.8.1
POL,2021,85.37490906,17.8.1
POL,2022,86.94113479,17.8.1
POL,2023,86.414744,17.8.1
POL,2024,88.58496367,17.8.1
POL,2015,12.51281834,4.1.2
POL,2016,12.5368185,4.1.2
POL,2017,12.60439777,4.1.2
POL,2018,12.6510601,4.1.2
POL,2019,12.71441174,4.1.2
POL,2020,12.76189804,4.1.2
POL,2021,12.82875729,4.1.2
POL,2022,12.87396336,4.1.2
POL,2023,12.90911579,4.1.2
POL,2024,12.90911579,4.1.2
POL,2025,12.90911579,4.1.2
POL,2015,0.314082716,42.0.0
POL,2016,0.3159333096,42.0.0
POL,2017,0.310447053,42.0.0
POL,2018,0.2944516655,42.0.0
POL,2019,0.2672099788,42.0.0
POL,2020,0.2581529683,42.0.0
POL,2021,0.2554549875,42.0.0
POL,2022,0.2304736829,42.0.0
POL,2023,0.2091110207,42.0.0
POL,2024,0.1976827175,42.0.0
POL,2015,77.589,43.0.0
POL,2016,77.639,43.0.0
POL,2017,77.716,43.0.0
POL,2018,77.623,43.0.0
POL,2019,77.921,43.0.0
POL,2020,76.595,43.0.0
POL,2021,75.639,43.0.0
POL,2022,77.923,43.0.0
POL,2023,78.633,43.0.0
POL,2024,78.81,43.0.0
POL,2015,93.3,45.0.0
POL,2016,90.3,45.0.0
POL,2017,86.3,45.0.0
POL,2018,86.2,45.0.0
POL,2019,86.4,45.0.0
POL,2020,84.5,45.0.0
POL,2021,83.9,45.0.0
POL,2022,84,45.0.0
POL,2023,85.2,45.0.0
POL,2015,3.905811257,47.0.0
POL,2016,4.005356051,47.0.0
POL,2017,4.088908552,47.0.0
POL,2018,4.191631714,47.0.0
POL,2019,4.210578199,47.0.0
POL,2020,4.145454959,47.0.0
