iso3c,year,value,indicator_sdg
PRK,2015,2.38016293,13.2.2
PRK,2016,2.585728736,13.2.2
PRK,2017,3.991531549,13.2.2
PRK,2018,3.62127059,13.2.2
PRK,2019,3.919200486,13.2.2
PRK,2020,3.701604878,13.2.2
PRK,2021,3.164051936,13.2.2
PRK,2022,3.254692714,13.2.2
PRK,2023,3.41236293,13.2.2
PRK,2015,0.69434,14.1.1
PRK,2016,1.15645,14.1.1
PRK,2017,1.07807,14.1.1
PRK,2018,1.66576,14.1.1
PRK,2019,3.58135,14.1.1
PRK,2020,2.97993,14.1.1
PRK,2021,1.14775,14.1.1
PRK,2022,4.96612,14.1.1
PRK,2015,2.4,15.1.2
PRK,2016,2.4,15.1.2
PRK,2017,2.4,15.1.2
PRK,2018,2.4,15.1.2
PRK,2019,2.4,15.1.2
PRK,2020,2.4,15.1.2
PRK,2021,2.4,15.1.2
PRK,2022,2.4,15.1.2
PRK,2023,2.4,15.1.2
PRK,2024,2.4,15.1.2
PRK,2015,43.3,2.1.1
PRK,2016,44.2,2.1.1
PRK,2017,45.8,2.1.1
PRK,2018,45.3,2.1.1
PRK,2015,43,3.8.1
PRK,2017,73,3.8.1
PRK,2019,72,3.8.1
PRK,2021,68,3.8.1
PRK,2015,66.96019212,6.1.1
PRK,2016,66.79067237,6.1.1
PRK,2017,66.6258225,6.1.1
PRK,2018,66.46602831,6.1.1
PRK,2019,66.31140898,6.1.1
PRK,2020,66.38089703,6.1.1
PRK,2021,66.45431945,6.1.1
PRK,2022,66.53139987,6.1.1
PRK,2015,40,7.1.1
PRK,2016,42.1,7.1.1
PRK,2017,44.2,7.1.1
PRK,2018,46.3,7.1.1
PRK,2019,48.4,7.1.1
PRK,2020,50.5,7.1.1
PRK,2021,52.6,7.1.1
PRK,2022,54.7,7.1.1
PRK,2023,57.5,7.1.1
PRK,2015,86.003,8.5.1
PRK,2016,85.797,8.5.1
PRK,2017,85.855,8.5.1
PRK,2018,86.018,8.5.1
PRK,2019,86.037,8.5.1
PRK,2020,84.667,8.5.1
PRK,2021,84.94,8.5.1
PRK,2022,86.455,8.5.1
PRK,2023,86.722,8.5.1
PRK,2024,86.98,8.5.1
EAS,2015,96.95005996,7.1.1
EAS,2016,97.03439658,7.1.1
EAS,2017,97.69153593,7.1.1
EAS,2018,97.66096407,7.1.1
EAS,2019,97.87525581,7.1.1
EAS,2020,97.79762097,7.1.1
EAS,2021,98.15342591,7.1.1
EAS,2022,98.21392948,7.1.1
EAS,2023,98.40448808,7.1.1
EAS,2015,8.107571004,13.2.2
EAS,2016,8.076957237,13.2.2
EAS,2017,8.194514964,13.2.2
EAS,2018,8.446727786,13.2.2
EAS,2019,8.575187098,13.2.2
EAS,2020,8.545101895,13.2.2
EAS,2021,8.835882155,13.2.2
EAS,2022,8.795777577,13.2.2
EAS,2023,9.139019205,13.2.2
EAS,2015,15.48385384,15.1.2
EAS,2016,16.37896765,15.1.2
EAS,2017,17.12075175,15.1.2
EAS,2018,16.55618303,15.1.2
EAS,2019,16.62215129,15.1.2
EAS,2020,17.09049487,15.1.2
EAS,2021,17.13394587,15.1.2
EAS,2022,17.13418351,15.1.2
EAS,2023,17.13691534,15.1.2
EAS,2024,17.61817011,15.1.2
EAS,2015,48.3,17.8.1
EAS,2016,51.6,17.8.1
EAS,2017,53.7,17.8.1
EAS,2018,58.8,17.8.1
EAS,2019,63.5,17.8.1
EAS,2020,68.5,17.8.1
EAS,2021,72.6,17.8.1
EAS,2022,75.4,17.8.1
EAS,2023,77.5,17.8.1
EAS,2024,79.6,17.8.1
EAS,2015,9657.528896,8.1.1
EAS,2016,10035.45664,8.1.1
EAS,2017,10468.11953,8.1.1
EAS,2018,10903.06173,8.1.1
EAS,2019,11285.32903,8.1.1
EAS,2020,11233.19987,8.1.1
EAS,2021,11916.65912,8.1.1
EAS,2022,12249.79521,8.1.1
EAS,2023,12737.68614,8.1.1
EAS,2024,13212.16239,8.1.1
EAS,2015,94.0542984,4.1.2
EAS,2016,95.64515686,4.1.2
