iso3c,year,value,indicator_sdg
PSE,2015,1.3,1.1.1
PSE,2016,1.3,1.1.1
PSE,2017,1.4,1.1.1
PSE,2018,1.4,1.1.1
PSE,2019,1.5,1.1.1
PSE,2020,2.3,1.1.1
PSE,2021,2.2,1.1.1
PSE,2022,1.5,1.1.1
PSE,2023,2.0733,1.1.1
PSE,2024,4.8273,1.1.1
PSE,2025,4.63,1.1.1
PSE,2016,2.8,10.1.1
PSE,2023,2.9,10.1.1
PSE,2016,19.53763,11.0.0
PSE,2018,19.5,11.0.0
PSE,2020,19.5,11.0.0
PSE,2024,0.5652080774,16.0.0
PSE,2017,58.50833333,17.18.1
PSE,2018,67.03791667,17.18.1
PSE,2019,66.76291667,17.18.1
PSE,2020,73.19208333,17.18.1
PSE,2021,77.8625,17.18.1
PSE,2022,74.925,17.18.1
PSE,2023,76.3475,17.18.1
PSE,2024,74.40041667,17.18.1
PSE,2015,56.70000076,17.8.1
PSE,2016,59.90000153,17.8.1
PSE,2017,63.29999924,17.8.1
PSE,2018,64.39999371,17.8.1
PSE,2019,70.6225837,17.8.1
PSE,2020,76.18160248,17.8.1
PSE,2022,88.64690554,17.8.1
PSE,2023,86.63765334,17.8.1
PSE,2015,11.18620205,4.1.2
PSE,2016,11.19820118,4.1.2
PSE,2017,11.18506432,4.1.2
PSE,2018,11.4625988,4.1.2
PSE,2019,11.445158,4.1.2
PSE,2020,11.45763111,4.1.2
PSE,2021,11.33506107,4.1.2
PSE,2022,11.3738718,4.1.2
PSE,2023,11.37845898,4.1.2
PSE,2024,11.37845898,4.1.2
PSE,2025,11.37845898,4.1.2
PSE,2015,74.577,43.0.0
PSE,2016,74.917,43.0.0
PSE,2017,75.216,43.0.0
PSE,2018,75.38,43.0.0
PSE,2019,75.811,43.0.0
PSE,2020,74.998,43.0.0
PSE,2021,73.89,43.0.0
PSE,2022,76.662,43.0.0
PSE,2023,65.17,43.0.0
PSE,2024,69.213,43.0.0
PSE,2015,48.45,45.0.0
PSE,2016,48.45,45.0.0
PSE,2017,52.6,45.0.0
PSE,2018,48.2,45.0.0
PSE,2019,48.4,45.0.0
PSE,2020,49.4,45.0.0
PSE,2021,45.55,45.0.0
PSE,2022,44.7,45.0.0
PSE,2023,44.55,45.0.0
PSE,2015,1.310984139,47.0.0
PSE,2016,1.297375052,47.0.0
PSE,2017,1.290982876,47.0.0
PSE,2018,1.306273544,47.0.0
PSE,2019,1.424108591,47.0.0
PSE,2020,1.451547747,47.0.0
PSE,2021,1.464630257,47.0.0
PSE,2022,1.551872007,47.0.0
PSE,2023,1.489498821,47.0.0
PSE,2015,99.9,7.1.1
PSE,2016,100,7.1.1
PSE,2017,99.9,7.1.1
PSE,2018,100,7.1.1
PSE,2019,100,7.1.1
PSE,2020,100,7.1.1
PSE,2021,100,7.1.1
PSE,2022,100,7.1.1
PSE,2023,100,7.1.1
PSE,2015,18.935,8.5.1
PSE,2016,18.414,8.5.1
PSE,2017,18.675,8.5.1
PSE,2018,18.656,8.5.1
PSE,2019,19.472,8.5.1
PSE,2020,17.445,8.5.1
PSE,2021,18.638,8.5.1
PSE,2022,20.129,8.5.1
MEA,2022,95.9,7.1.1
MEA,2023,96.4,7.1.1
MEA,2015,93.4,7.1.1
MEA,2016,95.2,7.1.1
MEA,2017,96,7.1.1
MEA,2018,95,7.1.1
MEA,2019,96,7.1.1
MEA,2020,96.3,7.1.1
MEA,2021,96.4,7.1.1
MEA,2022,5.9,13.2.2
MEA,2023,5.9,13.2.2
MEA,2024,5.9,13.2.2
MEA,2015,5.8,13.2.2
MEA,2016,5.9,13.2.2
MEA,2017,5.9,13.2.2
MEA,2018,5.8,13.2.2
MEA,2019,5.8,13.2.2
MEA,2020,5.7,13.2.2
MEA,2021,5.8,13.2.2
MEA,2016,34.6,11.0.0
MEA,2018,34.2,11.0.0
MEA,2020,34,11.0.0
MEA,2022,31.9,11.0.0
MEA,2015,31.8,17.8.1
MEA,2016,35,17.8.1
MEA,2017,39.7,17.8.1
MEA,2018,42.3,17.8.1
MEA,2019,46,17.8.1
MEA,2020,50.6,17.8.1
MEA,2021,54.2,17.8.1
MEA,2022,57.8,17.8.1
MEA,2023,59.5,17.8.1
MEA,2024,61.5,17.8.1
MEA,2025,63.7,17.8.1
MEA,2015,11.2,1.1.1
MEA,2016,11,1.1.1
MEA,2017,10.9,1.1.1
MEA,2018,10.9,1.1.1
MEA,2019,11.7,1.1.1
MEA,2020,12.6,1.1.1
MEA,2021,13.5,1.1.1
MEA,2022,13.5,1.1.1
MEA,2023,13.9,1.1.1
MEA,2024,14.4,1.1.1
MEA,2025,14.7,1.1.1
MEA,2015,5,10.1.1
MEA,2016,5,10.1.1
MEA,2017,5,10.1.1
MEA,2018,5,10.1.1
MEA,2019,5.1,10.1.1
MEA,2020,5.3,10.1.1
MEA,2021,5.4,10.1.1
MEA,2022,5.3,10.1.1
MEA,2023,5.4,10.1.1
MEA,2024,5.4,10.1.1
