iso3c,year,value,indicator_sdg
ROU,2015,7.6,1.1.1
ROU,2016,5.2,1.1.1
ROU,2017,4.9,1.1.1
ROU,2018,3.7,1.1.1
ROU,2019,3.1,1.1.1
ROU,2020,2.5,1.1.1
ROU,2021,2,1.1.1
ROU,2022,1.4,1.1.1
ROU,2023,0.7,1.1.1
ROU,2024,0.7,1.1.1
ROU,2025,0.6,1.1.1
ROU,2015,3.9,10.1.1
ROU,2016,3.2,10.1.1
ROU,2017,3,10.1.1
ROU,2018,2.6,10.1.1
ROU,2019,2.3,10.1.1
ROU,2020,2.2,10.1.1
ROU,2021,1.9,10.1.1
ROU,2022,1.7,10.1.1
ROU,2023,1.3,10.1.1
ROU,2016,2.1,11.0.0
ROU,2018,1.9,11.0.0
ROU,2020,1.6,11.0.0
ROU,2022,2.5,11.0.0
ROU,2015,0.8,12.c.1
ROU,2016,0.9,12.c.1
ROU,2017,0.87,12.c.1
ROU,2018,0.58,12.c.1
ROU,2019,0.47,12.c.1
ROU,2020,0.33,12.c.1
ROU,2021,0.52,12.c.1
ROU,2022,0.37,12.c.1
ROU,2023,0.38,12.c.1
ROU,2024,0.37,12.c.1
ROU,2015,5.7,13.2.2
ROU,2016,5.7,13.2.2
ROU,2017,5.9,13.2.2
ROU,2018,6,13.2.2
ROU,2019,5.9,13.2.2
ROU,2020,5.6,13.2.2
ROU,2021,5.9,13.2.2
ROU,2022,5.6,13.2.2
ROU,2023,5.3,13.2.2
ROU,2024,5.3,13.2.2
ROU,2015,1.7,14.1.1
ROU,2016,3.7,14.1.1
ROU,2017,2.8,14.1.1
ROU,2018,2.3,14.1.1
ROU,2019,3.2,14.1.1
ROU,2020,1.1,14.1.1
ROU,2021,2.2,14.1.1
ROU,2022,7.9,14.1.1
ROU,2015,24.4,15.1.2
ROU,2016,24.3,15.1.2
ROU,2017,24.5,15.1.2
ROU,2018,24.5,15.1.2
ROU,2019,24.5,15.1.2
ROU,2020,24.5,15.1.2
ROU,2021,24.5,15.1.2
ROU,2022,24.5,15.1.2
ROU,2023,24.5,15.1.2
ROU,2024,24.6,15.1.2
ROU,2024,1.8,16.0.0
ROU,2017,72.5,17.18.1
ROU,2018,78.2,17.18.1
ROU,2019,79.2,17.18.1
ROU,2020,84.5,17.18.1
ROU,2021,82.6,17.18.1
ROU,2022,86.6,17.18.1
ROU,2023,88.6,17.18.1
ROU,2024,91,17.18.1
ROU,2015,55.8,17.8.1
ROU,2016,59.5,17.8.1
ROU,2017,63.7,17.8.1
ROU,2018,70.7,17.8.1
ROU,2019,73.7,17.8.1
ROU,2020,78.5,17.8.1
ROU,2021,83.6,17.8.1
ROU,2022,85.5,17.8.1
ROU,2023,89.2,17.8.1
ROU,2024,91.3,17.8.1
ROU,2017,99,18.0.0
ROU,2021,99.2,18.0.0
ROU,2015,2.5,2.1.1
ROU,2016,2.5,2.1.1
ROU,2017,2.5,2.1.1
ROU,2018,2.5,2.1.1
ROU,2019,2.5,2.1.1
ROU,2020,2.5,2.1.1
ROU,2021,2.5,2.1.1
ROU,2022,2.5,2.1.1
ROU,2023,2.5,2.1.1
ROU,2015,18,3.1.1
ROU,2016,17,3.1.1
ROU,2017,17,3.1.1
ROU,2018,15,3.1.1
ROU,2019,14,3.1.1
ROU,2020,16,3.1.1
ROU,2021,20,3.1.1
ROU,2022,13,3.1.1
ROU,2023,12,3.1.1
ROU,2015,9.2,3.2.1
ROU,2016,8.5,3.2.1
ROU,2017,7.9,3.2.1
ROU,2018,7.3,3.2.1
ROU,2019,6.8,3.2.1
ROU,2020,6.6,3.2.1
ROU,2021,6.5,3.2.1
ROU,2022,6.6,3.2.1
ROU,2023,6.6,3.2.1
ROU,2015,4.3,3.2.2
ROU,2016,3.9,3.2.2
ROU,2017,3.6,3.2.2
ROU,2018,3.3,3.2.2
ROU,2019,3.2,3.2.2
ROU,2020,3.1,3.2.2
ROU,2021,3.1,3.2.2
ROU,2022,3.2,3.2.2
ROU,2023,3.3,3.2.2
ROU,2015,11.7,4.1.2
ROU,2016,11.6,4.1.2
