iso3c,year,value,indicator_sdg
SMR,2023,0.5962866545,16.0.0
SMR,2016,55,17.8.1
SMR,2017,60.18230057,17.8.1
SMR,2019,67.85070038,17.8.1
SMR,2020,77.94999695,17.8.1
SMR,2021,81.66999817,17.8.1
SMR,2022,97.32790375,17.8.1
SMR,2023,97.33640289,17.8.1
SMR,2024,97.35220337,17.8.1
SMR,2015,10.48322773,4.1.2
SMR,2016,10.48322773,4.1.2
SMR,2017,10.48322773,4.1.2
SMR,2018,10.66122913,4.1.2
SMR,2019,10.65173054,4.1.2
SMR,2020,10.66715527,4.1.2
SMR,2021,10.5197506,4.1.2
SMR,2022,10.58187485,4.1.2
SMR,2023,10.50463581,4.1.2
SMR,2024,10.63531303,4.1.2
SMR,2025,10.63531303,4.1.2
SMR,2015,0.1157204041,42.0.0
SMR,2016,0.1129048467,42.0.0
SMR,2017,0.1153281176,42.0.0
SMR,2018,0.1130186111,42.0.0
SMR,2019,0.1093468909,42.0.0
SMR,2020,0.1063175788,42.0.0
SMR,2021,0.0929248165,42.0.0
SMR,2022,0.08276236289,42.0.0
SMR,2023,0.08063785906,42.0.0
SMR,2015,84.596,43.0.0
SMR,2016,84.775,43.0.0
SMR,2017,84.933,43.0.0
SMR,2018,85.095,43.0.0
SMR,2019,85.257,43.0.0
SMR,2020,82.65,43.0.0
SMR,2021,83.539,43.0.0
SMR,2022,85.708,43.0.0
SMR,2023,85.706,43.0.0
SMR,2024,85.817,43.0.0
SMR,2015,100,7.1.1
SMR,2016,100,7.1.1
SMR,2017,100,7.1.1
SMR,2018,100,7.1.1
SMR,2019,100,7.1.1
SMR,2020,100,7.1.1
SMR,2021,100,7.1.1
SMR,2022,100,7.1.1
SMR,2023,100,7.1.1
ECS,2015,99.2,7.1.1
ECS,2016,99.8,7.1.1
ECS,2017,100,7.1.1
ECS,2018,100,7.1.1
ECS,2019,100,7.1.1
ECS,2020,100,7.1.1
ECS,2021,100,7.1.1
ECS,2022,100,7.1.1
ECS,2023,100,7.1.1
ECS,2016,9.3,13.2.2
ECS,2017,9.4,13.2.2
ECS,2018,9.4,13.2.2
ECS,2019,9.2,13.2.2
ECS,2020,8.7,13.2.2
ECS,2021,9.2,13.2.2
ECS,2022,8.9,13.2.2
ECS,2023,8.7,13.2.2
ECS,2024,8.7,13.2.2
ECS,2015,9.3,13.2.2
ECS,2016,2.8,11.0.0
ECS,2018,2.9,11.0.0
ECS,2020,2.9,11.0.0
ECS,2022,2.8,11.0.0
ECS,2015,69.9,17.8.1
ECS,2016,72.3,17.8.1
ECS,2017,74.5,17.8.1
ECS,2018,78.1,17.8.1
ECS,2019,80.3,17.8.1
ECS,2020,83.4,17.8.1
ECS,2021,86.3,17.8.1
ECS,2022,87.9,17.8.1
ECS,2023,89.6,17.8.1
ECS,2024,90.9,17.8.1
ECS,2025,92.4,17.8.1
ECS,2015,1.5,1.1.1
ECS,2016,1.3,1.1.1
ECS,2017,1.2,1.1.1
ECS,2018,1,1.1.1
ECS,2019,0.9,1.1.1
ECS,2020,1,1.1.1
ECS,2021,0.9,1.1.1
ECS,2022,0.8,1.1.1
ECS,2023,0.7,1.1.1
ECS,2024,0.6,1.1.1
ECS,2025,0.5,1.1.1
ECS,2015,1.8,10.1.1
ECS,2016,1.8,10.1.1
ECS,2017,1.7,10.1.1
ECS,2018,1.6,10.1.1
ECS,2019,1.6,10.1.1
ECS,2020,1.6,10.1.1
ECS,2021,1.5,10.1.1
ECS,2022,1.4,10.1.1
ECS,2023,1.3,10.1.1
ECS,2024,1.3,10.1.1
ECS,2015,62.7,8.5.1
ECS,2016,63.2,8.5.1
ECS,2017,63.5,8.5.1
ECS,2018,63.8,8.5.1
ECS,2019,64,8.5.1
ECS,2020,63.3,8.5.1
ECS,2021,64.3,8.5.1
ECS,2022,65.4,8.5.1
ECS,2023,66,8.5.1
ECS,2024,66.3,8.5.1
ECS,2025,66.3,8.5.1
HIC,2015,99.4,7.1.1
HIC,2016,99.9,7.1.1
HIC,2017,100,7.1.1
HIC,2018,100,7.1.1
HIC,2019,99.9,7.1.1
HIC,2020,100,7.1.1
HIC,2021,100,7.1.1
HIC,2022,100,7.1.1
HIC,2023,100,7.1.1
HIC,2015,13.8,13.2.2
HIC,2016,13.7,13.2.2
HIC,2017,13.6,13.2.2
HIC,2018,13.7,13.2.2
HIC,2019,13.4,13.2.2
HIC,2020,12.5,13.2.2
HIC,2021,13.1,13.2.2
HIC,2022,13,13.2.2
HIC,2023,12.6,13.2.2
HIC,2024,12.5,13.2.2
HIC,2016,1.1,11.0.0
HIC,2018,1.1,11.0.0
HIC,2020,0.9,11.0.0
HIC,2022,1.1,11.0.0
HIC,2016,73,17.18.1
HIC,2017,74.3,17.18.1
HIC,2018,77.8,17.18.1
HIC,2019,78.2,17.18.1
HIC,2020,77.8,17.18.1
HIC,2021,82.4,17.18.1
HIC,2023,82,17.18.1
HIC,2024,80.9,17.18.1
HIC,2022,80.3,17.18.1
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.3,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.4,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91,17.8.1
HIC,2023,91.9,17.8.1
HIC,2024,93,17.8.1
HIC,2025,94.2,17.8.1
HIC,2015,0.8,1.1.1
HIC,2016,0.8,1.1.1
HIC,2017,0.7,1.1.1
HIC,2018,0.7,1.1.1
HIC,2019,0.7,1.1.1
HIC,2020,0.5,1.1.1
HIC,2021,0.5,1.1.1
HIC,2022,0.7,1.1.1
