iso3c,year,value,indicator_sdg
SRB,2015,8.4,1.1.1
SRB,2016,8.1,1.1.1
SRB,2017,6.6,1.1.1
SRB,2018,4.1,1.1.1
SRB,2019,2.7,1.1.1
SRB,2020,2,1.1.1
SRB,2021,1.7,1.1.1
SRB,2022,2,1.1.1
SRB,2023,2,1.1.1
SRB,2024,1.9,1.1.1
SRB,2025,1.8,1.1.1
SRB,2015,6.1,10.1.1
SRB,2016,6.2,10.1.1
SRB,2017,5.3,10.1.1
SRB,2018,3.6,10.1.1
SRB,2019,3.1,10.1.1
SRB,2020,2.5,10.1.1
SRB,2021,2.4,10.1.1
SRB,2022,2.4,10.1.1
SRB,2016,0.4,11.0.0
SRB,2018,0.4,11.0.0
SRB,2020,0.3,11.0.0
SRB,2022,1.4,11.0.0
SRB,2015,0.17,12.c.1
SRB,2016,0.08,12.c.1
SRB,2017,1.11,12.c.1
SRB,2018,1.18,12.c.1
SRB,2019,1.05,12.c.1
SRB,2020,0.98,12.c.1
SRB,2021,2.09,12.c.1
SRB,2022,4.1,12.c.1
SRB,2023,2.26,12.c.1
SRB,2024,1.99,12.c.1
SRB,2015,6.7,15.1.2
SRB,2016,6.6,15.1.2
SRB,2017,6.6,15.1.2
SRB,2018,6.6,15.1.2
SRB,2019,7.6,15.1.2
SRB,2020,7.6,15.1.2
SRB,2021,7.6,15.1.2
SRB,2022,8.1,15.1.2
SRB,2023,8.1,15.1.2
SRB,2024,13.4,15.1.2
SRB,2024,2.3,16.0.0
SRB,2016,68.8,17.18.1
SRB,2017,73.7,17.18.1
SRB,2018,75.3,17.18.1
SRB,2019,75.8,17.18.1
SRB,2020,80.9,17.18.1
SRB,2021,81.1,17.18.1
SRB,2022,79.8,17.18.1
SRB,2023,84.1,17.18.1
SRB,2024,80.5,17.18.1
SRB,2015,65.3,17.8.1
SRB,2016,67.1,17.8.1
SRB,2017,70.3,17.8.1
SRB,2018,73.4,17.8.1
SRB,2019,77.4,17.8.1
SRB,2020,78.4,17.8.1
SRB,2021,81.2,17.8.1
SRB,2022,83.5,17.8.1
SRB,2023,85.4,17.8.1
SRB,2024,87.7,17.8.1
SRB,2017,96.7,18.0.0
SRB,2021,99.3,18.0.0
SRB,2024,95.9,18.0.0
SRB,2015,2.5,2.1.1
SRB,2016,2.5,2.1.1
SRB,2017,2.5,2.1.1
SRB,2018,2.5,2.1.1
