iso3c,year,value,indicator_sdg
SYC,2015,1.3,1.1.1
SYC,2016,0.9,1.1.1
SYC,2017,0.8,1.1.1
SYC,2018,0.7,1.1.1
SYC,2019,0.7,1.1.1
SYC,2020,0.7,1.1.1
SYC,2021,0.7,1.1.1
SYC,2022,0.6736,1.1.1
SYC,2023,0.6736,1.1.1
SYC,2024,0.6736,1.1.1
SYC,2025,0.6736,1.1.1
SYC,2018,1.8,10.1.1
SYC,2016,56.84264,11.0.0
SYC,2018,53.3709,11.0.0
SYC,2020,51.93824,11.0.0
SYC,2022,48.68591,11.0.0
SYC,2015,11.44842056,13.2.2
SYC,2016,12.56588189,13.2.2
SYC,2017,12.98790731,13.2.2
SYC,2018,11.29989045,13.2.2
SYC,2019,10.06709347,13.2.2
SYC,2020,9.429018301,13.2.2
SYC,2021,8.862761692,13.2.2
SYC,2022,7.818782429,13.2.2
SYC,2023,7.808103663,13.2.2
SYC,2024,8.045882295,13.2.2
SYC,2024,1.824266553,16.0.0
SYC,2017,52.97833333,17.18.1
SYC,2018,57.57541667,17.18.1
SYC,2019,59.90916667,17.18.1
SYC,2020,61.85166667,17.18.1
SYC,2021,60.28583333,17.18.1
SYC,2022,59.34916667,17.18.1
SYC,2023,59.99791667,17.18.1
SYC,2024,64.53375,17.18.1
SYC,2015,54.25960159,17.8.1
SYC,2016,56.51470184,17.8.1
SYC,2017,62.55310059,17.8.1
SYC,2018,69.23660278,17.8.1
SYC,2019,76.63420105,17.8.1
SYC,2020,79.25170135,17.8.1
SYC,2021,81.99530029,17.8.1
SYC,2022,84.83380127,17.8.1
SYC,2023,86.001297,17.8.1
SYC,2024,87.81800079,17.8.1
SYC,2015,12.50776482,4.1.2
SYC,2016,12.6578207,4.1.2
SYC,2017,12.66318321,4.1.2
SYC,2018,12.69541359,4.1.2
SYC,2019,12.62615585,4.1.2
SYC,2020,12.62584877,4.1.2
SYC,2021,12.61593723,4.1.2
SYC,2022,12.57279205,4.1.2
SYC,2023,12.53273869,4.1.2
SYC,2024,12.44382477,4.1.2
SYC,2025,12.44382477,4.1.2
SYC,2015,0.2014721469,42.0.0
SYC,2016,0.1966986415,42.0.0
SYC,2017,0.1888966933,42.0.0
SYC,2018,0.1834266264,42.0.0
SYC,2019,0.1707576217,42.0.0
SYC,2020,0.1958240637,42.0.0
SYC,2021,0.1947314555,42.0.0
SYC,2022,0.2101440496,42.0.0
SYC,2023,0.2066091747,42.0.0
SYC,2024,0.2037416129,42.0.0
SYC,2015,72.285,43.0.0
SYC,2016,72.246,43.0.0
SYC,2017,72.232,43.0.0
SYC,2018,72.176,43.0.0
SYC,2019,72.123,43.0.0
SYC,2020,74.091,43.0.0
SYC,2021,71.22,43.0.0
SYC,2022,71.248,43.0.0
