iso3c,year,value,indicator_sdg
TCA,2022,0.6313,11.0.0
TCA,2015,2.494194782,13.2.2
TCA,2016,2.56557484,13.2.2
TCA,2017,2.457845815,13.2.2
TCA,2018,4.848528598,13.2.2
TCA,2019,5.381550294,13.2.2
TCA,2020,5.069165953,13.2.2
TCA,2021,4.95767301,13.2.2
TCA,2022,5.005780095,13.2.2
TCA,2023,4.978570501,13.2.2
TCA,2024,5.110132159,13.2.2
TCA,2015,10.85213947,4.1.2
TCA,2016,10.85213947,4.1.2
TCA,2017,10.88967896,4.1.2
TCA,2018,11.1216774,4.1.2
TCA,2019,11.54921627,4.1.2
TCA,2020,11.28427315,4.1.2
TCA,2021,11.70950699,4.1.2
TCA,2022,11.72403526,4.1.2
TCA,2023,12.34656715,4.1.2
TCA,2024,12.06346989,4.1.2
TCA,2025,12.06346989,4.1.2
TCA,2015,0.5129664048,42.0.0
TCA,2016,0.503457962,42.0.0
TCA,2017,0.3070283698,42.0.0
TCA,2018,0.2963467097,42.0.0
TCA,2019,0.2822841449,42.0.0
TCA,2020,0.4208038088,42.0.0
TCA,2021,0.3272670753,42.0.0
TCA,2022,0.2899499535,42.0.0
TCA,2023,0.2569828564,42.0.0
TCA,2024,0.2535672927,42.0.0
TCA,2015,77.321,43.0.0
TCA,2016,77.437,43.0.0
TCA,2017,77.505,43.0.0
TCA,2018,77.596,43.0.0
TCA,2019,77.691,43.0.0
TCA,2020,77.499,43.0.0
TCA,2021,77.234,43.0.0
TCA,2022,77.918,43.0.0
TCA,2023,78.008,43.0.0
TCA,2024,78.181,43.0.0
TCA,2015,6.202622593,47.0.0
TCA,2016,6.265092001,47.0.0
TCA,2017,5.92037682,47.0.0
TCA,2018,6.087730696,47.0.0
TCA,2019,6.217856646,47.0.0
TCA,2020,5.278691479,47.0.0
TCA,2021,6.144596954,47.0.0
TCA,2022,6.451239994,47.0.0
TCA,2023,6.485129226,47.0.0
TCA,2016,47.22443832,61.1.0
TCA,2017,47.19711463,61.1.0
TCA,2018,47.17151657,61.1.0
TCA,2019,47.14765365,61.1.0
TCA,2020,47.12533789,61.1.0
TCA,2021,47.104477,61.1.0
TCA,2022,47.08507505,61.1.0
TCA,2023,47.06685934,61.1.0
TCA,2024,47.04991877,61.1.0
TCA,2016,86.61068859,61.2.0
TCA,2017,86.68059186,61.2.0
TCA,2018,86.74605808,61.2.0
TCA,2019,86.80710499,61.2.0
TCA,2020,86.86418907,61.2.0
TCA,2021,86.91754108,61.2.0
TCA,2022,86.96716677,61.2.0
TCA,2023,87.0137699,61.2.0
TCA,2024,87.05710827,61.2.0
TCA,2016,98.10719014,61.3.0
TCA,2017,98.12047405,61.3.0
TCA,2018,98.13290599,61.3.0
TCA,2019,98.14450589,61.3.0
TCA,2020,98.15535089,61.3.0
TCA,2021,98.16548274,61.3.0
TCA,2022,98.17490889,61.3.0
TCA,2023,98.18376545,61.3.0
TCA,2024,98.19200062,61.3.0
TCA,2015,100,7.1.1
TCA,2016,100,7.1.1
TCA,2017,100,7.1.1
TCA,2018,100,7.1.1
TCA,2019,100,7.1.1
TCA,2020,99.4,7.1.1
TCA,2021,100,7.1.1
TCA,2022,99.9,7.1.1
TCA,2023,100,7.1.1
LCN,2015,97.3,7.1.1
LCN,2016,97.5,7.1.1
LCN,2017,97.7,7.1.1
LCN,2018,97.8,7.1.1
LCN,2019,98,7.1.1
LCN,2020,98.1,7.1.1
LCN,2021,98.3,7.1.1
LCN,2022,98.6,7.1.1
LCN,2023,98.4,7.1.1
LCN,2015,5.5,13.2.2
LCN,2016,5.5,13.2.2
LCN,2017,5.4,13.2.2
LCN,2018,5.3,13.2.2
LCN,2019,5.3,13.2.2
LCN,2020,5,13.2.2
LCN,2021,5.2,13.2.2
LCN,2022,5.3,13.2.2
LCN,2023,5.3,13.2.2
LCN,2024,5.3,13.2.2
LCN,2016,17.8,11.0.0
LCN,2022,18.9,11.0.0
LCN,2024,81.7,17.8.1
LCN,2025,83.7,17.8.1
LCN,2020,73.8,17.8.1
LCN,2021,75.8,17.8.1
LCN,2022,77.1,17.8.1
LCN,2023,80,17.8.1
LCN,2015,54.4,17.8.1
LCN,2016,57.5,17.8.1
LCN,2017,60.2,17.8.1
LCN,2018,63.5,17.8.1
LCN,2019,67.8,17.8.1
LCN,2015,5.8,1.1.1
LCN,2016,6.2,1.1.1
LCN,2017,6.2,1.1.1
LCN,2018,6.1,1.1.1
LCN,2019,6.2,1.1.1
LCN,2020,5.9,1.1.1
LCN,2021,6.3,1.1.1
LCN,2022,5.1,1.1.1
LCN,2023,4.6,1.1.1
LCN,2024,4.3,1.1.1
LCN,2025,4.1,1.1.1
LCN,2020,3.6,10.1.1
LCN,2021,3.6,10.1.1
LCN,2022,3.3,10.1.1
LCN,2023,3.2,10.1.1
LCN,2024,3.1,10.1.1
LCN,2015,3.6,10.1.1
LCN,2016,3.6,10.1.1
LCN,2017,3.6,10.1.1
LCN,2018,3.6,10.1.1
LCN,2019,3.6,10.1.1
LCN,2015,55.5,8.5.1
LCN,2016,55.8,8.5.1
LCN,2017,56.2,8.5.1
LCN,2018,56.7,8.5.1
LCN,2019,57.4,8.5.1
LCN,2020,53.1,8.5.1
LCN,2021,56,8.5.1
LCN,2022,57,8.5.1
LCN,2023,57.2,8.5.1
LCN,2024,57.5,8.5.1
LCN,2025,57.7,8.5.1
HIC,2015,99.4,7.1.1
HIC,2016,99.9,7.1.1
HIC,2017,100,7.1.1
HIC,2018,100,7.1.1
HIC,2019,99.9,7.1.1
HIC,2020,100,7.1.1
HIC,2021,100,7.1.1
HIC,2022,100,7.1.1
HIC,2023,100,7.1.1
HIC,2015,13.8,13.2.2
HIC,2016,13.7,13.2.2
HIC,2017,13.6,13.2.2
HIC,2018,13.7,13.2.2
HIC,2019,13.4,13.2.2
HIC,2020,12.5,13.2.2
HIC,2021,13.1,13.2.2
HIC,2022,13,13.2.2
HIC,2023,12.6,13.2.2
HIC,2024,12.5,13.2.2
HIC,2016,1.1,11.0.0
HIC,2018,1.1,11.0.0
HIC,2020,0.9,11.0.0
HIC,2022,1.1,11.0.0
HIC,2016,73,17.18.1
HIC,2017,74.3,17.18.1
HIC,2018,77.8,17.18.1
HIC,2019,78.2,17.18.1
HIC,2020,77.8,17.18.1
HIC,2021,82.4,17.18.1
HIC,2023,82,17.18.1
HIC,2024,80.9,17.18.1
HIC,2022,80.3,17.18.1
HIC,2015,78.3,17.8.1
HIC,2016,82.5,17.8.1
HIC,2017,84.2,17.8.1
HIC,2018,86.3,17.8.1
HIC,2019,87.5,17.8.1
HIC,2020,88.4,17.8.1
HIC,2021,90,17.8.1
HIC,2022,91,17.8.1
HIC,2023,91.9,17.8.1
HIC,2024,93,17.8.1
HIC,2025,94.2,17.8.1
HIC,2015,0.8,1.1.1
HIC,2016,0.8,1.1.1
HIC,2017,0.7,1.1.1
HIC,2018,0.7,1.1.1
HIC,2019,0.7,1.1.1
HIC,2020,0.5,1.1.1
HIC,2021,0.5,1.1.1
HIC,2022,0.7,1.1.1
HIC,2023,0.6,1.1.1
HIC,2024,0.6,1.1.1
HIC,2025,0.6,1.1.1
HIC,2022,1.1,10.1.1
HIC,2023,1.1,10.1.1
HIC,2024,1,10.1.1
HIC,2015,1.2,10.1.1
HIC,2016,1.2,10.1.1
HIC,2017,1.2,10.1.1
HIC,2018,1.2,10.1.1
HIC,2019,1.1,10.1.1
HIC,2020,1,10.1.1
HIC,2021,0.9,10.1.1
HIC,2022,68.7,8.5.1
HIC,2023,69.4,8.5.1
HIC,2024,69.6,8.5.1
HIC,2025,69.7,8.5.1
HIC,2015,65.4,8.5.1
HIC,2016,65.9,8.5.1
HIC,2017,66.4,8.5.1
HIC,2018,66.9,8.5.1
HIC,2019,67.5,8.5.1
HIC,2020,66.9,8.5.1
HIC,2021,67.8,8.5.1
