iso3c,year,value,indicator_sdg
TLS,2015,43.8,1.1.1
TLS,2016,43.1,1.1.1
TLS,2017,46.4,1.1.1
TLS,2018,47.9,1.1.1
TLS,2019,35.3,1.1.1
TLS,2020,21,1.1.1
TLS,2021,19.6,1.1.1
TLS,2022,48.9034,1.1.1
TLS,2023,48.321,1.1.1
TLS,2024,46.8832,1.1.1
TLS,2025,45.4468,1.1.1
TLS,2016,37.9,11.0.0
TLS,2018,33.9,11.0.0
TLS,2020,33.9,11.0.0
TLS,2022,33.92051,11.0.0
TLS,2015,1.835070212,13.2.2
TLS,2016,1.641276809,13.2.2
TLS,2017,1.514177085,13.2.2
TLS,2018,1.474498789,13.2.2
TLS,2019,1.621513592,13.2.2
TLS,2020,1.443456634,13.2.2
TLS,2021,1.401707528,13.2.2
TLS,2022,1.411602321,13.2.2
TLS,2023,1.355933673,13.2.2
TLS,2024,1.38515448,13.2.2
TLS,2024,0.008559728973,16.0.0
TLS,2017,48.83875,17.18.1
TLS,2018,54.94833333,17.18.1
TLS,2019,56.37875,17.18.1
TLS,2020,55.93125,17.18.1
TLS,2021,57.99375,17.18.1
TLS,2022,60.42333333,17.18.1
TLS,2023,61.80083333,17.18.1
TLS,2024,60.51666667,17.18.1
TLS,2015,18.60000038,17.8.1
TLS,2016,21.20000076,17.8.1
TLS,2017,24.20000076,17.8.1
TLS,2018,27.60000038,17.8.1
TLS,2019,28.00460052,17.8.1
TLS,2020,32.01269913,17.8.1
TLS,2021,35.04199982,17.8.1
TLS,2015,7.591899872,4.1.2
TLS,2016,7.936800003,4.1.2
TLS,2017,8.235799789,4.1.2
TLS,2018,8.291399956,4.1.2
TLS,2019,8.454500198,4.1.2
TLS,2020,8.503000259,4.1.2
TLS,2021,8.705699921,4.1.2
TLS,2022,8.982000351,4.1.2
TLS,2023,8.982000351,4.1.2
TLS,2024,8.982000351,4.1.2
TLS,2025,8.982000351,4.1.2
TLS,2015,0.4085965424,42.0.0
TLS,2016,0.378627535,42.0.0
TLS,2017,0.387348599,42.0.0
TLS,2018,0.3610993428,42.0.0
TLS,2019,0.3298730805,42.0.0
TLS,2020,0.2275543704,42.0.0
TLS,2021,0.2159578616,42.0.0
TLS,2022,0.2867417436,42.0.0
TLS,2023,0.3502655757,42.0.0
TLS,2024,0.3779939193,42.0.0
TLS,2015,65.326,43.0.0
TLS,2016,65.61,43.0.0
TLS,2017,65.898,43.0.0
TLS,2018,66.204,43.0.0
TLS,2019,66.496,43.0.0
TLS,2020,66.919,43.0.0
TLS,2021,66.199,43.0.0
TLS,2022,67.368,43.0.0
TLS,2023,67.689,43.0.0
TLS,2024,67.904,43.0.0
TLS,2015,73.8,45.0.0
TLS,2016,75.3,45.0.0
TLS,2017,74.2,45.0.0
TLS,2018,74.6,45.0.0
TLS,2019,75.6,45.0.0
TLS,2020,75.3,45.0.0
TLS,2021,77,45.0.0
TLS,2022,78,45.0.0
TLS,2023,77.8,45.0.0
TLS,2015,0.2732483025,47.0.0
TLS,2016,0.3196256326,47.0.0
TLS,2017,0.3249868379,47.0.0
TLS,2018,0.3337042961,47.0.0
TLS,2019,0.3739074288,47.0.0
TLS,2020,0.3537852559,47.0.0
TLS,2021,0.3546531135,47.0.0
TLS,2022,0.3570399366,47.0.0
TLS,2023,0.3584288218,47.0.0
TLS,2015,67.3,7.1.1
TLS,2016,76.5,7.1.1
TLS,2017,79.5,7.1.1
TLS,2018,85.2,7.1.1
TLS,2019,90.6,7.1.1
TLS,2020,96,7.1.1
TLS,2021,100,7.1.1
TLS,2022,99.7,7.1.1
TLS,2023,100,7.1.1
TLS,2015,61.471,8.5.1
TLS,2016,61.426,8.5.1
TLS,2017,61.702,8.5.1
TLS,2018,61.874,8.5.1
TLS,2019,61.102,8.5.1
TLS,2020,60.524,8.5.1
TLS,2021,61.075,8.5.1
TLS,2022,61.422,8.5.1
TLS,2023,61.202,8.5.1
TLS,2024,61.836,8.5.1
TLS,2025,62.054,8.5.1
EAS,2015,97,7.1.1
EAS,2016,97,7.1.1
EAS,2017,97.7,7.1.1
EAS,2018,97.7,7.1.1
EAS,2019,97.9,7.1.1
EAS,2020,97.8,7.1.1
EAS,2021,98.2,7.1.1
EAS,2022,98.2,7.1.1
EAS,2023,98.4,7.1.1
EAS,2023,9,13.2.2
EAS,2024,9.1,13.2.2
EAS,2015,8,13.2.2
EAS,2016,7.9,13.2.2
EAS,2017,8.1,13.2.2
EAS,2018,8.3,13.2.2
EAS,2019,8.4,13.2.2
EAS,2020,8.4,13.2.2
EAS,2021,8.7,13.2.2
EAS,2022,8.7,13.2.2
EAS,2022,23.3,11.0.0
EAS,2015,48.3,17.8.1
EAS,2016,53.9,17.8.1
EAS,2017,57.8,17.8.1
EAS,2018,62.5,17.8.1
EAS,2019,67.1,17.8.1
EAS,2020,73.9,17.8.1
EAS,2021,78.8,17.8.1
EAS,2022,82.4,17.8.1
EAS,2023,84.9,17.8.1
EAS,2024,86.6,17.8.1
EAS,2025,88.4,17.8.1
EAS,2015,5.9,1.1.1
EAS,2016,4.9,1.1.1
EAS,2017,4,1.1.1
EAS,2018,3.1,1.1.1
EAS,2019,2.3,1.1.1
EAS,2020,2.4,1.1.1
EAS,2021,2.3,1.1.1
EAS,2022,2.1,1.1.1
EAS,2023,1.9,1.1.1
EAS,2024,1.7,1.1.1
EAS,2025,1.5,1.1.1
EAS,2015,3.8,10.1.1
EAS,2016,3.6,10.1.1
EAS,2017,3.4,10.1.1
EAS,2018,3.2,10.1.1
EAS,2019,3.1,10.1.1
EAS,2020,3.1,10.1.1
EAS,2021,2.9,10.1.1
EAS,2022,2.9,10.1.1
EAS,2023,2.8,10.1.1
EAS,2024,2.7,10.1.1
EAS,2015,66.5,8.5.1
EAS,2016,66.6,8.5.1
EAS,2017,66.6,8.5.1
EAS,2018,66.9,8.5.1
EAS,2019,67,8.5.1
EAS,2020,65.8,8.5.1
EAS,2021,66.9,8.5.1
EAS,2022,66.9,8.5.1
EAS,2023,67.4,8.5.1
EAS,2024,67.1,8.5.1
EAS,2025,67,8.5.1
LMC,2015,80.7,7.1.1
LMC,2016,82.7,7.1.1
LMC,2017,84.7,7.1.1
LMC,2018,86.9,7.1.1
LMC,2019,87.6,7.1.1
LMC,2020,88.4,7.1.1
LMC,2021,90.6,7.1.1
LMC,2022,90.6,7.1.1
LMC,2023,91.3,7.1.1
LMC,2015,2.3,13.2.2
LMC,2016,2.3,13.2.2
LMC,2017,2.4,13.2.2
LMC,2018,2.4,13.2.2
LMC,2019,2.4,13.2.2
LMC,2020,2.4,13.2.2
LMC,2021,2.4,13.2.2
LMC,2022,2.5,13.2.2
LMC,2023,2.6,13.2.2
LMC,2024,2.6,13.2.2
LMC,2018,25.4,11.0.0
LMC,2016,51.3,17.18.1
LMC,2017,54.4,17.18.1
LMC,2018,56.6,17.18.1
LMC,2019,56.9,17.18.1
LMC,2020,59.2,17.18.1
LMC,2021,63.9,17.18.1
LMC,2022,63,17.18.1
LMC,2023,64.2,17.18.1
LMC,2024,64.1,17.18.1
LMC,2015,19.5,17.8.1
LMC,2016,21.9,17.8.1
LMC,2017,24.4,17.8.1
LMC,2018,27.2,17.8.1
LMC,2019,33.4,17.8.1
LMC,2020,42.5,17.8.1
LMC,2021,47.4,17.8.1
LMC,2022,52.3,17.8.1
LMC,2023,55.4,17.8.1
LMC,2024,58.9,17.8.1
LMC,2025,62.9,17.8.1
LMC,2015,18,1.1.1
LMC,2016,16.4,1.1.1
LMC,2017,15.1,1.1.1
LMC,2018,14.1,1.1.1
LMC,2019,13.6,1.1.1
LMC,2020,15,1.1.1
LMC,2021,14.5,1.1.1
LMC,2022,13.6,1.1.1
LMC,2023,12.8,1.1.1
