iso3c,year,value,indicator_sdg
TUV,2015,6.4,1.1.1
TUV,2016,5.7,1.1.1
TUV,2017,4.8,1.1.1
TUV,2018,4.3,1.1.1
TUV,2019,2.7,1.1.1
TUV,2020,3.1,1.1.1
TUV,2021,2.7,1.1.1
TUV,2022,2.7,1.1.1
TUV,2023,2.3,1.1.1
TUV,2024,1.4,1.1.1
TUV,2025,1.1,1.1.1
TUV,2015,0.3466204506,13.2.2
TUV,2016,0.3568161025,13.2.2
TUV,2017,0.3588186586,13.2.2
TUV,2018,0.3627569528,13.2.2
TUV,2019,0.3685851999,13.2.2
TUV,2020,0.3750360612,13.2.2
TUV,2021,0.3825779871,13.2.2
TUV,2022,0.4003202562,13.2.2
TUV,2023,0.4074979625,13.2.2
TUV,2015,1.36172,14.1.1
TUV,2016,0.62333,14.1.1
TUV,2017,0.02084,14.1.1
TUV,2018,0.01991,14.1.1
TUV,2019,0.031,14.1.1
TUV,2020,0.06586,14.1.1
TUV,2021,0.89609,14.1.1
TUV,2022,0.05189,14.1.1
TUV,2015,2,15.1.2
TUV,2016,2,15.1.2
TUV,2017,2,15.1.2
TUV,2018,2,15.1.2
TUV,2019,13.2,15.1.2
TUV,2020,13.2,15.1.2
TUV,2021,13.2,15.1.2
TUV,2022,13.2,15.1.2
TUV,2023,13.2,15.1.2
TUV,2024,20.2,15.1.2
TUV,2022,41.0925,17.18.1
TUV,2023,42.35875,17.18.1
TUV,2015,27.3,17.8.1
TUV,2016,31,17.8.1
TUV,2017,35.2,17.8.1
TUV,2018,42.2865,17.8.1
TUV,2019,50.7996,17.8.1
TUV,2020,61.0265,17.8.1
TUV,2021,73.3124,17.8.1
TUV,2022,73.5846,17.8.1
TUV,2023,74.3146,17.8.1
TUV,2015,52,3.8.1
TUV,2017,52,3.8.1
TUV,2019,52,3.8.1
TUV,2021,52,3.8.1
TUV,2015,104.7393417,4.1.2
TUV,2016,99.51690674,4.1.2
TUV,2018,92.45282745,4.1.2
TUV,2019,90.14084507,4.1.2
TUV,2020,108.1339713,4.1.2
TUV,2021,112.3762376,4.1.2
TUV,2022,118.4210526,4.1.2
TUV,2023,106.9306931,4.1.2
TUV,2024,95.14563107,4.1.2
TUV,2015,8.397683471,6.1.1
TUV,2016,8.446299319,6.1.1
TUV,2017,8.493390468,6.1.1
TUV,2018,8.53905946,6.1.1
TUV,2019,8.583255089,6.1.1
TUV,2020,8.625977168,6.1.1
TUV,2021,8.667275936,6.1.1
TUV,2022,8.707100612,6.1.1
TUV,2015,98.1,7.1.1
TUV,2016,97.3,7.1.1
TUV,2017,98.7,7.1.1
TUV,2018,99,7.1.1
TUV,2019,99.7,7.1.1
TUV,2020,99.4,7.1.1
TUV,2021,99.7,7.1.1
TUV,2022,100,7.1.1
TUV,2023,100,7.1.1
TUV,2015,3357.834177,8.1.1
TUV,2016,3558.61213,8.1.1
TUV,2017,3666.201897,8.1.1
TUV,2018,3757.859973,8.1.1
TUV,2019,4345.996065,8.1.1
TUV,2020,4233.018321,8.1.1
TUV,2021,4396.048945,8.1.1
TUV,2022,4515.297015,8.1.1
TUV,2023,4773.340855,8.1.1
EAS,2015,96.95005996,7.1.1
EAS,2016,97.03439658,7.1.1
EAS,2017,97.69153593,7.1.1
EAS,2018,97.66096407,7.1.1
EAS,2019,97.87525581,7.1.1
EAS,2020,97.79762097,7.1.1
EAS,2021,98.15342591,7.1.1
EAS,2022,98.21392948,7.1.1
EAS,2023,98.40448808,7.1.1
EAS,2015,8.107571004,13.2.2
EAS,2016,8.076957237,13.2.2
EAS,2017,8.194514964,13.2.2
EAS,2018,8.446727786,13.2.2
EAS,2019,8.575187098,13.2.2
EAS,2020,8.545101895,13.2.2
EAS,2021,8.835882155,13.2.2
EAS,2022,8.795777577,13.2.2
EAS,2023,9.139019205,13.2.2
EAS,2015,15.48385384,15.1.2
EAS,2016,16.37896765,15.1.2
EAS,2017,17.12075175,15.1.2
EAS,2018,16.55618303,15.1.2
EAS,2019,16.62215129,15.1.2
EAS,2020,17.09049487,15.1.2
EAS,2021,17.13394587,15.1.2
EAS,2022,17.13418351,15.1.2
EAS,2023,17.13691534,15.1.2
EAS,2024,17.61817011,15.1.2
EAS,2015,48.3,17.8.1
EAS,2016,51.6,17.8.1
EAS,2017,53.7,17.8.1
EAS,2018,58.8,17.8.1
EAS,2019,63.5,17.8.1
EAS,2020,68.5,17.8.1
EAS,2021,72.6,17.8.1
EAS,2022,75.4,17.8.1
EAS,2023,77.5,17.8.1
EAS,2024,79.6,17.8.1
EAS,2015,9657.528896,8.1.1
EAS,2016,10035.45664,8.1.1
EAS,2017,10468.11953,8.1.1
EAS,2018,10903.06173,8.1.1
EAS,2019,11285.32903,8.1.1
EAS,2020,11233.19987,8.1.1
EAS,2021,11916.65912,8.1.1
EAS,2022,12249.79521,8.1.1
EAS,2023,12737.68614,8.1.1
EAS,2024,13212.16239,8.1.1
EAS,2015,94.0542984,4.1.2
EAS,2016,95.64515686,4.1.2
EAS,2017,97.27113342,4.1.2
EAS,2018,98.1020813,4.1.2
EAS,2019,97.29077911,4.1.2
EAS,2020,95.19499207,4.1.2
EAS,2021,95.96408844,4.1.2
EAS,2022,95.3738327,4.1.2
EAS,2015,73.67976608,6.1.1
EAS,2016,74.463169,6.1.1
EAS,2017,75.23778126,6.1.1
EAS,2018,75.99495772,6.1.1
EAS,2019,76.73504093,6.1.1
EAS,2020,77.4380417,6.1.1
EAS,2021,78.09567745,6.1.1
EAS,2022,78.44703894,6.1.1
