iso3c,year,value,indicator_sdg
WSM,2015,3.5,1.1.1
WSM,2016,2.9,1.1.1
WSM,2017,2.9,1.1.1
WSM,2018,3.2,1.1.1
WSM,2019,3.1,1.1.1
WSM,2020,4.2,1.1.1
WSM,2021,4.9,1.1.1
WSM,2022,4.8,1.1.1
WSM,2023,3.8,1.1.1
WSM,2024,2.7,1.1.1
WSM,2025,2.3,1.1.1
WSM,2015,2.804016216,13.2.2
WSM,2016,2.811316026,13.2.2
WSM,2017,2.766594455,13.2.2
WSM,2018,2.63992061,13.2.2
WSM,2019,2.719515683,13.2.2
WSM,2020,2.668629449,13.2.2
WSM,2021,2.886625908,13.2.2
WSM,2022,2.953159188,13.2.2
WSM,2023,2.982050465,13.2.2
WSM,2015,1.28764,14.1.1
WSM,2016,0.77875,14.1.1
WSM,2017,1.36865,14.1.1
WSM,2018,0.90919,14.1.1
WSM,2019,0.0609,14.1.1
WSM,2020,5.77352,14.1.1
WSM,2021,8.66828,14.1.1
WSM,2022,0.06254,14.1.1
WSM,2015,6.8,15.1.2
WSM,2016,6.8,15.1.2
WSM,2017,7.3,15.1.2
WSM,2018,7.3,15.1.2
WSM,2019,7.3,15.1.2
WSM,2020,8.2,15.1.2
WSM,2021,8.2,15.1.2
WSM,2022,8.2,15.1.2
WSM,2023,8.2,15.1.2
WSM,2024,7.8,15.1.2
WSM,2016,52.83583333,17.18.1
WSM,2017,58.24541667,17.18.1
WSM,2018,58.56708333,17.18.1
WSM,2019,55.04708333,17.18.1
WSM,2020,59.5925,17.18.1
WSM,2021,64.42375,17.18.1
WSM,2022,63.68958333,17.18.1
WSM,2023,63.77458333,17.18.1
WSM,2015,25.407,17.8.1
WSM,2016,31.7,17.8.1
WSM,2017,39.4,17.8.1
WSM,2018,43.1336,17.8.1
WSM,2019,47.2211,17.8.1
WSM,2020,51.6959,17.8.1
WSM,2021,56.5947,17.8.1
WSM,2022,57.3288,17.8.1
WSM,2023,58.1386,17.8.1
WSM,2015,4.5,2.1.1
WSM,2016,5,2.1.1
WSM,2017,4.8,2.1.1
WSM,2018,4.7,2.1.1
WSM,2019,4.5,2.1.1
WSM,2020,4.4,2.1.1
WSM,2021,5.1,2.1.1
WSM,2022,5.4,2.1.1
WSM,2015,53,3.8.1
WSM,2017,54,3.8.1
WSM,2019,55,3.8.1
WSM,2021,55,3.8.1
WSM,2015,106.6998088,4.1.2
WSM,2016,108.8429613,4.1.2
WSM,2017,105.6999198,4.1.2
WSM,2018,107.187304,4.1.2
WSM,2019,101.7085623,4.1.2
WSM,2020,102.8644846,4.1.2
WSM,2021,99.99999599,4.1.2
WSM,2022,102.6640064,4.1.2
WSM,2023,98.84776253,4.1.2
WSM,2024,99.96435464,4.1.2
WSM,2015,61.71492977,6.1.1
WSM,2016,61.81374157,6.1.1
WSM,2017,61.91221194,6.1.1
WSM,2018,62.01586019,6.1.1
WSM,2019,62.07564277,6.1.1
WSM,2020,62.10706167,6.1.1
WSM,2021,62.14566323,6.1.1
WSM,2022,62.19171375,6.1.1
WSM,2015,98.2,7.1.1
WSM,2016,98.9,7.1.1
