reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-1.7375,2023,28.1,19.9,2.1.1,2015,16.38
,1.6,2024,30.6,23.4,6.1.1,2015,27.9
2050,1.467903624,2023,85.3,71.5,7.1.1,2015,81.61467033
2120,0.3281159505,2023,17.7,8.3,17.8.1,2015,42.18842899
,0.9086966428,2024,54.4,39.7,17.18.1,2016,55.76739992
2047,0.8992774436,2023,55.5,72.4,3.2.1,2015,53.86462957
2058,1.252232143,2023,34.3,41.8,3.2.2,2015,35.7125
,-1.617399043,2023,4.4,6.5,4.1.2,2015,7.541318681
,-0.7501487149,2020,528,565.8,8.1.1,2015,621.1881959
,1.385416667,2023,66,62.3,43.0.0,2015,65.075
,-37.30555556,2021,6.5,53.3,45.0.0,2015,55.7
