reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
1990,,2023,100,100,7.1.1,2015,
,13.42527552,2024,70.9,55.1,8.5.1,2015,56.74105263
2031,1.433162906,2024,85.9,56.9,17.8.1,2015,79.63174226
,1.652928009,2024,83.7,64.9,17.18.1,2016,77.23001229
2069,1.8,2020,2.5,3,10.1.1,2015,2.7
2027,2.715014682,2025,3.9,11.4,1.1.1,2015,7.675
,-3.125,2023,12,12.3,4.1.2,2015,12.38
,0.8823529412,2023,79.6,78.4,43.0.0,2015,79.76
,4.958333333,2023,90.1,83.1,45.0.0,2015,85.06666667
,,2024,0.1421791501,,42.0.0,,
2267,0.4337742909,2024,81.4,79.1,61.1.0,2015,83.99002891
2074,1.135361552,2024,96.6,95.8,61.2.0,2015,96.51472222
6634,0.06944444444,2024,70.8,70.6,61.3.0,2015,73.07815283
,1.37696193,2022,2.792,2.506,47.0.0,2015,2.711096059
