reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2010,,2023,2.5,,2.1.1,,
,-0.3888888889,2024,82.1,82.8,6.1.1,2015,84.6
2003,,2023,100,,7.1.1,,
2036,1.061155821,2023,80,59.1,17.8.1,2015,79.07043152
,0.2384386447,2024,82.2,79.7,17.18.1,2016,88.59233267
2005,,2023,10,14.6,3.2.1,2015,11.08
2006,,2023,5.3,7.7,3.2.2,2015,6.033333333
2019,1.833759019,2025,1.9,3.6,1.1.1,2015,2.543954545
,1.770833333,2023,11.5,11,4.1.2,2015,11.315
,2.193727548,2022,4791,3512.4,8.1.1,2015,4048.247631
,-0.125,2023,4,3.9,10.1.1,2015,2
,0.9375,2023,75.7,74.2,43.0.0,2015,75.8
,6.489583333,2023,89.1,75,45.0.0,2015,78.175
