reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2188,0.5486111111,2023,11.6,7.9,7.1.1,2015,15.26333333
2127,0.3386016889,2024,8.6,2,17.8.1,2015,32.70359358
,-0.3060064935,2024,45.2,50.5,17.18.1,2016,65.80576441
,,2020,16.4,,10.1.1,,
2646,0.2082205705,2025,74.27,75.4,1.1.1,2015,69.39
,-0.8661616162,2023,8,8.7,4.1.2,2015,9.384444444
,1.125,2023,63.7,60.1,43.0.0,2015,63.3
,2.33125,2023,67.8,59.5,45.0.0,2015,62.7
,0,2022,0.5,0.5,42.0.0,2015,0.43
2311,0.6242586304,2024,11.6,8.9,6.1.1,2015,13.40429075
3203,0.3016677293,2024,47,44.7,6.1.1,2015,52.6548939
,,2023,0.02980397313,,47.0.0,,
