reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
,-2.5625,2023,14.3,9.1,2.1.1,2015,7.5
,0.3111111111,2024,17.7,16.3,6.1.1,2015,20.8
2054,1.95971201,2023,57,29.6,7.1.1,2015,43.18014706
2069,0.6171076251,2023,32.2,11.3,17.8.1,2015,46.26565967
,1.547232972,2024,71,48.5,17.18.1,2016,63.29631579
2062,0.7754039295,2023,77.9,97.1,3.2.1,2015,72.96658202
2065,0.7875,2023,28,31.7,3.2.2,2015,27.15
2045,3.263364135,2025,21.6,41.4,1.1.1,2015,34.76132533
,-0.7916666667,2023,8.3,8.9,4.1.2,2015,9.554444444
,1.398194098,2022,1218.6,1002.6,8.1.1,2015,1152.450054
,6.754365079,2021,7.7,21.5,10.1.1,2015,11.45785714
,0.53125,2023,60.8,59.1,43.0.0,2015,62.3
,2.416666667,2023,88,83.9,45.0.0,2015,85.73333333
