reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2019,,2023,100,,7.1.1,,
2035,1.181844055,2024,82.4,56.7,17.8.1,2015,79.52739476
,0.8416167166,2024,83.6,75,17.18.1,2016,84.99377289
,,2023,1.4,,10.1.1,,
2017,3.758774625,2025,0.9,4.6,1.1.1,2015,2.92
,-2.5,2023,12.2,12.4,4.1.2,2015,12.48
,0.625,2023,75.6,74.6,43.0.0,2015,76.2
,0.5,2023,91,90.6,45.0.0,2015,91.4
,,2024,0.2110187321,,42.0.0,,
2000,,2024,99.2,99.3,6.1.1,2015,99.48
2018,5.018518519,2024,99.1,97.6,6.1.1,2015,98.02
,-2.222222222,2024,96.2,97,6.1.1,2015,97.32
,0.8610110788,2022,4.939,4.657,47.0.0,2015,4.985700278
