reach_target_year,speed,end_year,end_value,start_value,indicator_sdg,start_year,typical_end_value
2004,,2022,2.5,,2.1.1,,
,-0.323267363,2021,66,68,3.8.1,2015,73.39392051
2022,,2023,100.5207367,,4.1.2,,
,1.793754539,2024,52.3,49.4,8.5.1,2015,51.02
,-1.367585631,2022,87,88.8,6.1.1,2015,89.97228758
2003,,2023,100,99.7,7.1.1,2015,99.83
2030,1.576845193,2024,86.1,52.6,17.8.1,2015,77.37615341
,1.008590509,2023,69.4,55.4,17.18.1,2016,69.27672619
1996,,2025,0.1,,1.1.1,,
,2.190132778,2022,6327,4662,8.1.1,2015,5363.628762
,,2011,1.8,,10.1.1,,
